Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Department of Health,NHS Business Services Authority,01/04/2015,Pharmacy Contractors,Prescription Pricing ,,,"656,215,721.01",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/04/2015,Dental Contractors,Dental Services ,,,"161,830,959.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,07/04/2015,Course Fees General,NHS Protect,ACCESSDATA,0080056671,"36,670.87",Contact: Estelle Dauguet,WC2E 9HG
Departmen of Health,NHS Business Services Authority,07/04/2015,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080056993,"29,163.49",DENTAL PILOTS JAN 15,DL1 9HN
Departmen of Health,NHS Business Services Authority,07/04/2015,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080056994,"26,694.03",DENTAL PILOTS DEC 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,07/04/2015,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080056996,"341,380.21",PCN JAN 15,DL1 9HN
Departmen of Health,NHS Business Services Authority,07/04/2015,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080056996,"7,756.81",BECS POSTAGE DEC 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,07/04/2015,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080056997,"302,323.65",CC CROSS CHARGE FEB 15,DL1 9HN
Departmen of Health,NHS Business Services Authority,07/04/2015,Temporary Staff,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080057079,"56,557.10","Order for PwC, FAO Pete Sparshott",E14 9SQ
Departmen of Health,NHS Business Services Authority,07/04/2015,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080057230,"34,118.26","Support for CIP Accuracy Improvement,",E1 6DX
Departmen of Health,NHS Business Services Authority,07/04/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080057233,"308,460.09",MITI VARIABLE - FEB2015  S/DESK,DL1 9HN
Departmen of Health,NHS Business Services Authority,07/04/2015,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080057233,"9,315.91",KNOWLEDGE BASE,DL1 9HN
Departmen of Health,NHS Business Services Authority,07/04/2015,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080057234,"30,989.18",DENTAL PILOTS FEB2015,DL1 9HN
Departmen of Health,NHS Business Services Authority,07/04/2015,Furniture & Equiptment Capital,Corporate Services,FLEXIFORM,0080057270,"106,494.31",DO high back operators chair with gas,BD3 7AE
Departmen of Health,NHS Business Services Authority,07/04/2015,Building Works,Corporate Services,KIRKHAMS CONTRACTORS LTD,0080057273,"34,661.00","PRJ139 - Reception, Warehouse and",SK9 7LF
Departmen of Health,NHS Business Services Authority,07/04/2015,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0080057274,"1,046,554.63",MW 4.27 PMI 023 BSA Asbestos Strategy,HP2 7TR
Departmen of Health,NHS Business Services Authority,07/04/2015,Consultants,Project Pacific,INTEGRATED HEALTH PROJECTS,0080057274,"3,514.50",MW 4.42 BH Lvl 7 Small Power and Data,HP2 7TR
Departmen of Health,NHS Business Services Authority,07/04/2015,Temporary Staff,Pensions Division,CALDERPRINT LIMITED,0080057276,"35,600.00","Order for the printing of 150,000 2015",BB11 1QZ
Departmen of Health,NHS Business Services Authority,07/04/2015,Research,Pensions Division,DJS RESEARCH LTD,0080057347,"26,790.00",NHS Prescriptions research 2014/15,SK6 7GH
Departmen of Health,NHS Business Services Authority,07/04/2015,Envision Other,Pensions Division,PAYMASTER (1836) LTD,0080057355,"21,367.28",Estates Works,RH10 1UH
Departmen of Health,NHS Business Services Authority,08/04/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080056076,"48,905.48",AC 0912819049EHIC postage feb,S49 1HQ
Departmen of Health,NHS Business Services Authority,08/04/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080057003,"44,157.89",AC 0912819049 MAR15ppc,S49 1HQ
Departmen of Health,NHS Business Services Authority,08/04/2015,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080057114,"36,030.43",CONT ADJ FEB 15,RH10 1UH
Departmen of Health,NHS Business Services Authority,08/04/2015,Temporary Staff,Prescription Pricing Division,BROOK STREET (UK) LTD,0080057261,"31,423.39",N GOWLAND WE 13.03.15,AL1 4ZX
Departmen of Health,NHS Business Services Authority,08/04/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080057524,"63,088.80",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
