Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,02/04/2013,Pharmacy Contractors,Prescription Pricing ,,,"708,330,933.45",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,02/04/2013,Dental Contractors,Dental Services ,,,"193,749,751.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,05/04/2013,Temporary Staff,Dental Services ,CAPITA BUSINESS SERVICES LTD,0080033351,"90,859.00",DENTAL PILOTS NOVEMBER 2012,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/04/2013,Temporary Staff,Dental Services ,CAPITA BUSINESS SERVICES LTD,0080033352,"85,051.00",DENTAL PILOTS DECEMBER2012,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/04/2013,Building Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080033415,"227,517.46",Integrated Health Projects,HP2 7TR
Departmen of Health,NHS Business Services Authority,05/04/2013,Building Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080033417,"256,640.15",BRIDGE HOUSE,HP2 7TR
Departmen of Health,NHS Business Services Authority,05/04/2013,Professional Fees,Corporate Services,GOVERNMENT ACTUARY'S DEPARTMENT,0080033508,"30,731.59",Actuarial Services,EC4A 1AB
Departmen of Health,NHS Business Services Authority,05/04/2013,Pharmacy Contractors,Prescription Pricing ,,,"18,991.34",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,08/04/2013,Building Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080033155,"152,119.58",NHS BSA MP03 BRIDGE HOUSE RFB,HP2 7TR
Departmen of Health,NHS Business Services Authority,08/04/2013,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080033300,"66,191.26",SUPERANNUATION MAR 13,RG24 9NW
Departmen of Health,NHS Business Services Authority,08/04/2013,Building Works,Corporate Services,ADT FIRE AND SECURITY,0080033567,"21,943.00",ADT,M16 9XY
Departmen of Health,NHS Business Services Authority,09/04/2013,Service Charges General,NHS Protect,SAVILLS COMMERCIAL LTD,0080033560,"25,324.26",RENT 9TH FLOOR COVENTRY 25031323061,M2 2FE
Departmen of Health,NHS Business Services Authority,09/04/2013,Printing Charges (External),Prescription Pricing ,THE STATIONERY OFFICE,0080033641,"25,362.38",Printing,NR3 1PD
Departmen of Health,NHS Business Services Authority,09/04/2013,Licences Capital,Prescription Pricing ,SOFTWARE BOX LIMITED,0080033685,"36,218.10",Microsoft Visio Standard 2013 Sngl MVL,YO61 1ET
Departmen of Health,NHS Business Services Authority,10/04/2013,Hardware Maintenance,Prescription Pricing ,KAINOS SOFTWARE LIMITED,0080033031,"30,353.00",System maintenance and support,BT7 1NT
Departmen of Health,NHS Business Services Authority,10/04/2013,Minor Works,Corporate Services,INTEGRAL UK LIMITED,0080033757,"47,790.96",Integral,NE1 2BB
Departmen of Health,NHS Business Services Authority,11/04/2013,Postage Charges,Prescription Pricing ,ROYAL MAIL,0080033483,"36,261.73",Postage,S49 1HQ
Departmen of Health,NHS Business Services Authority,11/04/2013,Printing Charges (External),Prescription Pricing ,3M SECURITY PRINTING & SYSTEMS LTD,0080033657,"39,899.23",HWHC MARCH13,OL9 9QH
Departmen of Health,NHS Business Services Authority,11/04/2013,Furniture & Equiptment Capital,Corporate Services,FLEXIFORM,0080033789,"27,518.40",22x SPT12037,BD3 7AE
Departmen of Health,NHS Business Services Authority,12/04/2013,Rates Charges,NHS Protect,COVENTRY CITY COUNCIL,0080033570,"42,861.00",RATES 1314,CV1 5RR
Departmen of Health,NHS Business Services Authority,12/04/2013,Pharmacy Contractors,Prescription Pricing ,,,"26,646.38",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,15/04/2013,Equipment Repairs & Maintenance,Prescription Pricing ,XEROX FINANCE,0080033617,"34,345.33",Rentals,BN13 1WX
Departmen of Health,NHS Business Services Authority,15/04/2013,Software Purchases,NHS Protect,COMPUTACENTER (UK) LTD,0080034034,"25,896.99",Please order as per the attached CC,AL10 9TW
Departmen of Health,NHS Business Services Authority,16/04/2013,Rates Charges,Dental Services ,EASTBOURNE BOROUGH COUNCIL,0080033571,"175,447.50",Rates 13  14,BN21 4TW
Departmen of Health,NHS Business Services Authority,16/04/2013,Rates Charges,NHS Protect,LONDON BOROUGH OF CAMDEN,0080033594,"239,362.50",Rates,WC1H 9JE
Departmen of Health,NHS Business Services Authority,17/04/2013,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050026131,"40,195.54",CHILDCARE VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,17/04/2013,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050026131,401.96,CHILDCARE VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,17/04/2013,Postage Charges,Prescription Pricing ,ROYAL MAIL,0080033699,"28,020.04",Postage,S49 1HQ
Departmen of Health,NHS Business Services Authority,18/04/2013,Printing Charges (External),Pensions ,CREATIVE CHOICE,0080034175,"108,840.16",CHOICE COMMISSION,SW1H 0DJ
Departmen of Health,NHS Business Services Authority,18/04/2013,Printing Charges (External),Pensions ,CREATIVE CHOICE,0080034176,"42,215.68",Corporate Document Services,SW1H 0DJ
Departmen of Health,NHS Business Services Authority,18/04/2013,Printing Charges (External),Pensions ,CREATIVE CHOICE,0080034177,"61,087.00",Corporate Document Services,SW1H 0DJ
Departmen of Health,NHS Business Services Authority,18/04/2013,Temporary Staff,Corporate Services,SAPIENT LIMITED,0080034221,"63,993.38",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,18/04/2013,Temporary Staff,Prescription Pricing ,SAPIENT LIMITED,0080034231,"54,733.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,22/04/2013,Envision Medical Services,Pensions ,PAYMASTER (1836) LIMITED,0050026175,"857,144.58",MEDICAL SERVICES,RH10 1UH
Departmen of Health,NHS Business Services Authority,22/04/2013,Postage Charges,Prescription Pricing ,ROYAL MAIL,0080034084,"31,177.35",Postage,S49 1HQ
Departmen of Health,NHS Business Services Authority,24/04/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050026171,"2,567.17",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,24/04/2013,Temporary Staff,Prescription Pricing,COMENSURA LTD,0050026171,"17,753.99",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,24/04/2013,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050026225,"35,796.00",RATES APR13,NE99 2PT
