Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,03/05/2011,Dental Contractors,Dental Services Division,,,"174,858,575.00"
Departmen of Health,NHS Business Services Authority,05/05/2011,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0080004117,"193,190.29"
Departmen of Health,NHS Business Services Authority,05/05/2011,Lone Worker Support Services,Counter Fraud & Security Management Service,RELIANCE SECURE TASK MANAGEMENT,0050017868,"269,919.02"
Departmen of Health,NHS Business Services Authority,05/05/2011,Professional Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0050017871,"32,468.94"
Departmen of Health,NHS Business Services Authority,06/05/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050017926,"40,542.06"
Departmen of Health,NHS Business Services Authority,06/05/2011,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0050017927,"77,902.26"
Departmen of Health,NHS Business Services Authority,06/05/2011,Pharmacy Contractors,Prescription Pricing Division,,,"1,414,362.06"
Departmen of Health,NHS Business Services Authority,09/05/2011,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0080004041,"155,408.58"
Departmen of Health,NHS Business Services Authority,09/05/2011,Envision IT / IS,Pensions Division,PAYMASTER (1836) LIMITED,0050017935,"46,145.00"
Departmen of Health,NHS Business Services Authority,09/05/2011,Envision IT / IS,Pensions Division,PAYMASTER (1836) LIMITED,0050017936,"36,291.00"
Departmen of Health,NHS Business Services Authority,10/05/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050017845,"28,950.01"
Departmen of Health,NHS Business Services Authority,10/05/2011,Professional Fees,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080004261,"21,735.00"
Departmen of Health,NHS Business Services Authority,10/05/2011,Milestone Payments,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080004262,"549,170.00"
Departmen of Health,NHS Business Services Authority,12/05/2011,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050017982,"32,704.36"
Departmen of Health,NHS Business Services Authority,12/05/2011,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050017982,"1,226.41"
Departmen of Health,NHS Business Services Authority,12/05/2011,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050018025,"29,483.60"
Departmen of Health,NHS Business Services Authority,12/05/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050018001,"1,154,295.00"
Departmen of Health,NHS Business Services Authority,16/05/2011,Statutory Payments,Corporate Services,HMRC,,"1,546,386.23"
Departmen of Health,NHS Business Services Authority,16/05/2011,Statutory Payments,Corporate Services,HMRC,,"680,469.44"
Departmen of Health,NHS Business Services Authority,17/05/2011,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080003346,"32,995.00"
Departmen of Health,NHS Business Services Authority,19/05/2011,Telphone Charges,Pensions Division,PROLOG,0050018179,"161,937.81"
Departmen of Health,NHS Business Services Authority,24/05/2011,Envision Payroll,Pensions Division,PAYMASTER (1836) LIMITED,0050018201,"794,907.90"
Departmen of Health,NHS Business Services Authority,24/05/2011,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050018198,"29,577.00"
Departmen of Health,NHS Business Services Authority,25/05/2011,Envision Other,Pensions Division,PAYMASTER (1836) LIMITED,0080004040,"40,800.00"
Departmen of Health,NHS Business Services Authority,25/05/2011,Professional Fees,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050018233,"141,881.00"
Departmen of Health,NHS Business Services Authority,26/05/2011,Temporary Staff,Dental Services Division,COMENSURA LTD,0050018240,"1,277.82"
Departmen of Health,NHS Business Services Authority,26/05/2011,Temporary Staff,Pensions Division,COMENSURA LTD,0050018240,"11,233.11"
Departmen of Health,NHS Business Services Authority,26/05/2011,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050018240,"11,789.89"
Departmen of Health,NHS Business Services Authority,31/05/2011,Pharmacy Contractors,Prescription Pricing Division,,,"9,563,290.77"
