Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,04/05/2010,Dental Contractors,Dental Services Division,,,"167,147,071.00"
Departmen of Health,NHS Business Services Authority,05/05/2010,Lone Worker Support Services,Counter Fraud & Security Management Service,RELIANCE SECURE TASK MANAGEMENT,0050002099,"105,080.13"
Departmen of Health,NHS Business Services Authority,05/05/2010,Printing Charges (Internal),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0050001804,"33,506.45"
Departmen of Health,NHS Business Services Authority,05/05/2010,Printing Charges (Internal),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0050001805,"23,409.15"
Departmen of Health,NHS Business Services Authority,05/05/2010,Transport Capital,Prescription Pricing Division,DELOITTE MCS LIMITED,0050002093,"132,500.00"
Departmen of Health,NHS Business Services Authority,05/05/2010,Pharmacy Contractors,Prescription Pricing Division,,,"675,765.67"
Departmen of Health,NHS Business Services Authority,06/05/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050002168,"34,602.56"
Departmen of Health,NHS Business Services Authority,06/05/2010,Furniture & Equiptment Capital,Prescription Pricing Division,KOFAX UK LIMITED,0050001806,"38,000.00"
Departmen of Health,NHS Business Services Authority,06/05/2010,PC Purchases,Counter Fraud & Security Management Service,COMPUTACENTER (UK) LTD,0050002227,"38,299.55"
Departmen of Health,NHS Business Services Authority,06/05/2010,Professional Fees,Prescription Pricing Division,MOUCHEL MANAGEMENT CONSULTING LTD,0050002089,"52,543.67"
Departmen of Health,NHS Business Services Authority,07/05/2010,Pharmacy Contractors,Prescription Pricing Division,,,"231,995.98"
Departmen of Health,NHS Business Services Authority,10/05/2010,Scanner Maintenance,Prescription Pricing Division,BANCTEC LTD,0050002296,"78,943.74"
Departmen of Health,NHS Business Services Authority,10/05/2010,Transport Capital,Prescription Pricing Division,INSIGHT DIRECT (UK) LTD,0050002332,"60,264.60"
Departmen of Health,NHS Business Services Authority,11/05/2010,Pharmacy Contractors,Prescription Pricing Division,,,"71,859.19"
Departmen of Health,NHS Business Services Authority,12/05/2010,Astron Contract,Dental Services Division,RR DONNELLEY GLOBAL DOCUMENT SOLUTIONS,0050002639,"23,237.25"
Departmen of Health,NHS Business Services Authority,12/05/2010,IBM Contract,Dental Services Division,IBM UK LTD,0050002556,"406,880.31"
Departmen of Health,NHS Business Services Authority,12/05/2010,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0050002613,"36,247.53"
Departmen of Health,NHS Business Services Authority,12/05/2010,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0050002595,"33,373.39"
Departmen of Health,NHS Business Services Authority,12/05/2010,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0050002596,"37,793.83"
Departmen of Health,NHS Business Services Authority,12/05/2010,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0050002597,"136,977.90"
Departmen of Health,NHS Business Services Authority,12/05/2010,Pension Contributions,Corporate Services,CABINET OFFICE: CIVIL SUPERANNUATION,0050002637,"80,574.16"
Departmen of Health,NHS Business Services Authority,13/05/2010,Astron Contract Extention,Dental Services Division,RR DONNELLEY GLOBAL DOCUMENT SOLUTIONS,0050002762,"166,495.98"
Departmen of Health,NHS Business Services Authority,13/05/2010,IT,Prescription Pricing Division,DELL CORPORATION LTD,0050002726,"28,735.61"
Departmen of Health,NHS Business Services Authority,13/05/2010,Rates Charges,Counter Fraud & Security Management Service,LONDON BOROUGH OF CAMDEN,0050002737,"189,383.75"
Departmen of Health,NHS Business Services Authority,14/05/2010,Pension Contributions,Corporate Services,NHS PENSIONS,,"776,295.86"
Departmen of Health,NHS Business Services Authority,14/05/2010,Statutory Payments,Corporate Services,HMRC,,"859,772.72"
Departmen of Health,NHS Business Services Authority,14/05/2010,Statutory Payments,Corporate Services,HMRC,,"740,828.16"
Departmen of Health,NHS Business Services Authority,17/05/2010,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050003035,"28,445.37"
Departmen of Health,NHS Business Services Authority,17/05/2010,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050003035,"1,253.37"
Departmen of Health,NHS Business Services Authority,18/05/2010,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0050003085,"50,227.00"
Departmen of Health,NHS Business Services Authority,18/05/2010,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050003048,"24,248.42"
