Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,01/05/2012,Estates,Corporate Services,INTEGRATED HEALTH PROJECTS,0080015890,"143,450.78",P21 + TASK 1.06,HP2 7TR
Departmen of Health,NHS Business Services Authority,01/05/2012,Equipment Repairs & Maintenance,Corporate Services,HFX LIMITED,0080016859,"21,104.07",HFX 01 Apr 12  31 Mar 13,CM22 6DR
Departmen of Health,NHS Business Services Authority,01/05/2012,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0080017426,"43,203.66",Stella house rates Feb  Mar 12,NE99 2PT
Departmen of Health,NHS Business Services Authority,01/05/2012,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0080017555,"66,579.11",SUPERANNUATION APRIL12,RG21 4HG
Departmen of Health,NHS Business Services Authority,01/05/2012,Estates,Corporate Services,INTEGRATED HEALTH PROJECTS,0080017678,"291,153.76",1.05,HP2 7TR
Departmen of Health,NHS Business Services Authority,01/05/2012,Dental Contractors,Dental Services Division,,,"182,060,895",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,01/05/2012,Pharmacy Contractors,Prescription Pricing Division,,,"800,285,666.04",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,02/05/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050023033,"24,290.86",A/C 0912819048,S49 1HQ
Departmen of Health,NHS Business Services Authority,02/05/2012,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050023048,"34,808.00",MAY RATES 12,NE99 2PT
Departmen of Health,NHS Business Services Authority,02/05/2012,Contract Cleaning,Corporate Services,RENTOKIL INITIAL UK CLEANING,0080014366,"25,648.50",Domestic cleaning  Jan 12,DY1 4TA
Departmen of Health,NHS Business Services Authority,02/05/2012,Contract Cleaning,Supply Chain Management Division,RENTOKIL INITIAL UK CLEANING,0080014366,836.72,Domestic cleaning  Jan 12,DY1 4TA
Departmen of Health,NHS Business Services Authority,03/05/2012,Pharmacy Contractors,Prescription Pricing Division,,,"775,758.83",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,04/05/2012,Telphone Charges,Pensions Division,PROLOG,0050023072,"46,984.54",STORAGE MAR12,CO10 2XG
Departmen of Health,NHS Business Services Authority,04/05/2012,Envision Payroll,Pensions Division,PAYMASTER (1836) LIMITED,0050023075,"44,887.09",PAYROLL,RH10 1UH
Departmen of Health,NHS Business Services Authority,04/05/2012,Estates,Corporate Services,INTEGRATED HEALTH PROJECTS,0080017808,"975,602.15",Task 1.06 Lift Cab refurbishment Phase,HP2 7TR
Departmen of Health,NHS Business Services Authority,08/05/2012,LAN Maintenance,Prescription Pricing Division,KCOM GROUP PLC,0080017383,"25,169.29",Renewal of Capscan Software & Add,HP2 7DF
Departmen of Health,NHS Business Services Authority,08/05/2012,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0080017595,"22,814.00",Audit Fees,E14 9SQ
Departmen of Health,NHS Business Services Authority,08/05/2012,Rates Charges,Corporate Services,BOLTON COUNCIL,0080017688,"163,735.00",RATES 1213,BL1 1RX
Departmen of Health,NHS Business Services Authority,10/05/2012,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0080017427,"279,380.00",Rates 12  13,NE99 2PT
Departmen of Health,NHS Business Services Authority,10/05/2012,Furniture & Equiptment Capital,Corporate Services,ZIP HEATERS (UK) LIMITED,0080017497,"26,907.84",ZIP Heaters UK,NR19 1TE
Departmen of Health,NHS Business Services Authority,10/05/2012,Equipment Purchase,Corporate Services,PAYMASTER (1836) LIMITED,0080018305,"58,592.00",To Supply and install  radiators on then,RH10 1UH
Departmen of Health,NHS Business Services Authority,10/05/2012,IT,Corporate Services,PAYMASTER (1836) LIMITED,0080018306,"20,753.92",Xafinity Paymaster,RH10 1UH
Departmen of Health,NHS Business Services Authority,10/05/2012,General Maintenance,Pensions Division,PAYMASTER (1836) LIMITED,0080018306,"4,371.70",Quote FM 671 refers,RH10 1UH
Departmen of Health,NHS Business Services Authority,11/05/2012,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0080017594,"33,173.92",INTERNAL AUDIT 190911,E14 9SQ
Departmen of Health,NHS Business Services Authority,15/05/2012,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050023204,"32,921.51",CHILDCARE VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,15/05/2012,Professional Publications,Prescription Pricing Division,THE STATIONERY OFFICE,0080018094,"26,763.75",Printing,NR3 1PD
Departmen of Health,NHS Business Services Authority,15/05/2012,Printing Charges (External),Prescription Pricing Division,ID DATA CARDS LTD,0080018406,"38,415.83",EHIC cards,GU32 3AL
Departmen of Health,NHS Business Services Authority,15/05/2012,Professional Fees,Prescription Pricing Division,SAPIENT LIMITED,0080018483,"30,660.00",Statement of Work 12/PID91103 - Project,E1 6DX
Departmen of Health,NHS Business Services Authority,15/05/2012,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080018486,"23,560.00",Consultant Application Developer,E1 6DX
Departmen of Health,NHS Business Services Authority,15/05/2012,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080018487,"35,170.00",Consultant Application Developer (Anmol,E1 6DX
Departmen of Health,NHS Business Services Authority,15/05/2012,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080018488,"67,645.50",Change Request -  Project Information,E1 6DX
Departmen of Health,NHS Business Services Authority,15/05/2012,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080018507,"60,367.50",Senior Consultant Application Developer,E1 6DX
Departmen of Health,NHS Business Services Authority,15/05/2012,Statutory Payments,Corporate Services,HMRC,,"1,232,030.39",NI & TAX,
Departmen of Health,NHS Business Services Authority,15/05/2012,Statutory Payments,Corporate Services,HMRC,,"653,994.92",PENSIONS,
Departmen of Health,NHS Business Services Authority,21/05/2012,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0080017597,"26,325.00",PERIOD 280611 230312,E14 9SQ
Departmen of Health,NHS Business Services Authority,21/05/2012,Estates,Corporate Services,ESH FACILITY SOLUTIONS,0080018257,"25,340.51","New lighting, new kitchen units, new",DH6 5PF
Departmen of Health,NHS Business Services Authority,22/05/2012,Envision Estates,Pensions Division,PAYMASTER (1836) LIMITED,0050023271,"829,223.83",Charges May 12,RH10 1UH
Departmen of Health,NHS Business Services Authority,22/05/2012,Estates,Corporate Services,INTEGRATED HEALTH PROJECTS,0080017548,"513,348.35",Integrated Health Projects,HP2 7TR
Departmen of Health,NHS Business Services Authority,23/05/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080018795,"78,287.85",AC 0912819049,S49 1HQ
Departmen of Health,NHS Business Services Authority,24/05/2012,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0050023279,"65,746.91",SUPERANNUATION MAY12,RG21 4HG
Departmen of Health,NHS Business Services Authority,24/05/2012,Printing Charges (External),Prescription Pricing Division,ID DATA CARDS LTD,0080018986,"24,395.54",EHIC cards,GU32 3AL
Departmen of Health,NHS Business Services Authority,29/05/2012,Printing Charges (External),Prescription Pricing Division,ID DATA CARDS LTD,0080018985,"28,484.53",tc,GU32 3AL
Departmen of Health,NHS Business Services Authority,30/05/2012,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080019224,"68,480.00",DENTAL PILOTS  MARCH 12,DL1 9HN
Departmen of Health,NHS Business Services Authority,31/05/2012,Pharmacy Contractors,Prescription Pricing Division,,,"7,625,101.31",Payments to Pharmacy Contractors,
