Department family,Entity,Date,Expense type,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,02/06/2014,Dental Contractors,Dental Services ,,,"192,397,709.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,01/07/2014,Astron Contract,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080047836,"79,033.02",price difference,E14 9SQ
Departmen of Health,NHS Business Services Authority,01/07/2014,Pharmacy Contractors,Prescription Pricing ,,,"687,294,510.42",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,03/07/2014,Temporary Staff,Corporate Services,COMENSURA LTD,0050028928,"1,156.86",Staff Costs,LU1 3BA
Departmen of Health,NHS Business Services Authority,03/07/2014,Temporary Staff,NHS Protect,COMENSURA LTD,0050028928,"1,544.11",Staff Costs,LU1 3BA
Departmen of Health,NHS Business Services Authority,03/07/2014,Temporary Staff,Pensions Division,COMENSURA LTD,0050028928,"22,738.30",Staff Costs,LU1 3BA
Departmen of Health,NHS Business Services Authority,03/07/2014,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050028928,"14,249.77",Staff Costs,LU1 3BA
Departmen of Health,NHS Business Services Authority,03/07/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080047607,"140,593.40",June EHIC postage from CPI,S49 1HQ
Departmen of Health,NHS Business Services Authority,03/07/2014,Rent,Pensions Division,EUROPEAN PENSIONS MANAGEMENT LTD,0080047757,"160,000.00",Rent,SP3 5WY
Departmen of Health,NHS Business Services Authority,03/07/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080047759,"114,561.15",June PPC postage from CPI,S49 1HQ
Departmen of Health,NHS Business Services Authority,03/07/2014,Cost of Travel Concession,Travel Concession,NETWORK TICKETING LIMITED,0080047963,"56,133.90",27 Two zone Network One Travel Tickets,NE6 2BZ
Departmen of Health,NHS Business Services Authority,04/07/2014,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050028957,"29,402.00",RATES JULY14,NE99 2PT
Departmen of Health,NHS Business Services Authority,04/07/2014,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050028958,"36,632.00",RATES JULY14,NE99 2PT
Departmen of Health,NHS Business Services Authority,04/07/2014,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080047986,"34,700.30",Kireet Rastogi - Senior Consultant,E1 6DX
