Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Department of Health,NHS Business Services Authority,03/05/2016,Dental Contractors,Dental Services ,,,"198,493,247.00",Payments to Dental Contractors,,
Department of Health,NHS Business Services Authority,03/05/2016,Pharmacy Contractors,Prescription Pricing ,,,"353,726.11",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,03/05/2016,Pharmacy Contractors,Prescription Pricing ,,,"3,385.97",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,04/05/2016,Furniture Purchase,Pensions Division,FLEXIFORM,0080069680,"28,500.64",SULLY 01,BD3 7AE,
Department of Health,NHS Business Services Authority,04/05/2016,Pharmacy Contractors,Prescription Pricing ,,,"58,627.39",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,05/05/2016,Pharmacy Contractors,Prescription Pricing ,,,"1,405,967.01",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,06/05/2016,Insurance,Corporate Services,HALLETT & CO SOLICITORS,0050032089,"27,274.04",M13LS015/003 EMMA MELVIN,TN23 1DA,
Departmen of Health,NHS Business Services Authority,06/05/2016,Telphone Charges,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080069716,"325,414.45",MITI VARIABLE CHARGES MAR 16 MVS CALLS,DL1 9HN,
Departmen of Health,NHS Business Services Authority,06/05/2016,Telphone Charges,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080069716,243.46,MITI VARIABLE CHARGES MAR 16 MVS CALLS,DL1 9HN,
Department of Health,NHS Business Services Authority,09/05/2016,Pharmacy Contractors,Prescription Pricing ,,,"54,669.53",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,13/05/2016,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050032103,"37,772.00",RATES MAY 16,NE99 2PT,
Departmen of Health,NHS Business Services Authority,13/05/2016,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050032104,"26,590.00",RATES MAY 16,NE99 2PT,
Departmen of Health,NHS Business Services Authority,13/05/2016,Envision Other,Pensions Division,PAYMASTER (1836) LTD,0080069189,"272,641.81",To supply the following IT hardware:,RH10 1UH,
Departmen of Health,NHS Business Services Authority,13/05/2016,Software Licences,NHS Protect,INSIGHT DIRECT (UK) LTD,0080069759,"1,149,617.05",Line 1 - Licence type - Existing SAS,UB8 1PH,
