Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,31/05/1931,Pharmacy Contractors,Prescription Pricing ,,,"866,768,532.25",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,01/05/2013,Clinical Supp Eng Practice Vis,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050026259,"928,626.20",CLINICAL SUPPORT ENGLAND,DL1 9HN
Departmen of Health,NHS Business Services Authority,01/05/2013,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0050026260,"27,900.00",EASTBOURNE RENT,DL1 9HN
Departmen of Health,NHS Business Services Authority,01/05/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080034291,"20,964.94",EHIC cards,S49 1HQ
Departmen of Health,NHS Business Services Authority,01/05/2013,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0050026259,"6,350.00",KNOWLEDGE BASE,DL1 9HN
Departmen of Health,NHS Business Services Authority,01/05/2013,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0050026260,"23,150.00",KNOWLEDGE BASE,DL1 9HN
Departmen of Health,NHS Business Services Authority,01/05/2013,Mobile Phones,Corporate Services,VODAFONE CORPORATE LTD,0050026252,"27,716.97",MULTI,RG14 5FF
Departmen of Health,NHS Business Services Authority,01/05/2013,Dental Contractors,Dental Services ,,,"170,982,504.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,01/05/2013,Pharmacy Contractors,Prescription Pricing ,,,"742,295,912.50",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,01/05/2013,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050026261,"265,698.78",PCN-DEC2012/JAN2013/FEB2013,DL1 9HN
Departmen of Health,NHS Business Services Authority,01/05/2013,IT Hardware Purchase Capital,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0050026258,"585,889.76",SCANNERS 6/16 CHARGE,DL1 9HN
Departmen of Health,NHS Business Services Authority,01/05/2013,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050026260,"891,973.31",TRAINING,DL1 9HN
Departmen of Health,NHS Business Services Authority,01/05/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080034632,"33,305.23",Mail,S49 1HQ
Departmen of Health,NHS Business Services Authority,01/05/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080034869,"30,104.49",Mail,S49 1HQ
Departmen of Health,NHS Business Services Authority,02/05/2013,Professional Fees,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0050026262,"24,000.00",CONSULTANCY&EXPS 28.01-31.03.13stella,BT7 1NT
Departmen of Health,NHS Business Services Authority,02/05/2013,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080034908,"69,879.49",DEDUCTIONS APRIL 13,RG24 9NW
Departmen of Health,NHS Business Services Authority,02/05/2013,Envision Medical Fees,Pensions Division,PAYMASTER (1836) LIMITED,0080034700,"30,291.61",XAFINITY PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,03/05/2013,Pharmacy Contractors,Prescription Pricing ,,,"778,716.07",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,03/05/2013,Professional Fees,Supply Chain Management Division,EXEL EUROPE LTD,0080034844,"30,900.00",ISAE 3402 Review,MK40 2XQ
Departmen of Health,NHS Business Services Authority,07/05/2013,Temporary Staff,Corporate Services,SAPIENT LIMITED,0080035192,"62,379.75",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,07/05/2013,Pharmacy Contractors,Prescription Pricing ,,,"148,373.41",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,07/05/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050026278,"22,895.91",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,07/05/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050026278,"2,369.64",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,07/05/2013,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0080035193,"26,127.31",Printing,NR3 1PD
Departmen of Health,NHS Business Services Authority,08/05/2013,Pharmacy Contractors,Prescription Pricing ,,,"23,206.62",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,08/05/2013,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080035251,"34,140.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,08/05/2013,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080035253,"45,066.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,09/05/2013,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080034717,"24,664.00",Milestone 5 ¿ Warranty,RH10 1UH
Departmen of Health,NHS Business Services Authority,09/05/2013,Pharmacy Contractors,Prescription Pricing ,,,"85,847.21",Payments to Pharmacy Contractors,
