Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,01/06/2011,Professional Fees,Supply Chain Management Division,EXEL EUROPE LTD,0050018409,"28,235.00"
Departmen of Health,NHS Business Services Authority,01/06/2011,Stationary Charges,Prescription Pricing Division,THE STATIONERY OFFICE,0050018042,"26,982.79"
Departmen of Health,NHS Business Services Authority,01/06/2011,Dental Contractors,Dental Services Division,,,"181,317,400.00"
Departmen of Health,NHS Business Services Authority,01/06/2011,Pharmacy Contractors,Prescription Pricing Division,,,"745,710,135.42"
Departmen of Health,NHS Business Services Authority,03/06/2011,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080004598,"49,114.31"
Departmen of Health,NHS Business Services Authority,06/06/2011,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080004916,"28,998.00"
Departmen of Health,NHS Business Services Authority,06/06/2011,Professional Fees,Pensions Division,PAYMASTER (1836) LIMITED,0080004912,"188,077.00"
Departmen of Health,NHS Business Services Authority,06/06/2011,Pharmacy Contractors,Prescription Pricing Division,,,"918,263.88"
Departmen of Health,NHS Business Services Authority,08/06/2011,Envision IT / IS,Pensions Division,PAYMASTER (1836) LIMITED,0050018472,"43,972.67"
Departmen of Health,NHS Business Services Authority,08/06/2011,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050018567,"40,750.23"
Departmen of Health,NHS Business Services Authority,08/06/2011,Telphone Charges,Pensions Division,PROLOG,0050018568,"117,829.42"
Departmen of Health,NHS Business Services Authority,10/06/2011,Pharmacy Contractors,Prescription Pricing Division,,,"48,860.78"
Departmen of Health,NHS Business Services Authority,15/06/2011,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050018586,"31,869.36"
Departmen of Health,NHS Business Services Authority,15/06/2011,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050018586,318.69
Departmen of Health,NHS Business Services Authority,15/06/2011,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0050018583,"27,256.64"
