Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,01/06/2010,Dental Contractors,Dental Services Division,,,"172,449,481.00"
Departmen of Health,NHS Business Services Authority,01/06/2010,Pharmacy Contractors,Prescription Pricing Division,,,"767,653,275.62"
Departmen of Health,NHS Business Services Authority,04/06/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050003953,"87,691.42"
Departmen of Health,NHS Business Services Authority,04/06/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050003973,"33,419.34"
Departmen of Health,NHS Business Services Authority,04/06/2010,Telphone Charges,Pensions Division,PROLOG,0050004046,"59,736.01"
Departmen of Health,NHS Business Services Authority,04/06/2010,Pharmacy Contractors,Prescription Pricing Division,,,"561,000.67"
Departmen of Health,NHS Business Services Authority,07/06/2010,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050004079,"26,220.00"
Departmen of Health,NHS Business Services Authority,09/06/2010,Pharmacy Contractors,Prescription Pricing Division,,,"46,744.75"
Departmen of Health,NHS Business Services Authority,10/06/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050003721,"45,475.00"
Departmen of Health,NHS Business Services Authority,10/06/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050004060,"89,000.48"
Departmen of Health,NHS Business Services Authority,10/06/2010,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050004111,"46,979.63"
Departmen of Health,NHS Business Services Authority,10/06/2010,Professional Fees,Pensions Division,SAPIENT LIMITED,0080000258,"62,065.00"
Departmen of Health,NHS Business Services Authority,11/06/2010,Pharmacy Contractors,Prescription Pricing Division,,,"118,882.79"
Departmen of Health,NHS Business Services Authority,14/06/2010,Astron Contract,Dental Services Division,RR DONNELLEY GLOBAL DOCUMENT SOLUTIONS,0050004541,"23,237.25"
Departmen of Health,NHS Business Services Authority,14/06/2010,Envision Other,Pensions Division,PAYMASTER (1836) LIMITED,0050004507,"98,065.93"
Departmen of Health,NHS Business Services Authority,14/06/2010,Rent,Corporate Services,JOHN MONK&CO,0050004433,"68,864.25"
Departmen of Health,NHS Business Services Authority,14/06/2010,Rent,Corporate Services,DOOBA INVESTMENTS VI LIMITED,0050004441,"74,861.98"
Departmen of Health,NHS Business Services Authority,14/06/2010,Rent,Corporate Services,DOOBA INVESTMENTS VI LIMITED,0050004456,"74,861.98"
Departmen of Health,NHS Business Services Authority,14/06/2010,Rent,Corporate Services,DOOBA INVESTMENTS VI LIMITED,0050004461,"60,483.20"
Departmen of Health,NHS Business Services Authority,15/06/2010,Pension Contributions,Corporate Services,NHS PENSIONS,,"775,908.63"
Departmen of Health,NHS Business Services Authority,15/06/2010,Statutory Payments,Corporate Services,HMRC,,"819,939.11"
Departmen of Health,NHS Business Services Authority,15/06/2010,Statutory Payments,Corporate Services,HMRC,,"716,199.44"
Departmen of Health,NHS Business Services Authority,16/06/2010,Astron Contract Extention,Dental Services Division,RR DONNELLEY GLOBAL DOCUMENT SOLUTIONS,0050004736,"114,868.69"
Departmen of Health,NHS Business Services Authority,16/06/2010,Astron Contract Extention,Dental Services Division,RR DONNELLEY GLOBAL DOCUMENT SOLUTIONS,0050004737,"141,698.71"
