Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,03/06/2013,Printing Charges (External),Prescription Pricing Division,CPI CARD GROUP - PETERSFIELD LIMITED,0080036053,"25,289.12",CPI NHS Cards,GU32 3AL
Departmen of Health,NHS Business Services Authority,03/06/2013,Envision Payroll,Pensions Division,PAYMASTER (1836) LIMITED,0080036233,"29,892.77",XAFINITY PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,03/06/2013,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080036316,"69,928.60",MAY 13,RG24 9NW
Departmen of Health,NHS Business Services Authority,03/06/2013,Dental Contractors,Dental Services ,,,"182,806,087.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,05/06/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050026466,333.83,Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,05/06/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050026466,"30,003.19",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,05/06/2013,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050026478,"31,923.00",RATES JUNE13,NE99 2PT
Departmen of Health,NHS Business Services Authority,05/06/2013,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050026479,"35,796.00",RATES JUNE13,NE99 2PT
Departmen of Health,NHS Business Services Authority,05/06/2013,Pharmacy Contractors,Prescription Pricing ,,,"213,803.47",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,07/06/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080035926,"35,325.61",Mail,S49 1HQ
Departmen of Health,NHS Business Services Authority,07/06/2013,Printing Charges (External),Pensions Division,3M SECURITY PRINTING & SYSTEMS LTD,0080036703,"39,845.00","3M to print 70,000 NHS Pensions Member",OL9 9QH
Departmen of Health,NHS Business Services Authority,07/06/2013,Pharmacy Contractors,Prescription Pricing ,,,"994,125.00",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,10/06/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050026488,"2,853.45",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,10/06/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050026488,"20,486.96",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,10/06/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080036205,"55,763.23",Mail,S49 1HQ
Departmen of Health,NHS Business Services Authority,10/06/2013,Service Charges General,NHS Protect,SAVILLS COMMERCIAL LTD,0080036694,"25,324.26",RENT & SERVICE CHARGE 240613280913,M2 2FE
Departmen of Health,NHS Business Services Authority,10/06/2013,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0080036735,"26,375.72",Printing,NR3 1PD
Departmen of Health,NHS Business Services Authority,12/06/2013,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080036852,"66,475.27",DENTAL PILOTS APR 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,13/06/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080036708,"24,860.99",Mail,S49 1HQ
Departmen of Health,NHS Business Services Authority,13/06/2013,Statutory Payments,Corporate Services,HMRC,,"730,977.01",PENSIONS,
Departmen of Health,NHS Business Services Authority,13/06/2013,Statutory Payments,Corporate Services,HMRC,,"1,219,859.18",NI & TAX,
Departmen of Health,NHS Business Services Authority,14/06/2013,Intranet,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080036854,"909,100.65",CHARGES MAR  13,DL1 9HN
Departmen of Health,NHS Business Services Authority,14/06/2013,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080036854,"10,044.00",CHARGES MAR 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,14/06/2013,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080036854,"6,350.00",CHARGES MAR  13,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/06/2013,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050026542,"163,879.00",TM18 DATA CENTRE MIGRATION,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/06/2013,Patient Debt Recovery,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050026543,"1,002,689.51",PATIENT DEBT RECOVERY,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/06/2013,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0050026543,"8,622.36",EASTBOURNE RENT,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/06/2013,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0050026543,"6,541.45",KNOWLEDGE BASE,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/06/2013,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080036858,"92,515.00",XAFINITY PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,17/06/2013,Temporary Staff,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080036975,"1,981.76",Call Off Form - CON/0174 - Hub,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/06/2013,Professional Fees,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080036975,"19,999.20",Call Off Form - CON/0170 - Extension of,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/06/2013,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080036975,"121,930.49",Kainos Installation & Configuration,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/06/2013,Pharmacy Contractors,Prescription Pricing ,,,"113,951.56",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,19/06/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050026537,"1,923.26",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,19/06/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050026537,"25,878.46",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,19/06/2013,Envision IT / IS,Pensions Division,PAYMASTER (1836) LIMITED,0050026587,"857,144.58",IT/IS,RH10 1UH
Departmen of Health,NHS Business Services Authority,19/06/2013,Temporary Staff,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0080036768,"53,435.00",Temporary Staff,BT7 1NT
Departmen of Health,NHS Business Services Authority,19/06/2013,Temporary Staff,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0080036840,"26,005.00",Temporary Staff,BT7 1NT
Departmen of Health,NHS Business Services Authority,19/06/2013,Printing Charges (External),Prescription Pricing Division,CPI CARD GROUP - PETERSFIELD LIMITED,0080036993,"21,565.25",CPI card costs NHS,GU32 3AL
Departmen of Health,NHS Business Services Authority,19/06/2013,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0080037038,"50,378.39",HWHC MAY13,OL9 9QH
Departmen of Health,NHS Business Services Authority,20/06/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080036710,"91,808.11",Mail,S49 1HQ
Departmen of Health,NHS Business Services Authority,20/06/2013,Rent,Corporate Services,EMERSON MANAGEMENT SERVICES,0080036823,"122,697.00",CP Rent 24 Jun  28 Sep 13,SK9 7LF
Departmen of Health,NHS Business Services Authority,20/06/2013,Service Charges General,NHS Protect,ALLIANZ IMMOBILIEN GMBH (RENT),0080036824,"134,117.30",Rent,MK9 1LR
Departmen of Health,NHS Business Services Authority,20/06/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080036841,"113,594.33",Mail,S49 1HQ
Departmen of Health,NHS Business Services Authority,20/06/2013,Printing Charges (External),Prescription Pricing Division,CPI CARD GROUP - PETERSFIELD LIMITED,0080036994,"38,332.82",CPI card costs NHS,GU32 3AL
Departmen of Health,NHS Business Services Authority,20/06/2013,Printing Charges (External),Prescription Pricing Division,CPI CARD GROUP - PETERSFIELD LIMITED,0080036995,"35,696.87",CPI card costs EHIC,GU32 3AL
Departmen of Health,NHS Business Services Authority,20/06/2013,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080037061,"62,975.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,20/06/2013,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080037063,"24,655.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,21/06/2013,Temporary Staff,Corporate Services,SAPIENT LIMITED,0080037091,"53,032.50",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,24/06/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080037027,"83,147.05",Mail,S49 1HQ
Departmen of Health,NHS Business Services Authority,25/06/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080037035,"101,106.18",Mail,S49 1HQ
Departmen of Health,NHS Business Services Authority,26/06/2013,Temporary Staff,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080037253,"482,283.06",September 2012,DL1 9HN
Departmen of Health,NHS Business Services Authority,26/06/2013,Professional Fees,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080037253,"14,747.78",Call Off Form - CON/0193 - Pension,DL1 9HN
Departmen of Health,NHS Business Services Authority,26/06/2013,Professional Fees,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080037253,"6,310.23",Managed WLAN Service,DL1 9HN
Departmen of Health,NHS Business Services Authority,27/06/2013,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0050026614,"31,750.00",CON 0048,DL1 9HN
Departmen of Health,NHS Business Services Authority,27/06/2013,Rent,Pensions Division,EUROPEAN PENSIONS MANAGEMENT LTD,0080037200,"160,000.00",RENT 250313230613,SP3 5WY
Departmen of Health,NHS Business Services Authority,27/06/2013,Temporary Staff,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0080037202,"23,580.00",Temporary Staff,BT7 1NT
Departmen of Health,NHS Business Services Authority,27/06/2013,Envision Payroll,Pensions Division,PAYMASTER (1836) LIMITED,0080037227,"29,877.05",XAFINITY PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,27/06/2013,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080037252,"70,206.03",SUPERANNUATION JUNE13,RG24 9NW
Departmen of Health,NHS Business Services Authority,27/06/2013,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080037255,"438,398.30",Call Off Form - CON/0171 - Phase 2,DL1 9HN
Departmen of Health,NHS Business Services Authority,27/06/2013,Professional Fees,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080037255,"843,706.48",Desktop Engineer - Analyst,DL1 9HN
Departmen of Health,NHS Business Services Authority,28/06/2013,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050026632,"1,193,035.76",2013 CAPITAL CHARGES,DL1 9HN
Departmen of Health,NHS Business Services Authority,28/06/2013,Minor Works,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050026633,"205,625.21",CCN024-SETUP CHARGES,DL1 9HN
Departmen of Health,NHS Business Services Authority,28/06/2013,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050026634,"115,012.39",PCN-MAY2013,DL1 9HN
Departmen of Health,NHS Business Services Authority,28/06/2013,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050026635,"105,850.34",PCN-APR2013,DL1 9HN
Departmen of Health,NHS Business Services Authority,28/06/2013,Desktop Printers,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050026636,"310,227.22",MITI CHARGES MAY 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,28/06/2013,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0050026636,"5,768.84",MITI CHARGES MAY 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,28/06/2013,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050026637,"349,640.19",MITI FIXED CHARGES MAY 13,DL1 9HN
