Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,01/07/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050018896,"112,518.43"
Departmen of Health,NHS Business Services Authority,01/07/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050018897,"109,827.70"
Departmen of Health,NHS Business Services Authority,01/07/2011,Rent,Pensions Division,EUROPEAN PENSIONS MANAGEMENT LTD,0050018890,"160,000.00"
Departmen of Health,NHS Business Services Authority,01/07/2011,Rent,Corporate Services,DOOBA INVESTMENTS VI LIMITED,0080005880,"76,016.50"
Departmen of Health,NHS Business Services Authority,01/07/2011,Service Charges General,Corporate Services,DOOBA INVESTMENTS VI LIMITED,0080005879,"76,016.50"
Departmen of Health,NHS Business Services Authority,01/07/2011,Dental Contractors,Dental Services Division,,,"182,471,314.00"
Departmen of Health,NHS Business Services Authority,01/07/2011,Pharmacy Contractors,Prescription Pricing Division,,,"764,029,633.15"
Departmen of Health,NHS Business Services Authority,05/07/2011,Pharmacy Contractors,Prescription Pricing Division,,,"433,032.90"
Departmen of Health,NHS Business Services Authority,08/07/2011,Photocopier Rental,Prescription Pricing Division,XEROX FINANCE,0080004935,"39,982.15"
Departmen of Health,NHS Business Services Authority,08/07/2011,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080005256,"84,394.89"
Departmen of Health,NHS Business Services Authority,08/07/2011,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080006177,"78,516.54"
Departmen of Health,NHS Business Services Authority,08/07/2011,Temporary Staff,Pensions Division,COMENSURA LTD,0050018945,"8,925.60"
Departmen of Health,NHS Business Services Authority,08/07/2011,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050018945,"26,483.19"
Departmen of Health,NHS Business Services Authority,11/07/2011,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080006331,"45,640.00"
Departmen of Health,NHS Business Services Authority,11/07/2011,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0050019004,"85,533.60"
Departmen of Health,NHS Business Services Authority,11/07/2011,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0050019005,"95,231.39"
Departmen of Health,NHS Business Services Authority,11/07/2011,Professional Fees,Prescription Pricing Division,KOFAX UK LIMITED,0080006261,"30,000.00"
Departmen of Health,NHS Business Services Authority,12/07/2011,Pharmacy Contractors,Prescription Pricing Division,,,"109,829.76"
Departmen of Health,NHS Business Services Authority,13/07/2011,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080006179,"205,207.09"
Departmen of Health,NHS Business Services Authority,13/07/2011,Rates Charges,Corporate Services,BOLTON COUNCIL,0080006217,"108,360.00"
Departmen of Health,NHS Business Services Authority,14/07/2011,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050019065,"31,828.36"
