Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,01/07/2010,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0050005574,"35,000.00"
Departmen of Health,NHS Business Services Authority,01/07/2010,Professional Fees,Pensions Division,GOVERNMENT ACTUARY'S DEPARTMENT,0050005598,"50,624.75"
Departmen of Health,NHS Business Services Authority,01/07/2010,Dental Contractors,Dental Services Division,,,"175,494,344.00"
Departmen of Health,NHS Business Services Authority,01/07/2010,Pharmacy Contractors,Prescription Pricing Division,,,"759,725,236.94"
Departmen of Health,NHS Business Services Authority,02/07/2010,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050005703,"26,220.00"
Departmen of Health,NHS Business Services Authority,02/07/2010,Pharmacy Contractors,Prescription Pricing Division,,,"237,597.55"
Departmen of Health,NHS Business Services Authority,05/07/2010,Data Communication Lines,Dental Services Division,VIRGIN MEDIA PAYMENTS LTD,0050005624,"42,417.50"
Departmen of Health,NHS Business Services Authority,05/07/2010,Data Communication Lines,Prescription Pricing Division,VIRGIN MEDIA PAYMENTS LTD,0050005624,"18,976.25"
Departmen of Health,NHS Business Services Authority,05/07/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050005622,"54,868.97"
Departmen of Health,NHS Business Services Authority,05/07/2010,Professional Fees,Corporate Services,KPMG LLP FEES ACCOUNT,0050005747,"63,058.00"
Departmen of Health,NHS Business Services Authority,05/07/2010,Telphone Charges,Pensions Division,PROLOG,0050005631,"104,895.23"
Departmen of Health,NHS Business Services Authority,07/07/2010,Envision Other,Pensions Division,PAYMASTER (1836) LIMITED,0050005782,"46,598.14"
Departmen of Health,NHS Business Services Authority,07/07/2010,Envision Other,Pensions Division,PAYMASTER (1836) LIMITED,0080000443,"33,957.50"
Departmen of Health,NHS Business Services Authority,07/07/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050005009,"56,416.57"
Departmen of Health,NHS Business Services Authority,07/07/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050005780,"28,143.60"
Departmen of Health,NHS Business Services Authority,07/07/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080000418,"42,197.00"
Departmen of Health,NHS Business Services Authority,07/07/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050005793,"55,101.40"
Departmen of Health,NHS Business Services Authority,07/07/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050005794,"76,129.52"
Departmen of Health,NHS Business Services Authority,07/07/2010,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0050005827,"92,112.27"
Departmen of Health,NHS Business Services Authority,07/07/2010,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0050005829,"28,888.86"
Departmen of Health,NHS Business Services Authority,07/07/2010,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0050005831,"68,805.00"
Departmen of Health,NHS Business Services Authority,07/07/2010,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0050005832,"65,887.21"
Departmen of Health,NHS Business Services Authority,07/07/2010,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050005833,"25,188.67"
Departmen of Health,NHS Business Services Authority,09/07/2010,Pharmacy Contractors,Prescription Pricing Division,,,"111,296.59"
Departmen of Health,NHS Business Services Authority,12/07/2010,Astron Contract Extention,Dental Services Division,RR DONNELLEY GLOBAL DOCUMENT SOLUTIONS,0050006064,"114,886.42"
Departmen of Health,NHS Business Services Authority,12/07/2010,Pharmacy Contractors,Prescription Pricing Division,,,"105,102.44"
Departmen of Health,NHS Business Services Authority,14/07/2010,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0050006263,"27,348.58"
Departmen of Health,NHS Business Services Authority,15/07/2010,Statutory Payments,Finance Misc,HM REVENUE & CUSTOMS,0050006326,"27,287.00"
Departmen of Health,NHS Business Services Authority,15/07/2010,Pension Contributions,Corporate Services,NHS PENSIONS,,"777,517.84"
Departmen of Health,NHS Business Services Authority,15/07/2010,Statutory Payments,Corporate Services,HMRC,,"765,861.62"
Departmen of Health,NHS Business Services Authority,15/07/2010,Statutory Payments,Corporate Services,HMRC,,"717,958.39"
Departmen of Health,NHS Business Services Authority,16/07/2010,Pharmacy Contractors,Prescription Pricing Division,,,"78,423.37"
Departmen of Health,NHS Business Services Authority,19/07/2010,Building Refurbishment,Corporate Services,INTEGRATED HEALTH PROJECTS,0050006117,"68,071.78"
Departmen of Health,NHS Business Services Authority,19/07/2010,Envision Estates,Pensions Division,PAYMASTER (1836) LIMITED,0050006380,"749,777.09"
Departmen of Health,NHS Business Services Authority,19/07/2010,IBM Contract,Dental Services Division,IBM UK LTD,0050006376,"406,879.69"
Departmen of Health,NHS Business Services Authority,19/07/2010,Professional Fees,Pensions Division,CAPGEMINI UK PLC,0080000489,"39,694.32"
Departmen of Health,NHS Business Services Authority,19/07/2010,Professional Fees,Pensions Division,SAPIENT LIMITED,0080000497,"45,070.00"
Departmen of Health,NHS Business Services Authority,21/07/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080000509,"36,158.00"
Departmen of Health,NHS Business Services Authority,21/07/2010,Hire Car Insurance,Corporate Services,MARCH BROKERS LIMITED,0050006521,"45,744.00"
Departmen of Health,NHS Business Services Authority,21/07/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050006399,"29,951.00"
Departmen of Health,NHS Business Services Authority,21/07/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050006400,"29,581.90"
Departmen of Health,NHS Business Services Authority,21/07/2010,Software Purchases,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050006519,"123,969.00"
Departmen of Health,NHS Business Services Authority,22/07/2010,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050006560,"29,171.34"
Departmen of Health,NHS Business Services Authority,22/07/2010,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050006560,"1,285.37"
Departmen of Health,NHS Business Services Authority,26/07/2010,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0050006623,"46,609.87"
Departmen of Health,NHS Business Services Authority,26/07/2010,Professional Fees,Prescription Pricing Division,BEARINGPOINT LIMITED,0050006626,"31,686.85"
Departmen of Health,NHS Business Services Authority,26/07/2010,Professional Fees,Pensions Division,RECRUITMENT ZONE LIMITED,0050006659,"27,270.00"
Departmen of Health,NHS Business Services Authority,27/07/2010,Professional Fees,Corporate Services,ISOFT,0050006756,"24,000.00"
Departmen of Health,NHS Business Services Authority,28/07/2010,Cost of Travel Concession,Travel Concession,NEXUS,0080000552,"56,805.00"
Departmen of Health,NHS Business Services Authority,28/07/2010,IT,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0050006839,"107,052.00"
Departmen of Health,NHS Business Services Authority,30/07/2010,Pharmacy Contractors,Prescription Pricing Division,,,"797,470,411.53"
