Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Department of Health,NHS Business Services Authority,01/07/2015,Pharmacy Contractors,Prescription Pricing ,,,"690,356,520.40",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/07/2015,Dental Contractors,Dental Services ,,,"196,667,241.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,02/07/2015,Temporary Staff,Pensions Division,SAPIENT LIMITED,0080059390,"53,872.80",Provision of transition and,E1 6DX
Departmen of Health,NHS Business Services Authority,02/07/2015,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080060762,"29,676.00",Specialist G-Cloud Services - The CIP,E1 6DX
Departmen of Health,NHS Business Services Authority,07/07/2015,Temporary Staff,Corporate Services,REDFERN TRAVEL,0050030811,"92,839.14",TRAVEL FOR JUN2015,BD1 3AZ
Departmen of Health,NHS Business Services Authority,07/07/2015,Temporary Staff,Pensions Division,SAPIENT LIMITED,0080060878,"58,775.70",Description of goods and/or services,E1 6DX
Departmen of Health,NHS Business Services Authority,08/07/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050030813,"25,965.00",RATES STELLA,NE99 2PT
Departmen of Health,NHS Business Services Authority,08/07/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050030814,"37,468.00",RATES JULY 15,NE99 2PT
Department of Health,NHS Business Services Authority,08/07/2015,Pharmacy Contractors,Prescription Pricing ,,,"802,255.96",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,08/07/2015,Pharmacy Contractors,Prescription Pricing ,,,"90,253.20",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,09/07/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080060144,"41,330.41",A/C 0912819049 EHIC UK Post,S49 1HQ
Departmen of Health,NHS Business Services Authority,09/07/2015,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080060703,"36,906.45",CONT ADJ MAY 15,RH10 1UH
Departmen of Health,NHS Business Services Authority,09/07/2015,Printing Charges (External),Prescription Pricing Division,CPI CARD GROUP - PETERSFIELD LIMITED,0080060704,"23,742.59",NHS CARDS 160615230615 TC CPI,GU32 3AL
Departmen of Health,NHS Business Services Authority,10/07/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080060710,"38,353.10",AC 0912819049 EHIC UK,S49 1HQ
Departmen of Health,NHS Business Services Authority,10/07/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080060864,"33,752.06",AC 0912819049 EHIC EU,S49 1HQ
Departmen of Health,NHS Business Services Authority,14/07/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080060547,"55,200.01",A/C 0912819049 EHIC UK,S49 1HQ
Departmen of Health,NHS Business Services Authority,14/07/2015,Cost of Travel Concession,Travel Concession,NETWORK TICKETING LIMITED,0080060962,"49,692.50",31 X ALL ZONE NETWORK ONE ANNUAL TRAVEL,NE6 2BZ
Department of Health,NHS Business Services Authority,15/07/2015,Statutory Payments,Corporate Services,HMRC,,"1,269,910.21",NI & TAX,
Department of Health,NHS Business Services Authority,15/07/2015,Statutory Payments,Corporate Services,HMRC,,"919,558.51",PENSIONS,
Departmen of Health,NHS Business Services Authority,16/07/2015,Hire Car Insurance,Corporate Services,BRIAN JOHNSTON & CO (INS. BROKERS) LTD,0080061005,"27,424.00",Motor fleet insurance renewal - please,RH1 1BL
Departmen of Health,NHS Business Services Authority,16/07/2015,Minor Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080061057,"288,615.34","Design, supply & Install Fire Signage",HP2 7TR
Departmen of Health,NHS Business Services Authority,16/07/2015,Building Works,Prescription Pricing Division,INTEGRATED HEALTH PROJECTS,0080061057,"13,160.48",MW 4.38 PMI 051 and 052 HH Social,HP2 7TR
Departmen of Health,NHS Business Services Authority,22/07/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080060969,"36,763.27",AC 0912819049 PPC,S49 1HQ
Departmen of Health,NHS Business Services Authority,22/07/2015,Internal Staff Costs,Prescription Pricing Division,ACCOUNTIS EUROPE LTD,0080061099,"99,573.75",price difference,LL57 4EZ
Departmen of Health,NHS Business Services Authority,24/07/2015,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050030933,"879,960.75",CONTRACT CHARGES JUNE 2015,RH10 1UH
Departmen of Health,NHS Business Services Authority,27/07/2015,Redundancy,Prescription Pricing Division,NHS PENSIONS,0080061155,"103,518.88",ELEANOR CHAFFER SD58042896,FY7 8LG
Departmen of Health,NHS Business Services Authority,27/07/2015,Professional Fees,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080061179,"3,776.68",Installation of 21 additional monitors,DL1 9HN
Departmen of Health,NHS Business Services Authority,27/07/2015,PC Purchases,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080061179,74.10,Our Reference COM11271V01,DL1 9HN
Departmen of Health,NHS Business Services Authority,27/07/2015,PC Purchases,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080061179,15.01,Part Code: CAP45J7915 - Lenovo,DL1 9HN
Departmen of Health,NHS Business Services Authority,27/07/2015,PC Purchases,Pensions Division,CAPITA BUSINESS SERVICES LTD,0080061179,955.23,Part Code: PF12.5W9 - 3M 12.5,DL1 9HN
Departmen of Health,NHS Business Services Authority,27/07/2015,Professional Fees,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080061179,"13,143.97",Detailed Description of requirement:,DL1 9HN
Departmen of Health,NHS Business Services Authority,27/07/2015,PC Purchases,Supply Chain Management Division,CAPITA BUSINESS SERVICES LTD,0080061179,"6,237.03",Part Code: 920-002552 - Logitech,DL1 9HN
Departmen of Health,NHS Business Services Authority,27/07/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080061216,"24,872.80",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,27/07/2015,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080061407,"33,756.00",Specialist G-Cloud Services - The CIP,E1 6DX
Departmen of Health,NHS Business Services Authority,28/07/2015,Storage Costs,Prescription Pricing Division,RESTORE PLC,0080061350,"21,686.40",STORAGE PALLET JUNE 15,RH1 5DY
Departmen of Health,NHS Business Services Authority,30/07/2015,Temporary Staff,Pensions Division,SAPIENT LIMITED,0080061152,"29,556.00",PO 14551 COMPLETE EXPENSES,E1 6DX
Departmen of Health,NHS Business Services Authority,30/07/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080061212,"27,007.60",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,30/07/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080061215,"63,659.20",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,30/07/2015,External Audit Fees,Corporate Services,NATIONAL AUDIT OFFICE,0080061435,"42,500.00",AUDIT FOR NHS BSA 201415,SW1W 9SP
Departmen of Health,NHS Business Services Authority,30/07/2015,LAN Maintenance,Prescription Pricing Division,PAYMASTER (1836) LTD,0080061444,"32,688.00",Partial termination of the Students,RH10 1UH
Department of Health,NHS Business Services Authority,31/07/2015,Pharmacy Contractors,Prescription Pricing ,,,"738,555,980.42",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,31/07/2015,Pharmacy Contractors,Prescription Pricing ,,,"104,249,078.18",Payments to Pharmacy Contractors,
