Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,06/08/2012,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050023918,"38,787.25",DAVIS P. W/E 22.07.12,LU1 3BA
Departmen of Health,NHS Business Services Authority,09/08/2012,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050023948,"34,808.00",N011495 OFFICES AND PREMISES,NE99 2PT
Departmen of Health,NHS Business Services Authority,15/08/2012,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050023958,"37,543.49",A. ROBERTS W/E 05/08/12,LU1 3BA
Departmen of Health,NHS Business Services Authority,16/08/2012,Envision Payroll,Pensions Division,PAYMASTER (1836) LIMITED,0050024009,"33,578.81",PAYROLL,RH10 1UH
Departmen of Health,NHS Business Services Authority,16/08/2012,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050024011,"31,960.05",VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,16/08/2012,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050024011,319.60,VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,24/08/2012,Temporary Staff,Corporate Services,COMENSURA LTD,0050024040,342.75,D. GARDENER W/E 12/08/12,LU1 3BA
Departmen of Health,NHS Business Services Authority,24/08/2012,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050024040,"39,352.20",Z. BROTEN W/E 12/08/12,LU1 3BA
Departmen of Health,NHS Business Services Authority,24/08/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050024047,"42,693.87",A/C 0912819048,S49 1HQ
Departmen of Health,NHS Business Services Authority,24/08/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050024049,"28,493.80",A/C 0912819049,S49 1HQ
Departmen of Health,NHS Business Services Authority,21/08/2012,Envision Finance,Pensions Division,PAYMASTER (1836) LIMITED,0050024072,"829,223.83",charges aug 12,RH10 1UH
Departmen of Health,NHS Business Services Authority,03/08/2012,General Repairs,Corporate Services,INTEGRAL UK LIMITED,0080017421,"93,449.72",Lighting works,NE1 2BB
Departmen of Health,NHS Business Services Authority,09/08/2012,Cost of Travel Concession,Travel Concession,NETWORK TICKETING LIMITED,0080020916,"57,365.35",68 Network One travel passes - Total,NE6 2BZ
Departmen of Health,NHS Business Services Authority,09/08/2012,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080021280,"984,877.11",DENTAL CONTRACT MANAGEMENT,DL1 9HN
Departmen of Health,NHS Business Services Authority,15/08/2012,Printing Charges (External),Prescription Pricing Division,CPI CARD GROUP - PETERSFIELD LIMITED,0080021378,"131,098.10",CPI card costs,GU32 3AL
Departmen of Health,NHS Business Services Authority,09/08/2012,External Audit Fees,Corporate Services,NATIONAL AUDIT OFFICE,0080021543,"104,500.00",ANNUAL REPORT AND ACCOUNTS FINAL FEE,SW1W 9SP
