Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,02/08/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050006905,"28,721.67"
Departmen of Health,NHS Business Services Authority,02/08/2010,Public Relation Expenses,Pensions Division,PROLOG,0050007001,"93,087.54"
Departmen of Health,NHS Business Services Authority,02/08/2010,Dental Contractors,Dental Services Division,,,"162,502,649.00"
Departmen of Health,NHS Business Services Authority,04/08/2010,Envision Comms Centre,Pensions Division,PAYMASTER (1836) LIMITED,0050007010,"61,086.74"
Departmen of Health,NHS Business Services Authority,04/08/2010,Furniture & Equiptment Capital,Prescription Pricing Division,KOFAX UK LIMITED,0050007159,"35,500.00"
Departmen of Health,NHS Business Services Authority,04/08/2010,Furniture & Equiptment Capital,Prescription Pricing Division,KOFAX UK LIMITED,0050007161,"51,000.00"
Departmen of Health,NHS Business Services Authority,04/08/2010,Professional Fees,Pensions Division,MOUCHEL BUSINESS SERVICES LTD,0050007014,"73,449.77"
Departmen of Health,NHS Business Services Authority,06/08/2010,Pharmacy Contractors,Prescription Pricing Division,,,"457,886.63"
Departmen of Health,NHS Business Services Authority,11/08/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080000612,"53,678.69"
Departmen of Health,NHS Business Services Authority,11/08/2010,IT,Prescription Pricing Division,PAYMASTER (1836) LIMITED,0050007330,"59,077.34"
Departmen of Health,NHS Business Services Authority,11/08/2010,Legal Fees General,Counter Fraud & Security Management Service,DEPARTMENT FOR WORK AND PENSIONS,0050007446,"30,488.96"
Departmen of Health,NHS Business Services Authority,11/08/2010,Legal Fees General,Counter Fraud & Security Management Service,DEPARTMENT FOR WORK AND PENSIONS,0050007447,"29,413.41"
Departmen of Health,NHS Business Services Authority,11/08/2010,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050007314,"43,450.00"
Departmen of Health,NHS Business Services Authority,11/08/2010,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050007315,"488,936.00"
Departmen of Health,NHS Business Services Authority,11/08/2010,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050007316,"108,626.00"
Departmen of Health,NHS Business Services Authority,11/08/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050007245,"33,360.70"
Departmen of Health,NHS Business Services Authority,11/08/2010,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050007261,"31,043.34"
Departmen of Health,NHS Business Services Authority,11/08/2010,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0050007439,"27,123.25"
Departmen of Health,NHS Business Services Authority,13/08/2010,Pension Contributions,Corporate Services,NHS PENSIONS,,"748,508.77"
Departmen of Health,NHS Business Services Authority,13/08/2010,Statutory Payments,Corporate Services,HMRC,,"753,619.12"
Departmen of Health,NHS Business Services Authority,13/08/2010,Statutory Payments,Corporate Services,HMRC,,"700,075.36"
Departmen of Health,NHS Business Services Authority,16/08/2010,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050007524,"28,598.73"
Departmen of Health,NHS Business Services Authority,16/08/2010,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050007524,"1,260.13"
Departmen of Health,NHS Business Services Authority,16/08/2010,Data Communication Lines,Prescription Pricing Division,VIRGIN MEDIA PAYMENTS LTD,0050007543,"37,012.50"
Departmen of Health,NHS Business Services Authority,16/08/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050007553,"52,869.12"
Departmen of Health,NHS Business Services Authority,16/08/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050007554,"30,146.95"
Departmen of Health,NHS Business Services Authority,16/08/2010,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0050007561,"35,000.00"
Departmen of Health,NHS Business Services Authority,16/08/2010,IT,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0050007560,"107,052.00"
Departmen of Health,NHS Business Services Authority,16/08/2010,Pension Contributions,Corporate Services,CABINET OFFICE: CIVIL SUPERANNUATION,0050007520,"80,312.47"
Departmen of Health,NHS Business Services Authority,16/08/2010,Pharmacy Contractors,Prescription Pricing Division,,,"62,390.33"
Departmen of Health,NHS Business Services Authority,18/08/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050007789,"29,413.52"
Departmen of Health,NHS Business Services Authority,18/08/2010,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0050007683,"43,178.41"
Departmen of Health,NHS Business Services Authority,18/08/2010,Professional Fees,Pensions Division,CAPGEMINI UK PLC,0080000687,"28,017.92"
Departmen of Health,NHS Business Services Authority,24/08/2010,Envision Estates,Pensions Division,PAYMASTER (1836) LIMITED,0050008084,"749,777.09"
Departmen of Health,NHS Business Services Authority,24/08/2010,IT,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0050008051,"80,289.00"
Departmen of Health,NHS Business Services Authority,24/08/2010,Professional Fees,Pensions Division,RECRUITMENT ZONE LIMITED,0050007969,"32,320.00"
Departmen of Health,NHS Business Services Authority,25/08/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050008108,"56,122.00"
Departmen of Health,NHS Business Services Authority,27/08/2010,Professional Fees,Pensions Division,SAPIENT LIMITED,0080000694,"80,945.00"
Departmen of Health,NHS Business Services Authority,31/08/2010,Pharmacy Contractors,Prescription Pricing Division,,,"10,227,066.59"
