Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,03/08/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080061510,"314,513.77",MITI VARIABLE MAY2015 / SERVICE DESK,DL1 9HN
Departmen of Health,NHS Business Services Authority,03/08/2015,Envision IT / IS,Pensions Division,SOFTWARE BOX LIMITED,0080061648,"29,819.39",Enduser Protection Mail and Encryption,YO61 1ET
Departmen of Health,NHS Business Services Authority,03/08/2015,Sun System Maintenance,Prescription Pricing Division,ORACLE CORPORATION UK LTD,0080061679,"59,784.61",Renewal of Software Update License &,RG6 1RA
Department of Health,NHS Business Services Authority,03/08/2015,Dental Contractors,Dental Services ,,,"164,124,222.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,05/08/2015,Professional Fees,Prescription Pricing Division,EDIFIT LTD,0080061471,"37,321.12",Programme Business Case Definition,CV1 3PP
Departmen of Health,NHS Business Services Authority,05/08/2015,Envision Other,Pensions Division,PAYMASTER (1836) LTD,0080061626,"108,951.17",EQUINITI PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,05/08/2015,Sun System Maintenance,Prescription Pricing Division,ORACLE CORPORATION UK LTD,0080061689,"25,876.78",Renewal of Software Update License &,RG6 1RA
Departmen of Health,NHS Business Services Authority,05/08/2015,Sun System Maintenance,Prescription Pricing Division,ORACLE CORPORATION UK LTD,0080061690,"49,063.80",Renewal of Software Update License &,RG6 1RA
Departmen of Health,NHS Business Services Authority,05/08/2015,Sun System Maintenance,Prescription Pricing Division,ORACLE CORPORATION UK LTD,0080061692,"43,257.05",Renewal of Software Update License &,RG6 1RA
Departmen of Health,NHS Business Services Authority,05/08/2015,Envision IT / IS,Pensions Division,PAYMASTER (1836) LTD,0080061697,"29,932.40",IT Support Services for 2015 Scheme,RH10 1UH
Departmen of Health,NHS Business Services Authority,06/08/2015,Voice Automation Call Charges,Prescription Pricing Division,KCOM,0080061206,"29,580.55",SUMMARY BILL 124070,WF2 0UG
Departmen of Health,NHS Business Services Authority,06/08/2015,Service Charges General,NHS Protect,COMMUNITIES AND LOCAL GOVERNMENT,0080061549,"91,618.99",Citygate Rent Q1 15  16,HP2 4XN
Department of Health,NHS Business Services Authority,06/08/2015,Pharmacy Contractors,Prescription Pricing ,,,"708,620.91",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,07/08/2015,Temporary Staff,Corporate Services,REDFERN TRAVEL,0050030980,"89,426.40",TRAVEL FOR JUL2015,BD1 3AZ
Departmen of Health,NHS Business Services Authority,07/08/2015,Public Info Distribution,Prescription Pricing Division,IDS UK LIMITED,0050030982,"25,590.60",WIS LEAFLETING H2H MAY 15,SO32 2EJ
Departmen of Health,NHS Business Services Authority,07/08/2015,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0080061207,"65,368.47",HWHC01 JUNE 15,RG12 1FE
Departmen of Health,NHS Business Services Authority,07/08/2015,Public Info Distribution,Prescription Pricing Division,IDS UK LIMITED,0080061806,"25,590.60",Distribute HC12 leaflets which contain,SO32 2EJ
Departmen of Health,NHS Business Services Authority,10/08/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050031003,"37,468.00",N011495 bridge house,NE99 2PT
Departmen of Health,NHS Business Services Authority,10/08/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050031004,"25,965.00",n166187 stella house,NE99 2PT
Departmen of Health,NHS Business Services Authority,11/08/2015,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0050030984,"54,188.36",DEDUCTIONS JULY 15,RG24 9NW
Departmen of Health,NHS Business Services Authority,11/08/2015,Rent,Supply Chain Management Division,THE COAL AUTHORITY,0080061742,"27,000.00",Rent 01 Jul  30 Sep 15,NG18 4RG
Departmen of Health,NHS Business Services Authority,11/08/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080061974,"24,872.80",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,11/08/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080061977,"37,287.00",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,14/08/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080061978,"63,659.20",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Department of Health,NHS Business Services Authority,17/08/2015,Statutory Payments,Corporate Services,HMRC,,"1,214,180.53",NI & TAX,
Department of Health,NHS Business Services Authority,17/08/2015,Statutory Payments,Corporate Services,NHS Pension Scheme,,"923,932.48",PENSIONS,
Departmen of Health,NHS Business Services Authority,18/08/2015,Professional Fees,Corporate Services,MOUCHEL BUSINESS SERVICES LTD,0080061494,"66,426.96",PENSION LEVY CHRGS 010415  310316,EC2Y 5AS
Departmen of Health,NHS Business Services Authority,18/08/2015,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080061502,"416,726.99",PCN CHARGES JUN2015,DL1 9HN
Departmen of Health,NHS Business Services Authority,18/08/2015,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080061502,"-10,767.50",PCN CHARGES JUN2015,DL1 9HN
Departmen of Health,NHS Business Services Authority,18/08/2015,Sundry Income,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080061502,"-20,000.00",PCN CHARGES JUN2015,DL1 9HN
Departmen of Health,NHS Business Services Authority,18/08/2015,Service Charges General,NHS Protect,SKILLS FUNDING AGENCY,0080062011,"71,412.50",Occupancy agreement  Q2,CV1 2WT
Departmen of Health,NHS Business Services Authority,18/08/2015,Consultants,Corporate Services,CAPITA IB SOLUTIONS (UK) LTD,0080062151,"25,242.00",UPGRADE INTEGRA 2,DL1 9HN
Departmen of Health,NHS Business Services Authority,18/08/2015,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0080062196,"377,945.09",MW 4.27 PMI 023 BSA Asbestos Strategy,HP2 7TR
