Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,02/09/2011,Temporary Staff,Dental Services Division,COMENSURA LTD,0050019868,425.94,J INGRAM W/E 28.08.11,LU1 3BA
Departmen of Health,NHS Business Services Authority,02/09/2011,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050019868,"25,845.59",AARON HEANEY W/E 21.08.11,LU1 3BA
Departmen of Health,NHS Business Services Authority,06/09/2011,Envision Comms Centre,Pensions Division,PAYMASTER (1836) LIMITED,0050019881,"43,995.25",COMMS CENTRE VARIABLE CHG,RH10 1UH
Departmen of Health,NHS Business Services Authority,06/09/2011,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050019927,"1,100,041.00",CHARGES JUNE 11,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/09/2011,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050019928,"1,132,552.00",CHARGES JULY 11,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/09/2011,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0050019935,"78,347.45",MONTHLY PENSION CONTRIBUTIONS AUG 11,RG21 4HG
Departmen of Health,NHS Business Services Authority,08/09/2011,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050019958,"141,881.00",FINANCIAL MANAGEMENT,DL1 9HN
Departmen of Health,NHS Business Services Authority,08/09/2011,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050019959,"141,881.00",PASS THROUGH JULY 11,DL1 9HN
Departmen of Health,NHS Business Services Authority,08/09/2011,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050019960,"130,959.93",PATIENT CHARGE DEBT COLLECTION,DL1 9HN
Departmen of Health,NHS Business Services Authority,08/09/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050019962,"44,559.04",A/C 0912819049 AUGUST 11,PE4 5BR
Departmen of Health,NHS Business Services Authority,08/09/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050019963,"61,255.34",A/C 0912819049 AUGUST 11,PE4 5BR
Departmen of Health,NHS Business Services Authority,14/09/2011,Temporary Staff,Dental Services Division,COMENSURA LTD,0050019966,425.94,J INGRAM W/E 04/09/11,LU1 3BA
Departmen of Health,NHS Business Services Authority,14/09/2011,Temporary Staff,Pensions Division,COMENSURA LTD,0050019966,"13,090.88",P SIMPSON W/E 04/09/11,LU1 3BA
Departmen of Health,NHS Business Services Authority,14/09/2011,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050019966,"21,971.34",A TAYLOR W/E 04/09/11,LU1 3BA
Departmen of Health,NHS Business Services Authority,13/09/2011,Software Purchases,Prescription Pricing Division,INVISION SOFTWARE LTD,0050020031,"26,382.00",10368,B1 2ND
Departmen of Health,NHS Business Services Authority,14/09/2011,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050020070,"31,251.86",CHILDCARE VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,14/09/2011,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050020070,312.52,CHILDCARE VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,19/09/2011,Temporary Staff,Dental Services Division,COMENSURA LTD,0050020072,709.90,J INGRAM W/E 21.08.11,LU1 3BA
Departmen of Health,NHS Business Services Authority,19/09/2011,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050020072,"26,260.12",A BRUCE W/E 11.09.11,LU1 3BA
Departmen of Health,NHS Business Services Authority,22/09/2011,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050020079,"39,507.49",AUGUST,OL9 9QH
Departmen of Health,NHS Business Services Authority,22/09/2011,Temporary Staff,Dental Services Division,COMENSURA LTD,0050020140,425.94,J INGRAM W/E 18/09/11,LU1 3BA
Departmen of Health,NHS Business Services Authority,22/09/2011,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050020140,"24,971.73",R COSTIN W/E 18/09/11,LU1 3BA
Departmen of Health,NHS Business Services Authority,26/09/2011,Professional Fees,Prescription Pricing Division,KCOM,0050020164,"34,772.92",CALLS JULY 11,WF2 0UG
