Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,01/10/2011,Pharmacy Contractors,Prescription Pricing Division,,,"278,044.42",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,03/10/2011,Dental Contractors,Dental Services Division,,,"173,604,049",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,05/10/2011,Temporary Staff,Dental Services Division,COMENSURA LTD,0050020263,425.94,J INGRAM W/E 25/09/11,LU1 3BA
Departmen of Health,NHS Business Services Authority,05/10/2011,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050020263,"24,521.75",V WOOLLEY W/E 25/09/11,LU1 3BA
Departmen of Health,NHS Business Services Authority,05/10/2011,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0050020329,"77,000.65",CONTRIBUTIONS SEPT 11,RG21 4HG
Departmen of Health,NHS Business Services Authority,06/10/2011,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050020356,"23,568.54",CONNER S. W/E 02.10.11,LU1 3BA
Departmen of Health,NHS Business Services Authority,07/10/2011,Pharmacy Contractors,Prescription Pricing Division,,,"8,194",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,10/10/2011,Professional Fees,Pensions Division,GOVERNMENT ACTUARY'S DEPARTMENT,0050020405,"27,937.50",ACTUARIAL SERVICES ENDING 31/AUG/11,EC4A 1AB
Departmen of Health,NHS Business Services Authority,10/10/2011,Pharmacy Contractors,Prescription Pricing Division,,,"76,848.67",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,11/10/2011,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0080010354,"180,120.07",Integrated Health Projects,HP2 7TR
Departmen of Health,NHS Business Services Authority,11/10/2011,Pharmacy Contractors,Prescription Pricing Division,,,"411,035.72",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,13/10/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080010393,"41,988.96",AC 0912819049,PE4 5BR
Departmen of Health,NHS Business Services Authority,13/10/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080010394,"27,024.77",AC 0912819049,PE4 5BR
