Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,01/10/2010,Pharmacy Contractors,Prescription Pricing Division,,,"766,159,618.53"
Departmen of Health,NHS Business Services Authority,01/10/2010,Dental Contractors,Dental Services Division,,,"174,017,683.00"
Departmen of Health,NHS Business Services Authority,06/10/2010,Photocopier Repairs / Maintenance,Corporate Services,CANON (UK) LTD,0050010249,"20,373.83"
Departmen of Health,NHS Business Services Authority,06/10/2010,Photocopier Repairs / Maintenance,Prescription Pricing Division,CANON (UK) LTD,0050010249,"8,315.79"
Departmen of Health,NHS Business Services Authority,07/10/2010,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050010494,"44,569.41"
Departmen of Health,NHS Business Services Authority,07/10/2010,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0050010500,"81,966.71"
Departmen of Health,NHS Business Services Authority,07/10/2010,Envision Comms Centre,Pensions Division,PAYMASTER (1836) LIMITED,0050010531,"63,926.82"
Departmen of Health,NHS Business Services Authority,07/10/2010,Pharmacy Contractors,Prescription Pricing Division,,,"331,970.83"
Departmen of Health,NHS Business Services Authority,08/10/2010,Professional Fees,Pensions Division,SAPIENT LIMITED,0080000919,"36,127.50"
Departmen of Health,NHS Business Services Authority,08/10/2010,Pharmacy Contractors,Prescription Pricing Division,,,"110,755.80"
Departmen of Health,NHS Business Services Authority,11/10/2010,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050010699,"28,981.94"
Departmen of Health,NHS Business Services Authority,11/10/2010,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050010699,"1,277.01"
Departmen of Health,NHS Business Services Authority,11/10/2010,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0050010740,"35,000.00"
Departmen of Health,NHS Business Services Authority,11/10/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050010742,"30,143.66"
Departmen of Health,NHS Business Services Authority,13/10/2010,Professional Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0050010908,"37,530.00"
Departmen of Health,NHS Business Services Authority,13/10/2010,PC Maintenance,Pensions Division,PAYMASTER (1836) LIMITED,0050010928,"27,442.12"
Departmen of Health,NHS Business Services Authority,13/10/2010,Telphone Charges,Pensions Division,PROLOG,0050010954,"111,718.71"
Departmen of Health,NHS Business Services Authority,13/10/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080000895,"43,396.00"
Departmen of Health,NHS Business Services Authority,13/10/2010,Pharmacy Contractors,Prescription Pricing Division,,,"4,300.65"
Departmen of Health,NHS Business Services Authority,14/10/2010,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0050011034,"37,926.69"
Departmen of Health,NHS Business Services Authority,14/10/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080001018,"47,041.12"
Departmen of Health,NHS Business Services Authority,15/10/2010,Pharmacy Contractors,Prescription Pricing Division,,,"1,598.35"
Departmen of Health,NHS Business Services Authority,15/10/2010,Statutory Payments,Corporate Services,HMRC,,"785,725.71"
Departmen of Health,NHS Business Services Authority,15/10/2010,Statutory Payments,Corporate Services,HMRC,,"708,703.36"
Departmen of Health,NHS Business Services Authority,15/10/2010,Pension Contributions,Corporate Services,NHS PENSIONS,,"774,908.06"
Departmen of Health,NHS Business Services Authority,18/10/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050010961,"109,504.12"
Departmen of Health,NHS Business Services Authority,18/10/2010,Professional Fees,Prescription Pricing Division,KOFAX UK LIMITED,0050011154,"46,500.00"
Departmen of Health,NHS Business Services Authority,18/10/2010,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0050011156,"27,193.07"
Departmen of Health,NHS Business Services Authority,19/10/2010,IBM Maintenance Contract,Prescription Pricing Division,IBM UK LTD,0080001037,"415,625.00"
Departmen of Health,NHS Business Services Authority,20/10/2010,Envision Payroll,Pensions Division,PAYMASTER (1836) LIMITED,0050011261,"749,777.09"
Departmen of Health,NHS Business Services Authority,21/10/2010,Temporary Staff,Pensions Division,COMENSURA LTD,0050011333,"24,536.60"
Departmen of Health,NHS Business Services Authority,21/10/2010,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050011333,"22,781.57"
Departmen of Health,NHS Business Services Authority,26/10/2010,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0050011442,"114,705.93"
Departmen of Health,NHS Business Services Authority,26/10/2010,IT,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0050011555,"144,491.00"
Departmen of Health,NHS Business Services Authority,26/10/2010,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0050011606,"35,000.00"
Departmen of Health,NHS Business Services Authority,29/10/2010,Pharmacy Contractors,Prescription Pricing Division,,,"9,915,839.95"
