Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Department of Health,NHS Business Services Authority,01/10/2015,Dental Contractors,Dental Services ,,,"172,556,648.00",Payments to Dental Contractors,,
Department of Health,NHS Business Services Authority,01/10/2015,Pharmacy Contractors,Prescription Pricing ,,,"679,412,900.63",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,01/10/2015,Pharmacy Contractors,Prescription Pricing ,,,"100,339,182.38",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,02/10/2015,Astron Contract,Corporate Services,GARTNER U.K. LIMITED,0080063262,"70,820.40",Due diligence services to establish the,TW20 9AW,
Departmen of Health,NHS Business Services Authority,02/10/2015,Astron Contract,Corporate Services,GARTNER U.K. LIMITED,0080063263,"30,351.60",Due diligence services to establish the,TW20 9AW,
Department of Health,NHS Business Services Authority,02/10/2015,Pharmacy Contractors,Prescription Pricing ,,,"227,475.34",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,06/10/2015,Temporary Staff,Unclassified,REDFERN TRAVEL,0050031289,"88,637.79",01SEP2015 / 30SEP2015 TRAVEL,BD1 3AZ,
Departmen of Health,NHS Business Services Authority,06/10/2015,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080062902,"40,248.18",CONT ADJ JULY 15,RH10 1UH,
Departmen of Health,NHS Business Services Authority,06/10/2015,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080063203,"37,895.38",CONTRACT ADJUST AUG 15,RH10 1UH,
Departmen of Health,NHS Business Services Authority,07/10/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050031308,"37,468.00",BRIDGE HOUSE,NE99 2PT,
Departmen of Health,NHS Business Services Authority,07/10/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050031309,"25,965.00",STELLA HOUSE,NE99 2PT,
Department of Health,NHS Business Services Authority,07/10/2015,Pharmacy Contractors,Prescription Pricing ,,,"1,235,572.37",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,08/10/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080063493,"27,321.00",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Departmen of Health,NHS Business Services Authority,12/10/2015,PC Maintenance,Prescription Pricing Division,PITNEY BOWES UK MAILING,0080062549,"103,788.00",1 Year's Support and Maintenance for,CM19 5LS,
