Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,01/11/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050027580,"1,657.16",W/E 13.10.13 TONY FOSTER,LU1 3BA
Departmen of Health,NHS Business Services Authority,01/11/2013,Temporary Staff,NHS Protect,COMENSURA LTD,0050027580,"1,685.01",W/E 20.10.13 LUCY RHYMAUN,LU1 3BA
Departmen of Health,NHS Business Services Authority,01/11/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050027580,"21,705.29",W/E 20.10.13 PHILIP DAVIDSON,LU1 3BA
Departmen of Health,NHS Business Services Authority,01/11/2013,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080040971,"71,368.81",DEDUCTIONS OCT 13,RG24 9NW
Departmen of Health,NHS Business Services Authority,01/11/2013,Dental Contractors,Dental Services ,,,"170,666,503.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,01/11/2013,Pharmacy Contractors,Prescription Pricing ,,,"701,432,145.20",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,04/11/2013,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050027649,"31,923.00",RATES NOV13,NE99 2PT
Departmen of Health,NHS Business Services Authority,04/11/2013,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050027650,"35,796.00",RATES NOV13,NE99 2PT
Departmen of Health,NHS Business Services Authority,04/11/2013,Supperannuation Service,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080040918,"280,461.50",DCSS FIXED VARIABLEPASSTHROUGH SEPT 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,04/11/2013,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080040918,"8,622.36",DCSS FIXED VARIABLEPASSTHROUGH SEPT 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,04/11/2013,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080040963,"138,558.56",PCN Sept 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,04/11/2013,Service Charges General,NHS Protect,COMMUNITIES AND LOCAL GOVERNMENT,0080040964,"78,151.68",Rent,HP2 4XN
