Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,01/11/2010,Pharmacy Contractors,Prescription Pricing Division,,,"795,309,535.25"
Departmen of Health,NHS Business Services Authority,01/11/2010,Dental Contractors,Dental Services Division,,,"164,968,968"
Departmen of Health,NHS Business Services Authority,02/11/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050010711,"26,833.69"
Departmen of Health,NHS Business Services Authority,02/11/2010,Software Purchases,Counter Fraud & Security Management Service,GB GROUP PLC,0050011818,"65,576.43"
Departmen of Health,NHS Business Services Authority,02/11/2010,Professional Fees,Pensions Division,RECRUITMENT ZONE LIMITED,0050011823,"30,210.00"
Departmen of Health,NHS Business Services Authority,02/11/2010,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050011834,"1,033,991.81"
Departmen of Health,NHS Business Services Authority,02/11/2010,IBM Contract,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050011835,"1,521,170.00"
Departmen of Health,NHS Business Services Authority,02/11/2010,Temporary Staff,Pensions Division,COMENSURA LTD,0050011836,"21,596.65"
Departmen of Health,NHS Business Services Authority,02/11/2010,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050011836,330.75
Departmen of Health,NHS Business Services Authority,03/11/2010,Telphone Charges,Pensions Division,PROLOG,0050011926,"194,192.60"
Departmen of Health,NHS Business Services Authority,04/11/2010,Pharmacy Contractors,Prescription Pricing Division,,,"518,723.33"
Departmen of Health,NHS Business Services Authority,09/11/2010,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0050012147,"83,634.37"
Departmen of Health,NHS Business Services Authority,09/11/2010,Temporary Staff,Corporate Services,COMENSURA LTD,0050012162,"1,494.45"
Departmen of Health,NHS Business Services Authority,09/11/2010,Temporary Staff,Pensions Division,COMENSURA LTD,0050012162,"24,281.33"
Departmen of Health,NHS Business Services Authority,09/11/2010,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050012162,"7,512.84"
Departmen of Health,NHS Business Services Authority,11/11/2010,Estates,Corporate Services,BOND WOLFE,0050011971,"143,000.00"
Departmen of Health,NHS Business Services Authority,11/11/2010,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050012157,"44,445.85"
Departmen of Health,NHS Business Services Authority,11/11/2010,General Repairs,Corporate Services,HEAT WORKS LTD,0080000850,"23,513.00"
Departmen of Health,NHS Business Services Authority,12/11/2010,Pharmacy Contractors,Prescription Pricing Division,,,"16,192.39"
Departmen of Health,NHS Business Services Authority,15/11/2010,Professional Fees,Pensions Division,SAPIENT LIMITED,0050012294,"32,542.50"
Departmen of Health,NHS Business Services Authority,15/11/2010,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050012302,"29,944.90"
Departmen of Health,NHS Business Services Authority,15/11/2010,Envision IT / IS,Pensions Division,PAYMASTER (1836) LIMITED,0050012347,"63,919.06"
Departmen of Health,NHS Business Services Authority,15/11/2010,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0050012385,"26,986.20"
Departmen of Health,NHS Business Services Authority,15/11/2010,Temporary Staff,Pensions Division,COMENSURA LTD,0050012413,"19,492.90"
Departmen of Health,NHS Business Services Authority,15/11/2010,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050012413,"3,001.88"
Departmen of Health,NHS Business Services Authority,15/11/2010,Statutory Payments,Corporate Services,HMRC,,"748,062.64"
Departmen of Health,NHS Business Services Authority,15/11/2010,Statutory Payments,Corporate Services,HMRC,,"685,811.94"
Departmen of Health,NHS Business Services Authority,15/11/2010,Pension Contributions,Corporate Services,NHS PENSIONS,,"731,567.84"
Departmen of Health,NHS Business Services Authority,16/11/2010,Intruder Alarm Maintenance,Corporate Services,ADT FIRE AND SECURITY,0050012421,"24,249.67"
Departmen of Health,NHS Business Services Authority,16/11/2010,IT,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0050012455,"29,571.73"
Departmen of Health,NHS Business Services Authority,16/11/2010,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050012456,"1,519,458.00"
Departmen of Health,NHS Business Services Authority,16/11/2010,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0050012483,"35,000.00"
Departmen of Health,NHS Business Services Authority,19/11/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050012673,"35,084.65"
Departmen of Health,NHS Business Services Authority,22/11/2010,Temporary Staff,Corporate Services,COMENSURA LTD,0050012630,"2,496.95"
Departmen of Health,NHS Business Services Authority,22/11/2010,Temporary Staff,Pensions Division,COMENSURA LTD,0050012630,"18,325.79"
Departmen of Health,NHS Business Services Authority,22/11/2010,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050012630,"3,795.90"
Departmen of Health,NHS Business Services Authority,22/11/2010,Photocopier Rental,Prescription Pricing Division,XEROX FINANCE,0050012708,"39,982.15"
Departmen of Health,NHS Business Services Authority,22/11/2010,Envision Medical Services,Pensions Division,PAYMASTER (1836) LIMITED,0050012712,"749,777.09"
Departmen of Health,NHS Business Services Authority,24/11/2010,Legal Fees General,Corporate Services,EVERSHEDS LLP,0050012845,"21,425.00"
Departmen of Health,NHS Business Services Authority,24/11/2010,Air Conditioning Maintenance,Corporate Services,HEAT WORKS LTD,0080001177,"22,800.00"
Departmen of Health,NHS Business Services Authority,29/11/2010,Envision Medical Fees,Pensions Division,PAYMASTER (1836) LIMITED,0050012968,"61,094.75"
Departmen of Health,NHS Business Services Authority,30/11/2010,Pharmacy Contractors,Prescription Pricing Division,,,"10,206,026.07"
