Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Department of Health,NHS Business Services Authority,01/11/2015,Dental Contractors,Dental Services ,,,"173,173,342.00",Payments to Dental Contractors,,
Departmen of Health,NHS Business Services Authority,03/11/2015,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080062183,"48,502.93",EHIC CARDS JULY 15,SS6 7UQ,
Departmen of Health,NHS Business Services Authority,03/11/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080063787,"27,752.08",AC 0912819049 PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,03/11/2015,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080064514,"24,438.35",Project Manager - Senior Consultant,DL1 9HN,
Departmen of Health,NHS Business Services Authority,03/11/2015,Temporary Staff,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080064515,"34,543.32",Cost for 3rd party quotes if site,DL1 9HN,
Departmen of Health,NHS Business Services Authority,03/11/2015,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080064517,"47,040.15",Call Off Form - CON/0349 (v2) -,DL1 9HN,
Departmen of Health,NHS Business Services Authority,03/11/2015,DCSS Fin Management,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080064520,"131,612.90",Call Off Form - CON/0358 - SFE Payment,DL1 9HN,
Department of Health,NHS Business Services Authority,03/11/2015,Pharmacy Contractors,Prescription Pricing ,,,"842,736.49",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,04/11/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050031423,"25,965.00",STELLA HOUSE,NE99 2PT,
Departmen of Health,NHS Business Services Authority,04/11/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050031424,"37,468.00",BRIDGE HOUSE,NE99 2PT,
Departmen of Health,NHS Business Services Authority,05/11/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080064231,"165,341.29",AC 0912819049  PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,05/11/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080064548,"341,851.63",MITI FIXED CGARGES SEPT 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,05/11/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080064562,"63,395.20",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Department of Health,NHS Business Services Authority,05/11/2015,Pharmacy Contractors,Prescription Pricing ,,,"668,848.28",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,06/11/2015,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080064546,"404,158.33",PCN SEPT 15,DL1 9HN,
