Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,01/12/2011,Dental Contractors,Dental Services Division,,,"171,916,704.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,01/12/2011,Pharmacy Contractors,Prescription Pricing Division,,,"792,021,225.54",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,05/12/2011,Pharmacy Contractors,Prescription Pricing Division,,,"776,637.41",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,06/12/2011,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0050021238,"76,226.13",PENSION CONTRIBUTIONS NOV2011,RG21 4HG
Departmen of Health,NHS Business Services Authority,07/12/2011,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050021251,"29,577.00",RATES DEC 11,NE99 2PT
Departmen of Health,NHS Business Services Authority,07/12/2011,Pharmacy Contractors,Prescription Pricing Division,,,"75,776.61",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,08/12/2011,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050021256,"32,701.23",VOUCHERS DEC 11,SW1V 2RS
Departmen of Health,NHS Business Services Authority,08/12/2011,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050021256,327.01,VOUCHERS DEC 11,SW1V 2RS
Departmen of Health,NHS Business Services Authority,08/12/2011,Temporary Staff,Dental Services Division,COMENSURA LTD,0050021258,425.94,J INGRAM W/E 04/12/11,LU1 3BA
Departmen of Health,NHS Business Services Authority,08/12/2011,Temporary Staff,Pensions Division,COMENSURA LTD,0050021258,"11,900.80",P SIMPSON W/E 04/12/11,LU1 3BA
Departmen of Health,NHS Business Services Authority,08/12/2011,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050021258,"8,518.60",M TATE W/E 04/12/11,LU1 3BA
Departmen of Health,NHS Business Services Authority,09/12/2011,LAN Software,Prescription Pricing Division,MICRO FOCUS LTD,0080012346,"54,457.92",Server for COBOL v 5.0.01 - License,RG14 1QN
Departmen of Health,NHS Business Services Authority,09/12/2011,Printing Charges (External),Pensions Division,3M SECURITY PRINTING & SYSTEMS LTD,0080012553,"30,987.00","70,000 NHS Pensions SD Guide",OL9 9QH
Departmen of Health,NHS Business Services Authority,12/12/2011,Envision Payroll,Pensions Division,PAYMASTER (1836) LIMITED,0050021281,"43,756.31",VAR CONT CHARGES OCT,RH10 1UH
Departmen of Health,NHS Business Services Authority,12/12/2011,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0080012218,"45,854.60",P21 Certificate 24,HP2 7TR
Departmen of Health,NHS Business Services Authority,14/12/2011,E-Learning / LMS,Corporate Services,QUATROSYSTEM LTD,0050021437,"47,888.04",LICENCE FEES 31OCT11 - 30OCT2012,MK45 5EQ
Departmen of Health,NHS Business Services Authority,14/12/2011,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080012675,"67,572.00",1 x Senior Consultant Technical Analyst,E1 6DX
Departmen of Health,NHS Business Services Authority,15/12/2011,Professional Fees,Supply Chain Management Division,NHS SUPPLY CHAIN,0050021442,"66,292.00",CBRN EMERGENCY PLAN MAY-AUG 11,DE55 4QJ
Departmen of Health,NHS Business Services Authority,15/12/2011,Temporary Staff Expenses,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0080012533,"29,500.00",,BT7 1NT
Departmen of Health,NHS Business Services Authority,15/12/2011,Rent,Corporate Services,JOHN MONK&CO,0080012336,"171,387.50",Rent 25 Dec 11  24 Mar 12,TS18 1SW
Departmen of Health,NHS Business Services Authority,15/12/2011,Statutory Payments,Corporate Services,HMRC,,"1,262,700.50",Tax and NI,
Departmen of Health,NHS Business Services Authority,15/12/2011,Statutory Payments,Corporate Services,HMRC,,"698,454.79",Pension contributions,
Departmen of Health,NHS Business Services Authority,19/12/2011,Professional Publications,Prescription Pricing Division,THE STATIONERY OFFICE,0080012632,"27,997.64",,NR3 1PD
Departmen of Health,NHS Business Services Authority,19/12/2011,Temporary Staff,Corporate Services,INTEGRATED HEALTH PROJECTS,0080012217,"94,657.86",Task 19 BH Lift asbestos (Phase 2),HP2 7TR
Departmen of Health,NHS Business Services Authority,21/12/2011,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0080012740,"33,173.92",Internal Audit month 7,E14 9SQ
Departmen of Health,NHS Business Services Authority,21/12/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080012263,"29,153.75",EHIC postage,S49 1HQ
Departmen of Health,NHS Business Services Authority,21/12/2011,Core Patient Survey,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050021474,"1,207,025.00",CHARGES OCT 11,DL1 9HN
