Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,01/12/2010,Pharmacy Contractors,Prescription Pricing Division,,,"778,648,468.08"
Departmen of Health,NHS Business Services Authority,01/12/2010,Dental Contractors,Dental Services Division,,,"168,166,420.00"
Departmen of Health,NHS Business Services Authority,02/12/2010,Service Charges General,Corporate Services,DOOBA INVESTMENTS VI LIMITED,0050013185,"74,861.98"
Departmen of Health,NHS Business Services Authority,02/12/2010,Service Charges General,Corporate Services,DOOBA INVESTMENTS VI LIMITED,0050013187,"74,861.98"
Departmen of Health,NHS Business Services Authority,03/12/2010,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050013299,"108,626.00"
Departmen of Health,NHS Business Services Authority,03/12/2010,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050013300,"217,251.00"
Departmen of Health,NHS Business Services Authority,06/12/2010,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0050013329,"28,048.20"
Departmen of Health,NHS Business Services Authority,06/12/2010,Envision Finance,Pensions Division,PAYMASTER (1836) LIMITED,0050013342,"85,824.35"
Departmen of Health,NHS Business Services Authority,06/12/2010,Pharmacy Contractors,Prescription Pricing Division,,,"622,264.81"
Departmen of Health,NHS Business Services Authority,07/12/2010,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0050013273,"82,036.96"
Departmen of Health,NHS Business Services Authority,09/12/2010,Legal Fees General,Counter Fraud & Security Management Service,DEPARTMENT FOR WORK AND PENSIONS,0050013494,"38,922.51"
Departmen of Health,NHS Business Services Authority,09/12/2010,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0050013497,"41,125.00"
Departmen of Health,NHS Business Services Authority,09/12/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050013503,"34,401.00"
Departmen of Health,NHS Business Services Authority,09/12/2010,Rent,Corporate Services,JOHN MONK&CO,0050013504,"66,864.25"
Departmen of Health,NHS Business Services Authority,13/12/2010,Temporary Staff,Corporate Services,COMENSURA LTD,0050013519,"1,997.56"
Departmen of Health,NHS Business Services Authority,13/12/2010,Temporary Staff,Pensions Division,COMENSURA LTD,0050013519,"25,326.27"
Departmen of Health,NHS Business Services Authority,13/12/2010,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050013519,"3,314.02"
Departmen of Health,NHS Business Services Authority,13/12/2010,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050013576,"30,449.99"
Departmen of Health,NHS Business Services Authority,13/12/2010,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0050013579,"26,796.64"
Departmen of Health,NHS Business Services Authority,13/12/2010,Rent,Corporate Services,JOHN MONK&CO,0050013661,"171,387.50"
Departmen of Health,NHS Business Services Authority,13/12/2010,Rent,Corporate Services,EMERSON MANAGEMENT SERVICES,0050013664,"120,140.82"
Departmen of Health,NHS Business Services Authority,13/12/2010,Pharmacy Contractors,Prescription Pricing Division,,,"35,142.12"
Departmen of Health,NHS Business Services Authority,14/12/2010,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050013769,"67,077.32"
Departmen of Health,NHS Business Services Authority,14/12/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080001402,"24,040.00"
Departmen of Health,NHS Business Services Authority,15/12/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080001360,"27,137.80"
Departmen of Health,NHS Business Services Authority,15/12/2010,Statutory Payments,Corporate Services,HMRC,,"744,325.71"
Departmen of Health,NHS Business Services Authority,15/12/2010,Statutory Payments,Corporate Services,HMRC,,"671,560.61"
Departmen of Health,NHS Business Services Authority,15/12/2010,Pension Contributions,Corporate Services,NHS PENSIONS,,"727,507.98"
Departmen of Health,NHS Business Services Authority,15/12/2010,Pharmacy Contractors,Prescription Pricing Division,,,"31,623.02"
Departmen of Health,NHS Business Services Authority,16/12/2010,Telphone Charges,Pensions Division,PROLOG,0050013877,"169,625.50"
Departmen of Health,NHS Business Services Authority,16/12/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080001361,"83,999.57"
Departmen of Health,NHS Business Services Authority,17/12/2010,Service Charges General,Counter Fraud & Security Management Service,DEPARTMENT OF HEALTH,0050013949,"43,778.15"
Departmen of Health,NHS Business Services Authority,17/12/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050013985,"28,148.08"
Departmen of Health,NHS Business Services Authority,17/12/2010,Envision IT / IS,Pensions Division,PAYMASTER (1836) LIMITED,0050013987,"749,777.09"
Departmen of Health,NHS Business Services Authority,21/12/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080001432,"24,641.00"
Departmen of Health,NHS Business Services Authority,23/12/2010,Service Charges General,Counter Fraud & Security Management Service,ALLIANZ IMMOBILIEN GMBH (RENT),0050014158,"131,323.19"
Departmen of Health,NHS Business Services Authority,24/12/2010,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050014160,"1,457,844.00"
Departmen of Health,NHS Business Services Authority,24/12/2010,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050014161,"65,175.00"
Departmen of Health,NHS Business Services Authority,31/12/2010,Pharmacy Contractors,Prescription Pricing Division,,,"759,970,629.42"
