Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,01/12/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080052374,"23,884.40",Mail,S49 1HQ
Departmen of Health,NHS Business Services Authority,01/12/2014,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0080052418,"56,006.26",3M Printing,RG12 1FE
Department of Health,NHS Business Services Authority,01/12/2014,Dental Contractors,Dental Services ,,,"177,700,024.00",Payments to Dental Contractors,
Department of Health,NHS Business Services Authority,01/12/2014,Pharmacy Contractors,Prescription Pricing ,,,"740,437,670.99",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,02/12/2014,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050029887,"29,402.00",RATES DEC14,NE99 2PT
Departmen of Health,NHS Business Services Authority,02/12/2014,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050029888,"36,632.00",RATES DEC14,NE99 2PT
Departmen of Health,NHS Business Services Authority,02/12/2014,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080052216,"76,514.38",MITI FIXED APRAUG 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,02/12/2014,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080052216,"1,552.63",MITI FIXED APRAUG 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,02/12/2014,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080052217,"284,539.60",MITI VARIABLE SEPT 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,02/12/2014,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080052217,"9,501.17",MITI VARIABLE SEPT 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,02/12/2014,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080052218,"344,211.61",MITI FIXED SEPT 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,02/12/2014,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080052218,793.97,MITI FIXED SEPT 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,03/12/2014,Postage Charges,Pensions Division,ROYAL MAIL,0080051791,"126,280.54",Mail,S49 1HQ
Departmen of Health,NHS Business Services Authority,03/12/2014,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080052575,"249,437.58",DCSS FIXEDVARIABLE PASS THRO SEPT 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,03/12/2014,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080052575,"8,860.70",DCSS FIXEDVARIABLE PASS THRO SEPT 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,03/12/2014,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080052577,"26,838.25",RPI MAYAUG 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,03/12/2014,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080052577,953.36,RPI MAYAUG 14,DL1 9HN
Department of Health,NHS Business Services Authority,03/12/2014,Pharmacy Contractors,Prescription Pricing ,,,"765,902.34",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,04/12/2014,Printing Charges (External),Prescription Pricing Division,CPI CARD GROUP - PETERSFIELD LIMITED,0080052490,"46,871.37",TC Cards October,GU32 3AL
Departmen of Health,NHS Business Services Authority,05/12/2014,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080052736,"314,841.64",MITI VARIABLE CHARGES OCT 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/12/2014,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080052736,"9,871.69",MITI VARIABLE CHARGES OCT 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/12/2014,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080052738,"27,027.00",Ashish Marwaha - PL/SQL  Developer,E1 6DX
Departmen of Health,NHS Business Services Authority,05/12/2014,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080052741,"60,267.00",Project: CIP Accuracy Improvement,E1 6DX
