Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,03/01/2012,Professional Fees,Pensions Division,GOVERNMENT ACTUARY'S DEPARTMENT,0050021591,"31,882.45",ACTURIAL SERVICES PERIOD END 30/11/11,EC4A 1AB
Departmen of Health,NHS Business Services Authority,03/01/2012,Dental Contractors,Dental Services Division,,,"174,035,073",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,04/01/2012,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080013297,"84,933.30",Call Off Authorisation Note - CON/0053,DL1 9HN
Departmen of Health,NHS Business Services Authority,04/01/2012,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080013303,"89,998.80",Call Off Authorisation Note - CON/0047,DL1 9HN
Departmen of Health,NHS Business Services Authority,04/01/2012,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080013305,"36,399.98",Call Off Authorisation Note - CON/0062,DL1 9HN
Departmen of Health,NHS Business Services Authority,04/01/2012,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080013306,"28,241.80",Call Off Authorisation Note - CON/0068,DL1 9HN
Departmen of Health,NHS Business Services Authority,04/01/2012,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080013307,"31,736.86",Call Off Authorisation Note - CON/0064,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/01/2012,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080013119,"90,647.00",DENTAL PILOTS NOV 11,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/01/2012,Legal Fees General,Corporate Services,ADDLESHAW GODDARD,0080012898,"23,648.09",XP RECOVERY PROF CHARGES APROCT 11,LS1 1HQ
Departmen of Health,NHS Business Services Authority,06/01/2012,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0080013300,"33,173.92",PWC Invoice  8 of 12,E14 9SQ
Departmen of Health,NHS Business Services Authority,06/01/2012,Pharmacy Contractors,Prescription Pricing Division,,,"414,713.07",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,09/01/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050021695,"25,644.05",A/C 0912819049,S49 1HQ
Departmen of Health,NHS Business Services Authority,09/01/2012,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080013118,"75,078.00",,DL1 9HN
Departmen of Health,NHS Business Services Authority,09/01/2012,Professional Publications,Prescription Pricing Division,THE STATIONERY OFFICE,0080013381,"28,079.10",,NR3 1PD
Departmen of Health,NHS Business Services Authority,09/01/2012,Pharmacy Contractors,Prescription Pricing Division,,,"52,940.34",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,10/01/2012,Pharmacy Contractors,Prescription Pricing Division,,,"14,186.21",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,11/01/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050021724,"43,348.70",A/C 0912819034 DEC11,S49 1HQ
Departmen of Health,NHS Business Services Authority,11/01/2012,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050021740,"29,577.00",RATES JAN 12,NE99 2PT
Departmen of Health,NHS Business Services Authority,11/01/2012,Rent,Corporate Services,EMERSON MANAGEMENT SERVICES,0080012697,"122,697.00",CP Rent 25 Dec 11  24 Mar 12,SK9 7LF
Departmen of Health,NHS Business Services Authority,13/01/2012,Envision Comms Centre,Pensions Division,PAYMASTER (1836) LIMITED,0050021779,"42,742.51",NOVEMBER CONTRACT ADJUST,RH10 1UH
Departmen of Health,NHS Business Services Authority,13/01/2012,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050021782,"32,585.36",CHILDCARE VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,13/01/2012,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080013415,"205,750.00",Stage 6 - Implementation,RH10 1UH
