Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,04/01/2011,Dental Contractors,Dental Services Division,,,"185,267,356.00"
Departmen of Health,NHS Business Services Authority,04/01/2011,Pharmacy Contractors,Prescription Pricing Division,,,"533,952.09"
Departmen of Health,NHS Business Services Authority,06/01/2011,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,50014336,"35,000.00"
Departmen of Health,NHS Business Services Authority,06/01/2011,Telphone Charges,Pensions Division,PROLOG,50014423,"131,036.81"
Departmen of Health,NHS Business Services Authority,06/01/2011,Rent,Pensions Division,EUROPEAN PENSIONS MANAGEMENT LTD,50014424,"160,000.00"
Departmen of Health,NHS Business Services Authority,06/01/2011,Envision Medical Fees,Pensions Division,PAYMASTER (1836) LIMITED,50014425,"61,603.17"
Departmen of Health,NHS Business Services Authority,07/01/2011,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,50014435,"81,500.19"
Departmen of Health,NHS Business Services Authority,10/01/2011,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,50014520,"24,488.69"
Departmen of Health,NHS Business Services Authority,10/01/2011,Pharmacy Contractors,Prescription Pricing Division,,,"205,978.79"
Departmen of Health,NHS Business Services Authority,12/01/2011,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,50014495,"67,609.44"
Departmen of Health,NHS Business Services Authority,12/01/2011,LAN Software,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,50014625,"25,618.00"
Departmen of Health,NHS Business Services Authority,14/01/2011,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,50014796,"1,523,462.00"
Departmen of Health,NHS Business Services Authority,14/01/2011,Statutory Payments,Corporate Services,HMRC,,"928,025.39"
Departmen of Health,NHS Business Services Authority,14/01/2011,Statutory Payments,Corporate Services,HMRC,,"741,837.66"
Departmen of Health,NHS Business Services Authority,14/01/2011,Pension Contributions,Corporate Services,NHS PENSIONS,,"713,644.34"
Departmen of Health,NHS Business Services Authority,14/01/2011,Pharmacy Contractors,Prescription Pricing Division,,,"111,836.46"
Departmen of Health,NHS Business Services Authority,17/01/2011,Professional Fees,Dental Services Division,CAPITA BUSINESS SERVICES LTD,50014800,"342,536.00"
Departmen of Health,NHS Business Services Authority,17/01/2011,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,50014810,"28,938.39"
Departmen of Health,NHS Business Services Authority,17/01/2011,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,50014810,"1,302.23"
Departmen of Health,NHS Business Services Authority,19/01/2011,Stationary Charges,Prescription Pricing Division,THE STATIONERY OFFICE,50014976,"27,031.42"
Departmen of Health,NHS Business Services Authority,19/01/2011,Data Communication Lines,Dental Services Division,BT GLOBAL SERVICES,50014980,"15,300.95"
Departmen of Health,NHS Business Services Authority,19/01/2011,Data Communication Lines,Pensions Division,BT GLOBAL SERVICES,50014980,"17,254.53"
Departmen of Health,NHS Business Services Authority,19/01/2011,Envision Estates,Pensions Division,PAYMASTER (1836) LIMITED,50014998,"949,083.70"
Departmen of Health,NHS Business Services Authority,19/01/2011,Professional Fees,Pensions Division,PAYMASTER (1836) LIMITED,80001561,"85,194.83"
Departmen of Health,NHS Business Services Authority,20/01/2011,LAN Maintenance,Prescription Pricing Division,QAS LIMITED,80001509,"51,043.74"
Departmen of Health,NHS Business Services Authority,20/01/2011,PC Maintenance,Counter Fraud & Security Management Service,COMPUTACENTER (UK) LTD,80001522,"28,448.75"
Departmen of Health,NHS Business Services Authority,24/01/2011,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,50015155,"35,000.00"
Departmen of Health,NHS Business Services Authority,25/01/2011,Legal Fees General,Counter Fraud & Security Management Service,DEPARTMENT FOR WORK AND PENSIONS,50014239,"50,250.07"
Departmen of Health,NHS Business Services Authority,25/01/2011,Telphone Charges,Pensions Division,PROLOG,50015198,"93,155.83"
Departmen of Health,NHS Business Services Authority,25/01/2011,Lone Worker Support Services,Counter Fraud & Security Management Service,RELIANCE SECURE TASK MANAGEMENT,50015241,"188,808.87"
Departmen of Health,NHS Business Services Authority,31/01/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,50015457,"31,538.53"
Departmen of Health,NHS Business Services Authority,31/01/2011,Pharmacy Contractors,Prescription Pricing Division,,,"10,146,108.76"
