Department family,Entity,Date,Expense type,Expense Area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,02/01/2014,Dental Contractors,Dental Services ,,,"181,367,303.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,03/01/2014,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080042507,"64,500.00",Milestone 2 ¿ System test option 2 /,RH10 1UH
Departmen of Health,NHS Business Services Authority,06/01/2014,Pharmacy Contractors,Prescription Pricing ,,,"897,500.41",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,07/01/2014,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050027939,"35,796.00",PROPERTY REF: N011495,NE99 2PT
Departmen of Health,NHS Business Services Authority,07/01/2014,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050027940,"31,923.00",N166187,NE99 2PT
Departmen of Health,NHS Business Services Authority,07/01/2014,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0080042560,"25,527.87",Printing,NR3 1PD
Departmen of Health,NHS Business Services Authority,09/01/2014,Professional Fees,Pensions Division,CEM  BENCHMARKING UK LTD,0050027932,"25,000.00",PROVISION PENSION ADMIN DEC 13,TN2 9TG
Departmen of Health,NHS Business Services Authority,09/01/2014,Rent,NHS Protect,SAVILLS COMMERCIAL LTD,0080042026,"35,773.81",Rent and Service charges,M2 4AW
Departmen of Health,NHS Business Services Authority,09/01/2014,Telphone Charges,Pensions Division,PROLOG,0080042360,"31,647.71",Telephone Charges,CO10 2XG
Departmen of Health,NHS Business Services Authority,09/01/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080042382,"44,253.11",LIS postage,S49 1HQ
Departmen of Health,NHS Business Services Authority,09/01/2014,Pharmacy Contractors,Prescription Pricing ,,,"117,798.20",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,14/01/2014,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050027955,"58,625.34",VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,14/01/2014,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050027955,586.25,VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,14/01/2014,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080042900,"78,960.07",Nipun Aggarwal - Application Developer,E1 6DX
Departmen of Health,NHS Business Services Authority,15/01/2014,Building Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080042691,"26,088.14",MP03 Certificate 21,HP2 7TR
Departmen of Health,NHS Business Services Authority,15/01/2014,Statutory Payments,Corporate Services,HMRC,,"12,279,928.84",NI & TAX,
Departmen of Health,NHS Business Services Authority,15/01/2014,Statutory Payments,Corporate Services,HMRC,,"838,576.15",PENSIONS,
Departmen of Health,NHS Business Services Authority,16/01/2014,Professional Fees,Corporate Services,RS CONSULTING LTD,0080042673,"20,887.50",Professional Fees,SW8 4BG
Departmen of Health,NHS Business Services Authority,16/01/2014,Professional Fees,Corporate Services,RS CONSULTING LTD,0080042674,"55,900.00",Professional Fees,SW8 4BG
Departmen of Health,NHS Business Services Authority,16/01/2014,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080042832,"152,995.00",CA 1098 REEMPLOYED PENSIONERS PO 7990,RH10 1UH
Departmen of Health,NHS Business Services Authority,17/01/2014,Travel,Corporate Services,REDFERN TRAVEL,0050027988,"76,887.89",TRAVEL DEC 13,BD1 3AZ
Departmen of Health,NHS Business Services Authority,17/01/2014,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0080042694,"68,960.48",MW 3.09 CE004 Additional asbestos,HP2 7TR
Departmen of Health,NHS Business Services Authority,17/01/2014,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0080042695,"208,252.84",MP02 Hesketh House Certificate 22,HP2 7TR
Departmen of Health,NHS Business Services Authority,20/01/2014,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050027992,"857,144.58",RETAINED SERVICES,RH10 1UH
Departmen of Health,NHS Business Services Authority,21/01/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080042633,"25,844.86",Postage,S49 1HQ
Departmen of Health,NHS Business Services Authority,22/01/2014,Envision Payroll,Pensions Division,PAYMASTER (1836) LIMITED,0080042534,"31,569.16",NHS PENSION CHOICE DISTRIBUTION NOV 13,RH10 1UH
Departmen of Health,NHS Business Services Authority,23/01/2014,Temporary Staff,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0080041416,"25,666.25",6 Week On-Site Resource,BT7 1NT
Departmen of Health,NHS Business Services Authority,23/01/2014,Temporary Staff,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0080042020,"28,296.00",Work Order: 029 - Purchase of an,BT7 1NT
Departmen of Health,NHS Business Services Authority,23/01/2014,Professional Fees,Pensions Division,SAPIENT LIMITED,0080043083,"25,125.00",Sara Adam - Senior Consultant Business,E1 6DX
Departmen of Health,NHS Business Services Authority,23/01/2014,LAN Maintenance,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0080043091,"48,707.00",Connect Developer,BT7 1NT
Departmen of Health,NHS Business Services Authority,29/01/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080043174,"33,661.54",Postage,S49 1HQ
Departmen of Health,NHS Business Services Authority,30/01/2014,Ex Gratia Payments,Corporate Services,HM REVENUE & CUSTOMS,0080042996,"162,111.20",201213 UNAUTHORISED PAYMENTS,BD98 1YY
Departmen of Health,NHS Business Services Authority,30/01/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080043022,"23,383.02",EHIC postage,S49 1HQ
Departmen of Health,NHS Business Services Authority,30/01/2014,Professional Fees,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080043295,"23,546.56",Audit Fees,E14 9SQ
Departmen of Health,NHS Business Services Authority,30/01/2014,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080043320,"71,271.25",DEDUCTIONS JAN14,RG24 9NW
Departmen of Health,NHS Business Services Authority,31/01/2014,Leadership,Corporate Services,IDEATIONAL LTD,0050028078,"22,050.00",FULL COACHING FEB-NOV 14,HP10 8AD
