Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,02/01/2013,Dental Contractors,Dental Services Division,,,"186,900,607",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,03/01/2013,Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0050025443,"42,490.64",CERT 14 TASK 2.16 PHASE 1,HP2 7TR
Departmen of Health,NHS Business Services Authority,03/01/2013,Pharmacy Contractors,Prescription Pricing Division,,,"1,739,569.56",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,04/01/2013,Pharmacy Contractors,Prescription Pricing Division,,,"810,495.90",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,07/01/2013,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080028919,"81,590.00",Lalit Verma - Consultant Application,E1 6DX
Departmen of Health,NHS Business Services Authority,08/01/2013,Pharmacy Contractors,Prescription Pricing Division,,,"121,399.89",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,09/01/2013,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050025506,"34,808.00",N011495 JAN 13,NE99 2PT
Departmen of Health,NHS Business Services Authority,09/01/2013,Consumables,Prescription Pricing Division,IBML,0080027709,"60,216.31","Item No. 3400 - Estimated Shipping,",35210
Departmen of Health,NHS Business Services Authority,09/01/2013,General Maintenance,Pensions Division,PAYMASTER (1836) LIMITED,0080028805,"28,769.03",Minor Works,RH10 1UH
Departmen of Health,NHS Business Services Authority,09/01/2013,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0080028807,"25,888.50",Printing,NR3 1PD
Departmen of Health,NHS Business Services Authority,10/01/2013,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0080028808,"36,410.50",INTERNAL AUDIT,E14 9SQ
Departmen of Health,NHS Business Services Authority,10/01/2013,Ex Gratia Payments,Corporate Services,HM REVENUE & CUSTOMS,0080029101,"159,381.80",REF PSTR00328820RJ 1112,BD98 1YY
Departmen of Health,NHS Business Services Authority,11/01/2013,Envision Medical Services,Pensions Division,PAYMASTER (1836) LIMITED,0080028515,"29,832.55",IT services,RH10 1UH
Departmen of Health,NHS Business Services Authority,15/01/2013,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050025515,"30,916.75",VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,15/01/2013,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050025515,309.17,VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,15/01/2013,Temporary Staff,Corporate Services,SAPIENT LIMITED,0080029110,"32,636.80",Amit George - Senior Consultant Project,E1 6DX
Departmen of Health,NHS Business Services Authority,15/01/2013,Software Purchases,Prescription Pricing Division,SOFTWARE BOX LIMITED,0080029387,"42,150.62",Office Pro Plus 2013 SNGL MVL,YO61 1ET
Departmen of Health,NHS Business Services Authority,15/01/2013,Pharmacy Contractors,Prescription Pricing Division,,,"49,217.86",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,15/01/2013,Statutory Payments,Corporate Services,HMRC,,"1,253,236.24",NI & TAX,
Departmen of Health,NHS Business Services Authority,15/01/2013,Statutory Payments,Corporate Services,HMRC,,"666,859.78",PENSIONS,
Departmen of Health,NHS Business Services Authority,17/01/2013,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080029614,"24,528.00",IT Development Services to deliver,RH10 1UH
Departmen of Health,NHS Business Services Authority,17/01/2013,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080029615,"58,930.00",IT Development Services to deliver,RH10 1UH
Departmen of Health,NHS Business Services Authority,17/01/2013,Envision Other,Corporate Services,PAYMASTER (1836) LIMITED,0080029620,"36,529.00",IT Development Services to provide,RH10 1UH
Departmen of Health,NHS Business Services Authority,17/01/2013,Envision Other,Corporate Services,PAYMASTER (1836) LIMITED,0080029621,"21,596.00",IT Development Services to provide,RH10 1UH
Departmen of Health,NHS Business Services Authority,17/01/2013,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080029623,"145,115.00",Milestone 4 - Project,RH10 1UH
Departmen of Health,NHS Business Services Authority,17/01/2013,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080029624,"42,600.00",XAFINITY PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,17/01/2013,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080029626,"35,468.00",XAFINITY PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,17/01/2013,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080029629,"32,000.00",IT Development Services to deliver,RH10 1UH
Departmen of Health,NHS Business Services Authority,17/01/2013,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080029633,"46,650.00",IT Development Services - commissioned,RH10 1UH
Departmen of Health,NHS Business Services Authority,18/01/2013,Pharmacy Contractors,Prescription Pricing Division,,,"7,191.84",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,21/01/2013,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050025581,"27,481.80",MISC HWHC DEC 12,OL9 9QH
Departmen of Health,NHS Business Services Authority,21/01/2013,Postage Charges,Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050025582,"24,704.80",HC20 & FP95,OL9 9QH
Departmen of Health,NHS Business Services Authority,21/01/2013,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050025583,"44,175.13",MISC HWHC NOV 12,OL9 9QH
Departmen of Health,NHS Business Services Authority,21/01/2013,Printing Charges (External),Pensions Division,3M SECURITY PRINTING & SYSTEMS LTD,0080029708,"39,845.00","3M to print 70,000 NHS Pensions SD",OL9 9QH
Departmen of Health,NHS Business Services Authority,22/01/2013,Envision IT / IS,Pensions Division,PAYMASTER (1836) LIMITED,0050025587,"857,144.58",NHS pensions agency partnership contract,RH10 1UH
Departmen of Health,NHS Business Services Authority,23/01/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050025564,"1,669.05","ROBERTSON, GEMMA W/E 13-01-13",LU1 3BA
Departmen of Health,NHS Business Services Authority,23/01/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050025564,"18,041.74","LAWRENCE, ANDREW W/E 13-01-13",LU1 3BA
Departmen of Health,NHS Business Services Authority,23/01/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080028586,"25,600.35",tc postage,S49 1HQ
Departmen of Health,NHS Business Services Authority,25/01/2013,Furniture & Equiptment Capital,Corporate Services,FLEXIFORM,0080029742,"31,080.00",Flexiform,BD3 7AE
Departmen of Health,NHS Business Services Authority,29/01/2013,Minor Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080030078,"30,344.59",Minor works cert 15,HP2 7TR
Departmen of Health,NHS Business Services Authority,29/01/2013,IBM Maintenance Contract,Prescription Pricing Division,IBM UK LTD,0080030154,"33,864.00",Part No: D03RLLL - IBM Security Access,PO6 3AF
Departmen of Health,NHS Business Services Authority,30/01/2013,Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080029699,"373,096.38",MP03 Certificate 9,HP2 7TR
Departmen of Health,NHS Business Services Authority,30/01/2013,Professional Fees,Pensions Division,PAYMASTER (1836) LIMITED,0080029725,"21,298.71",Maimntenance Fees,RH10 1UH
Departmen of Health,NHS Business Services Authority,31/01/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050025614,"19,443.95",M BLAYLOCK W/E 20/01/13,LU1 3BA
Departmen of Health,NHS Business Services Authority,31/01/2013,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0080030079,"69,930.07",MONTHLY PENSION CONTRIBUTION JAN13,RG21 4HG
Departmen of Health,NHS Business Services Authority,31/01/2013,Pharmacy Contractors,Prescription Pricing Division,,,"6,652,717.00",Payments to Pharmacy Contractors,
