Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Department of Health,NHS Business Services Authority,02/01/2015,Dental Contractors,Dental Services ,,,"187,732,725.00",Payments to Dental Contractors,
Department of Health,NHS Business Services Authority,02/01/2015,Pharmacy Contractors,Prescription Pricing ,,,"769,440.25",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,05/01/2015,LAN Maintenance,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0080053785,"63,114.83",Renewal of Connect Developer,BT7 1NT
Departmen of Health,NHS Business Services Authority,06/01/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050030012,"29,402.00",RATES JAN15,NE99 2PT
Departmen of Health,NHS Business Services Authority,06/01/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050030013,"36,632.00",RATES JAN15,NE99 2PT
Departmen of Health,NHS Business Services Authority,07/01/2015,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0080053590,"45,127.50",MP03  Cert 24,HP2 7TR
Departmen of Health,NHS Business Services Authority,08/01/2015,Temporary Staff,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080052309,"50,784.10","Expenses : up to £74,950.",E14 9SQ
Department of Health,NHS Business Services Authority,08/01/2015,Pharmacy Contractors,Prescription Pricing ,,,"2,457,096.19",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,09/01/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080053462,"26,556.83",EHIC postage December 14 UK,S49 1HQ
Departmen of Health,NHS Business Services Authority,09/01/2015,PC Maintenance,Prescription Pricing Division,PAYMASTER (1836) LTD,0080053966,"21,914.10",SUPPLIER: EQUINITI PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,12/01/2015,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080053713,"46,468.51",Envision Payroll,RH10 1UH
Departmen of Health,NHS Business Services Authority,12/01/2015,Envision IT / IS,Pensions Division,PAYMASTER (1836) LTD,0080054130,"37,394.51",IT Support Service Charges for the 4,RH10 1UH
Departmen of Health,NHS Business Services Authority,14/01/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080053823,"34,462.20",PPC,S49 1HQ
Departmen of Health,NHS Business Services Authority,14/01/2015,Professional Publications,Corporate Services,POSITIVE PURCHASING LIMITED,0080054043,"36,000.00",IPR agreement for the 5i Strategic,PL1 3GE
Departmen of Health,NHS Business Services Authority,14/01/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080054068,"61,550.40",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,14/01/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080054071,"75,150.40",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,14/01/2015,Temporary Staff,Pensions Division,ACUITY BUSINESS SOLUTIONS LTD,0080054159,"38,568.77",Temporary Staff,EX2 8LB
Departmen of Health,NHS Business Services Authority,15/01/2015,Temporary Staff,Corporate Services,REDFERN TRAVEL,0050030035,"54,768.80",DEC 14,BD1 3AZ
Departmen of Health,NHS Business Services Authority,15/01/2015,Temporary Staff,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080053450,"52,072.48","Order for PwC, FAO Pete Sparshott",E14 9SQ
Department of Health,NHS Business Services Authority,15/01/2015,Statutory Payments,Corporate Services,HMRC,,"1,204,675.64",NI & TAX,
Department of Health,NHS Business Services Authority,15/01/2015,Statutory Payments,Corporate Services,HMRC,,"884,146.08",PENSIONS,
Departmen of Health,NHS Business Services Authority,19/01/2015,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050030059,"909,069.75",RTAINED,RH10 1UH
Departmen of Health,NHS Business Services Authority,20/01/2015,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050030043,"61,394.18",NHSE,SW1V 2RS
Departmen of Health,NHS Business Services Authority,20/01/2015,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050030043,736.73,NHSE,SW1V 2RS
Departmen of Health,NHS Business Services Authority,20/01/2015,Software Purchases,NHS Protect,KODAK ALARIS LTD,0080054035,"29,188.80",Order as per line 19 on quote,HP2 7YU
Departmen of Health,NHS Business Services Authority,20/01/2015,Printing Charges (External),Prescription Pricing Division,WILLIAMS LEA LTD,0080054297,"25,260.91",Drug Tariff Annual Printing Costs,EC1M 4NA
Departmen of Health,NHS Business Services Authority,22/01/2015,IT,Pensions Division,DEPARTMENT OF HEALTH,0080054269,"166,697.31",CCN CHRGSLEAFLETS,LS2 7UE
Departmen of Health,NHS Business Services Authority,23/01/2015,Storage Costs,Prescription Pricing Division,RESTORE PLC,0050030072,"26,801.92",STORAGE COSTS 01.12.14 - 31.12.14,RH1 5DY
Departmen of Health,NHS Business Services Authority,28/01/2015,Equipment Repairs & Maintenance,Corporate Services,MICAD SYSTEMS UK LTD,0080052368,"42,248.79",12 Month Lease MICAD PPM Module,WA14 5UA
Departmen of Health,NHS Business Services Authority,28/01/2015,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080054335,"38,516.25",Envision Payroll,RH10 1UH
Departmen of Health,NHS Business Services Authority,28/01/2015,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080054660,"41,663.08",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,28/01/2015,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080054662,"30,030.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,30/01/2015,Temporary Staff,Pensions Division,SAPIENT LIMITED,0080054655,"44,019.19",NHS Pension 2015 Scheme Implementation.,E1 6DX
Departmen of Health,NHS Business Services Authority,30/01/2015,Temporary Staff,Pensions Division,SAPIENT LIMITED,0080054657,"44,019.19",NHS Pension 2015 Scheme Implementation.,E1 6DX
