Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,01/02/2012,Temporary Staff,Corporate Services,INTEGRATED HEALTH PROJECTS,0080013745,"60,662.86",Task 19 BH Lift asbestos (Phase 2),HP2 7TR
Departmen of Health,NHS Business Services Authority,01/02/2012,Dental Contractors,Dental Services Division,,,"187,077,884.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,01/02/2012,Pharmacy Contractors,Prescription Pricing Division,,,"788,903,390.04",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,03/02/2012,Pharmacy Contractors,Prescription Pricing Division,,,"661,439.50",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,06/02/2012,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080014168,"86,432.50",Resource Name: To Be Confirmed,E1 6DX
Departmen of Health,NHS Business Services Authority,09/02/2012,Legal Fees General,Corporate Services,ADDLESHAW GODDARD,0050021987,"26,263.63",XP RECOVERY 1NOV11 - 28DEC11,LS1 1HQ
Departmen of Health,NHS Business Services Authority,09/02/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050022069,"31,566.58",A/C 0912819049 JAN12,S49 1HQ
Departmen of Health,NHS Business Services Authority,09/02/2012,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080014225,"28,727.80",IT Services to deliver,DL1 9HN
Departmen of Health,NHS Business Services Authority,09/02/2012,Pharmacy Contractors,Prescription Pricing Division,,,"54,849.08",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,10/02/2012,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050022087,"32,657.05",CHILDCARE VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,10/02/2012,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050022087,326.57,CHILDCARE VOUCHERS,SW1V 2RS
