Department family,Entity,Date,Expense type,GL_CODE,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,01/02/2013,Pharmacy Contractors,Prescription Pricing Division,,,"743,360,252.43",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,01/02/2013,Dental Contractors,Dental Services Division,,,"178,091,269",Payments to Dental Contractors,,
Departmen of Health,NHS Business Services Authority,04/02/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080030262,"32,331.19",tc postage,S49 1HQ,
Departmen of Health,NHS Business Services Authority,05/02/2013,Envision Medical Fees,Pensions Division,PAYMASTER (1836) LIMITED,0080030004,"28,066.80",IT,RH10 1UH,
Departmen of Health,NHS Business Services Authority,05/02/2013,Temporary Staff,Corporate Services,SAPIENT LIMITED,0080030429,"26,290.80",Temporary Staff,E1 6DX,
Departmen of Health,NHS Business Services Authority,05/02/2013,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080030435,"87,717.00",Temporary Staff,E1 6DX,
Departmen of Health,NHS Business Services Authority,05/02/2013,Pharmacy Contractors,Prescription Pricing Division,,,"783,817.44",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,07/02/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080029798,"25,177.92",PPC postage,S49 1HQ,
Departmen of Health,NHS Business Services Authority,07/02/2013,LAN Maintenance,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0080030416,"30,741.60",IT,BT7 1NT,
Departmen of Health,NHS Business Services Authority,07/02/2013,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0080030469,"26,602.04",Printing,NR3 1PD,
Departmen of Health,NHS Business Services Authority,07/02/2013,Pharmacy Contractors,Prescription Pricing Division,,,"54,835.57",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,08/02/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050025643,"2,159.66",Temporary Staff,LU1 3BA,
Departmen of Health,NHS Business Services Authority,08/02/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050025643,"21,761.40",Temporary Staff,LU1 3BA,
Departmen of Health,NHS Business Services Authority,08/02/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050025643,"7,799.52",Temporary Staff,LU1 3BA,
Departmen of Health,NHS Business Services Authority,08/02/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080030414,"23,792.80",ppc postage,S49 1HQ,
Departmen of Health,NHS Business Services Authority,08/02/2013,Envision Payroll,Pensions Division,PAYMASTER (1836) LIMITED,0080030621,"27,742.00",XAFINITY PAYMASTER,RH10 1UH,
Departmen of Health,NHS Business Services Authority,08/02/2013,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080030625,"21,491.75",Call Off Authorisation Note - CON/0133,DL1 9HN,
Departmen of Health,NHS Business Services Authority,11/02/2013,Printing Charges (External),Prescription Pricing Division,IDS UK LIMITED,0050025693,"21,690.62",PO 6249 COMPLETE PAY NON/PURCH,SO32 2EJ,
Departmen of Health,NHS Business Services Authority,11/02/2013,Photocopier Rental,Prescription Pricing Division,XEROX (UK) LTD,0080022411,"42,751.56",Photocopier Rental,BN13 1QG,
Departmen of Health,NHS Business Services Authority,13/02/2013,Professional Fees,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080030899,"33,500.00",Call Off Authorisation Note - Provision,DL1 9HN,
Departmen of Health,NHS Business Services Authority,14/02/2013,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050025715,"31,004.75",CFH VOUCHERS 12.02.13,SW1V 2RS,
Departmen of Health,NHS Business Services Authority,14/02/2013,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050025715,310.05,CFH VOUCHERS 12.02.13,SW1V 2RS,
Departmen of Health,NHS Business Services Authority,15/02/2013,Statutory Payments,Corporate Services,HMRC,,"1,220,430.70",NI & TAX,,
Departmen of Health,NHS Business Services Authority,15/02/2013,Statutory Payments,Corporate Services,HMRC,,"669,498.39",PENSIONS,,
Departmen of Health,NHS Business Services Authority,18/02/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050025736,"1,649.40",Temporary Staff,LU1 3BA,
Departmen of Health,NHS Business Services Authority,18/02/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050025736,"16,781.89",Temporary Staff,LU1 3BA,
Departmen of Health,NHS Business Services Authority,18/02/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050025736,"6,745.06",Temporary Staff,LU1 3BA,
Departmen of Health,NHS Business Services Authority,18/02/2013,Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080030876,"135,547.36",MP03 BRIDGE HOUSE RFB,HP2 7TR,
Departmen of Health,NHS Business Services Authority,19/02/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050025692,"17,974.94",Temporary Staff,LU1 3BA,
Departmen of Health,NHS Business Services Authority,19/02/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050025692,"9,592.76",Temporary Staff,LU1 3BA,
Departmen of Health,NHS Business Services Authority,19/02/2013,Envision Medical Services,Pensions Division,PAYMASTER (1836) LIMITED,0050025778,"857,144.58",MEDICAL SERVICES,RH10 1UH,
Departmen of Health,NHS Business Services Authority,21/02/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080031562,"28,895.73",AC 0912819049,S49 1HQ,
Departmen of Health,NHS Business Services Authority,27/02/2013,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050025777,"36,907.01",HWHC JAN13,OL9 9QH,
Departmen of Health,NHS Business Services Authority,27/02/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080031315,"25,334.33",ehic postage,S49 1HQ,
Departmen of Health,NHS Business Services Authority,27/02/2013,Professional Fees,Corporate Services,GOVERNMENT ACTUARY'S DEPARTMENT,0080031590,"29,751.75",Actuarial Services,EC4A 1AB,
Departmen of Health,NHS Business Services Authority,27/02/2013,Professional Fees,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080031715,"22,141.76",Technical Assurance - 8 Environments,DL1 9HN,
Departmen of Health,NHS Business Services Authority,28/02/2013,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080031769,"59,845.00",Temporary Staff,E1 6DX,
Departmen of Health,NHS Business Services Authority,28/02/2013,Pharmacy Contractors,Prescription Pricing Division,,,"6,939,380.35",Payments to Pharmacy Contractors,,
