Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,02/02/2015,Temporary Staff,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080054312,"50,375.68",Order for PwC,E14 9SQ
Department of Health,NHS Business Services Authority,02/02/2015,Dental Contractors,Dental Services ,,,"194,911,512.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,03/02/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080054329,"26,966.37",Jan 2015 Postage for CPI PPC,S49 1HQ
Departmen of Health,NHS Business Services Authority,04/02/2015,Ex Gratia Payments,Corporate Services,HM REVENUE & CUSTOMS,0050030132,"117,390.20",XH0000100106477 JAN15,BD98 1YY
Departmen of Health,NHS Business Services Authority,04/02/2015,Temporary Staff,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080054909,"105,893.53",Project Manager - Senior Consultant,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/02/2015,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080054886,"360,542.34",PCN DEC2014,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/02/2015,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080054886,"-9,551.75",BECS POSTAGE NOV2014,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/02/2015,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080054887,"249,437.58",TRAINING,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/02/2015,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080054887,"8,860.70",EASTBOURNE ACCOMMODATION,DL1 9HN
Department of Health,NHS Business Services Authority,05/02/2015,Pharmacy Contractors,Prescription Pricing ,,,"1,074,042.29",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,06/02/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080055085,"32,406.00",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,06/02/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080055087,"63,088.80",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,09/02/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080054731,"52,154.74",Tax credit,S49 1HQ
Departmen of Health,NHS Business Services Authority,09/02/2015,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080055061,"70,401.49",DEDUCTIONS JAN 15,RG24 9NW
Departmen of Health,NHS Business Services Authority,11/02/2015,General Maintenance,NHS Protect,COMMUNITIES AND LOCAL GOVERNMENT,0080054889,"83,038.20",Rent Jan  Mar 15,HP2 4XN
Departmen of Health,NHS Business Services Authority,11/02/2015,Building Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080055056,"42,673.06",MP02 Certificate no 32,HP2 7TR
Departmen of Health,NHS Business Services Authority,11/02/2015,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0080055108,"170,469.46",MW 4.27 PMI 023 BSA Asbestos Strategy,HP2 7TR
Departmen of Health,NHS Business Services Authority,13/02/2015,Rent,NHS Protect,SKILLS FUNDING AGENCY,0080055020,"142,825.00",RENT CHEYLESMORE HOUSE Q3 & Q4,CV1 2WT
Department of Health,NHS Business Services Authority,13/02/2015,Statutory Payments,Corporate Services,HMRC,,"1,310,794.97",NI & TAX,
Department of Health,NHS Business Services Authority,13/02/2015,Statutory Payments,Corporate Services,HMRC,,"874,319.41",PENSIONS,
Departmen of Health,NHS Business Services Authority,16/02/2015,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050030177,"62,440.18",VOUCHERS  NHSE,SW1V 2RS
Departmen of Health,NHS Business Services Authority,16/02/2015,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050030177,749.28,VOUCHERS  NHSE,SW1V 2RS
Departmen of Health,NHS Business Services Authority,17/02/2015,Temporary Staff,Pensions Division,ACUITY BUSINESS SOLUTIONS LTD,0080055453,"27,024.52",Temporary Staff,EX2 8LB
Departmen of Health,NHS Business Services Authority,18/02/2015,Temporary Staff,Unclassified,REDFERN TRAVEL,0050030196,"97,229.68",JAN 15,BD1 3AZ
Departmen of Health,NHS Business Services Authority,18/02/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080055062,"45,565.48",EHIC EU,S49 1HQ
Departmen of Health,NHS Business Services Authority,18/02/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080055081,"77,028.80",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,18/02/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080055089,"30,600.00",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,18/02/2015,PC Maintenance,Pensions Division,DEPARTMENT OF HEALTH,0080055243,"146,733.02",CCN 789 MONTHLY CHARGE 1415,LS2 7UE
Departmen of Health,NHS Business Services Authority,18/02/2015,Temporary Staff,Pensions Division,SAPIENT LIMITED,0080055383,"44,019.19",NHS Pension 2015 Scheme Implementation.,E1 6DX
Departmen of Health,NHS Business Services Authority,19/02/2015,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050030218,"909,069.75",RETAINED SERVICES,RH10 1UH
Departmen of Health,NHS Business Services Authority,20/02/2015,Professional Fees,Corporate Services,GOVERNMENT ACTUARY'S DEPARTMENT,0080055204,"39,041.93",,EC4A 1AB
Departmen of Health,NHS Business Services Authority,23/02/2015,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080055715,"97,054.51","Support for CIP Accuracy Improvement,",E1 6DX
Departmen of Health,NHS Business Services Authority,24/02/2015,Mainframe Maintenance,Prescription Pricing Division,MICRO FOCUS LTD,0080055787,"27,741.22",Renewal of support and maintenance for:,RG14 1QN
Departmen of Health,NHS Business Services Authority,25/02/2015,Software Purchases,Prescription Pricing Division,INJIXO LTD,0080055543,"26,844.60",Software Purchases,B1 2JB
Departmen of Health,NHS Business Services Authority,25/02/2015,Temporary Staff,Prescription Pricing Division,BROOK STREET (UK) LTD,0080055556,"26,911.58",Temporary Staff,AL1 4ZX
