Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Department of Health,NHS Business Services Authority,01/02/2016,Dental Contractors,Dental Services ,,,"203,419,820.00",Payments to Dental Contractors,,
Department of Health,NHS Business Services Authority,01/02/2016,Pharmacy Contractors,Prescription Pricing ,,,"776,083,330.39",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,01/02/2016,Pharmacy Contractors,Prescription Pricing ,,,"115,755,703.78",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,02/02/2016,Rent,Corporate Services,EUROPEAN PENSIONS MANAGEMENT LTD,0080066667,"160,000.00",Rent 29 Sep  24 Dec 15,SP3 5WY,
Departmen of Health,NHS Business Services Authority,02/02/2016,Furniture & Equiptment Capital,Corporate Services,FLEXIFORM,0080066934,"42,409.27",Umbilical Risers,BD3 7AE,
Departmen of Health,NHS Business Services Authority,02/02/2016,Rent,Supply Chain Management Division,THE COAL AUTHORITY,0080067009,"27,000.00",Rent 01 Jan  31 Mar 16,NG18 4RG,
Department of Health,NHS Business Services Authority,03/02/2016,Pharmacy Contractors,Prescription Pricing ,,,"1,245,694.54",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,03/02/2016,Pharmacy Contractors,Prescription Pricing ,,,"78,169.74",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,05/02/2016,Printing Charges (External),Prescription Pricing Division,ROYAL MAIL,0080066544,"27,389.60",AC 0912819049 EHIC UK,S49 1HQ,
Departmen of Health,NHS Business Services Authority,05/02/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080066772,"40,929.82",AC 0912819049  EHIC EU,S49 1HQ,
Departmen of Health,NHS Business Services Authority,05/02/2016,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080066840,"388,200.71",CHARGES FOR DEC & NOV2015,DL1 9HN,
Departmen of Health,NHS Business Services Authority,05/02/2016,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080066840,"-4,304.63",CHARGES FOR DEC & NOV2015,DL1 9HN,
Departmen of Health,NHS Business Services Authority,05/02/2016,Sundry Income,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080066840,"-20,000.00",CHARGES FOR DEC & NOV2015,DL1 9HN,
Departmen of Health,NHS Business Services Authority,05/02/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080066964,"31,691.10",AC 0912819049 PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,05/02/2016,Temporary Staff,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080067093,"40,892.77","Order for PwC, FAO Pete Sparshott",E14 9SQ,
Departmen of Health,NHS Business Services Authority,05/02/2016,Furniture & Equiptment Capital,Corporate Services,FLEXIFORM,0080067119,"25,823.69",8 COMPARTMENT FREESTOR LOCKERS WITH  6,BD3 7AE,
Departmen of Health,NHS Business Services Authority,05/02/2016,Telphone Charges,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080067147,"332,208.22",MITI VAR & MVS CALL DEC 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,05/02/2016,Mobile Phones,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080067147,"-2,200.69",MITI VAR & MVS CALL DEC 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,05/02/2016,Telphone Charges,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080067147,186.06,MITI VAR & MVS CALL DEC 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,05/02/2016,Minor Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080067172,"159,810.53",MW 5.08 PMI 005 BH Misc Works Stage 2,HP2 7TR,
Departmen of Health,NHS Business Services Authority,05/02/2016,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080067188,"33,356.80",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Departmen of Health,NHS Business Services Authority,05/02/2016,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080067189,"63,965.60",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Department of Health,NHS Business Services Authority,08/02/2016,Pharmacy Contractors,Prescription Pricing ,,,"146,436.75",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,09/02/2016,Public Info Distribution,Prescription Pricing Division,IDS UK LIMITED,0080067279,"25,590.60",Distribute HC12 leaflets which contain,SO32 2EJ,
Departmen of Health,NHS Business Services Authority,11/02/2016,Building Works,Corporate Services,INTEGRAL UK LIMITED,0080067176,"26,630.30",price difference,NE2 4LD,
Departmen of Health,NHS Business Services Authority,11/02/2016,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080067383,"66,424.00",Equiniti Paymaster 2015 Scheme Hutton,RH10 1UH,
