Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,01/03/2013,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080031768,"26,360.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,01/03/2013,Pharmacy Contractors,Prescription Pricing Division,,,"766,072,577.54",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,01/03/2013,Dental Contractors,Dental Services Division,,,"183,568,574.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,05/03/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050025784,"17,420.65",TEMPORARY STAFF,LU1 3BA
Departmen of Health,NHS Business Services Authority,05/03/2013,Temporary Staff,NHS Protect,COMENSURA LTD,0050025784,369.00,TEMPORARY STAFF,LU1 3BA
Departmen of Health,NHS Business Services Authority,05/03/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050025820,"1,168.15",TEMPORARY STAFF,LU1 3BA
Departmen of Health,NHS Business Services Authority,05/03/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050025820,"17,386.88",TEMPORARY STAFF,LU1 3BA
Departmen of Health,NHS Business Services Authority,05/03/2013,Temporary Staff,Unclassified,COMENSURA LTD,0050025820,369.00,TEMPORARY STAFF,LU1 3BA
Departmen of Health,NHS Business Services Authority,05/03/2013,Envision Payroll,Pensions Division,PAYMASTER (1836) LIMITED,0080031885,"29,640.00",XAFINITY PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,05/03/2013,Pharmacy Contractors,Prescription Pricing Division,,,"718,768.07",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,06/03/2013,Envision Payroll,Pensions Division,PAYMASTER (1836) LIMITED,0080031657,"35,012.46",IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,06/03/2013,Temporary Staff,Pensions Division,SAPIENT LIMITED,0080031989,"21,385.00",TEMPORARY STAFF,E1 6DX
Departmen of Health,NHS Business Services Authority,08/03/2013,IT,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0050025848,"488,241.56",SCANNER REFRESH CHARGES FOR 5 CANNERS,DL1 9HN
