Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,24/03/2011,Agency Interim Staff,Counter Fraud & Security Management Service,NETWORKS INC,0050017026,"60,000.00"
Departmen of Health,NHS Business Services Authority,16/03/2011,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050016875,"31,070.11"
Departmen of Health,NHS Business Services Authority,16/03/2011,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050016875,"1,398.16"
Departmen of Health,NHS Business Services Authority,25/03/2011,Consumables,Corporate Services,BANCTEC LTD,0080002779,"47,007.00"
Departmen of Health,NHS Business Services Authority,01/03/2011,Dental Contractors,Dental Services Division,,,"167,849,869.00"
Departmen of Health,NHS Business Services Authority,24/03/2011,Envision Estates,Pensions Division,PAYMASTER (1836) LIMITED,0050017117,"790,903.08"
Departmen of Health,NHS Business Services Authority,09/03/2011,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0080002073,"116,407.32"
Departmen of Health,NHS Business Services Authority,16/03/2011,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0050016903,"51,126.80"
Departmen of Health,NHS Business Services Authority,31/03/2011,LAN Maintenance,Prescription Pricing Division,ACTUATE INTERNATIONAL SARL,0080003319,"148,816.35"
Departmen of Health,NHS Business Services Authority,02/03/2011,Lone Worker Support Services,Counter Fraud & Security Management Service,RELIANCE SECURE TASK MANAGEMENT,0050016529,"189,139.63"
Departmen of Health,NHS Business Services Authority,23/03/2011,Lone Worker Support Services,Counter Fraud & Security Management Service,RELIANCE SECURE TASK MANAGEMENT,0050016980,"204,782.28"
Departmen of Health,NHS Business Services Authority,29/03/2011,Lone Worker Support Services,Counter Fraud & Security Management Service,RELIANCE SECURE TASK MANAGEMENT,0050017266,"216,536.37"
Departmen of Health,NHS Business Services Authority,31/03/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050017332,"2,004,638.00"
Departmen of Health,NHS Business Services Authority,15/03/2011,Pension Contributions,Corporate Services,NHS PENSIONS,,"700,919.84"
Departmen of Health,NHS Business Services Authority,15/03/2011,Pension Contributions,Corporate Services,NHS PENSIONS,,"697,333.74"
Departmen of Health,NHS Business Services Authority,01/03/2011,Pharmacy Contractors,Prescription Pricing Division,,,"754,081,696.94"
Departmen of Health,NHS Business Services Authority,04/03/2011,Pharmacy Contractors,Prescription Pricing Division,,,"477,340.31"
Departmen of Health,NHS Business Services Authority,07/03/2011,Pharmacy Contractors,Prescription Pricing Division,,,"33,722.46"
Departmen of Health,NHS Business Services Authority,17/03/2011,Pharmacy Contractors,Prescription Pricing Division,,,"13,330.05"
Departmen of Health,NHS Business Services Authority,31/03/2011,Pharmacy Contractors,Prescription Pricing Division,,,"8,972,486.83"
Departmen of Health,NHS Business Services Authority,09/03/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050016680,"29,091.67"
Departmen of Health,NHS Business Services Authority,04/03/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050016690,"27,926.08"
Departmen of Health,NHS Business Services Authority,16/03/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050016860,"26,610.24"
Departmen of Health,NHS Business Services Authority,16/03/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050016861,"35,447.54"
Departmen of Health,NHS Business Services Authority,02/03/2011,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0050016531,"26,850.82"
Departmen of Health,NHS Business Services Authority,22/03/2011,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0050016939,"27,162.14"
Departmen of Health,NHS Business Services Authority,22/03/2011,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050016958,"67,443.37"
Departmen of Health,NHS Business Services Authority,16/03/2011,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080002216,"49,342.84"
Departmen of Health,NHS Business Services Authority,04/03/2011,Professional Fees,Prescription Pricing Division,KCOM,0050016658,"21,790.14"
Departmen of Health,NHS Business Services Authority,04/03/2011,Professional Fees,Corporate Services,KGS LIMITED,0050016661,"21,750.00"
Departmen of Health,NHS Business Services Authority,18/03/2011,Professional Fees,Prescription Pricing Division,KCOM,0080002638,"23,746.38"
Departmen of Health,NHS Business Services Authority,16/03/2011,Envision IT / IS,Pensions Division,PAYMASTER (1836) LIMITED,0050016868,"172,000.00"
Departmen of Health,NHS Business Services Authority,16/03/2011,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050016906,"1,184,255.00"
Departmen of Health,NHS Business Services Authority,22/03/2011,Professional Fees,Prescription Pricing Division,KOFAX UK LIMITED,0050016938,"30,500.00"
Departmen of Health,NHS Business Services Authority,28/03/2011,Statutory Payments,Pension Provision,NHS PENSIONS,0050017222,"1,764,254.11"
Departmen of Health,NHS Business Services Authority,29/03/2011,IT,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0050017269,"26,374.49"
Departmen of Health,NHS Business Services Authority,29/03/2011,IT,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0050017270,"26,251.85"
Departmen of Health,NHS Business Services Authority,29/03/2011,IT,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0050017271,"30,467.81"
Departmen of Health,NHS Business Services Authority,29/03/2011,IT,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0050017272,"34,497.48"
Departmen of Health,NHS Business Services Authority,16/03/2011,Equipment Repairs & Maintenance,Corporate Services,HFX LIMITED,0080001752,"52,495.46"
Departmen of Health,NHS Business Services Authority,16/03/2011,IT,Corporate Services,ISOFT,0080002398,"52,690.83"
Departmen of Health,NHS Business Services Authority,23/03/2011,Rates Charges,Dental Services Division,EASTBOURNE BOROUGH COUNCIL,0050017056,"161,292.50"
Departmen of Health,NHS Business Services Authority,23/03/2011,Rates Charges,Pensions Division,WYRE BOROUGH COUNCIL,0050017060,"223,599.18"
Departmen of Health,NHS Business Services Authority,22/03/2011,Rent,Counter Fraud & Security Management Service,ALLIANZ IMMOBILIEN GMBH (RENT),0050016985,"134,117.30"
Departmen of Health,NHS Business Services Authority,22/03/2011,Rent,Corporate Services,JOHN MONK&CO,0080002184,"171,387.50"
Departmen of Health,NHS Business Services Authority,11/03/2011,Service Charges General,Corporate Services,EMERSON MANAGEMENT SERVICES,0050016781,"137,421.00"
Departmen of Health,NHS Business Services Authority,11/03/2011,Service Charges General,Corporate Services,DOOBA INVESTMENTS VI LIMITED,0050016782,"76,016.50"
Departmen of Health,NHS Business Services Authority,11/03/2011,Service Charges General,Corporate Services,DOOBA INVESTMENTS VI LIMITED,0050016783,"76,016.50"
Departmen of Health,NHS Business Services Authority,22/03/2011,Service Charges General,Corporate Services,JOHN MONK&CO,0080002371,"66,864.25"
Departmen of Health,NHS Business Services Authority,16/03/2011,Software Tools Maintenance,Prescription Pricing Division,MICRO FOCUS LTD,0080002384,"24,297.00"
Departmen of Health,NHS Business Services Authority,16/03/2011,Statutory Payments,Pensions Division,HM REVENUE & CUSTOMS,0050016902,"718,341.55"
Departmen of Health,NHS Business Services Authority,25/03/2011,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0050017182,"80,674.07"
Departmen of Health,NHS Business Services Authority,15/03/2011,Statutory Payments,Corporate Services,HMRC,,"749,999.26"
Departmen of Health,NHS Business Services Authority,15/03/2011,Statutory Payments,Corporate Services,HMRC,,"648,659.01"
Departmen of Health,NHS Business Services Authority,15/03/2011,Statutory Payments,Corporate Services,HMRC,,"842,782.10"
Departmen of Health,NHS Business Services Authority,15/03/2011,Statutory Payments,Corporate Services,HMRC,,"694,497.15"
Departmen of Health,NHS Business Services Authority,15/03/2011,Statutory Payments,Corporate Services,HMRC,,"2,298.80"
Departmen of Health,NHS Business Services Authority,15/03/2011,Statutory Payments,Corporate Services,HMRC,,"1,084.09"
Departmen of Health,NHS Business Services Authority,28/03/2011,Telphone Charges,Pensions Division,CABLE & WIRELESS COMMUNICATIONS,0050017226,"37,576.46"
Departmen of Health,NHS Business Services Authority,31/03/2011,LAN Software,Prescription Pricing Division,ACTUATE INTERNATIONAL SARL,0080004058,"94,669.00"
