Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,01/03/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080067424,"34,097.11",AC 0912819049  EHIC EU,S49 1HQ,
Departmen of Health,NHS Business Services Authority,01/03/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080067585,"41,056.70",AC 0912819049  PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,01/03/2016,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080067749,"36,506.54",CONTRACT ADJ DEC 15,RH10 1UH,
Departmen of Health,NHS Business Services Authority,01/03/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080067842,"22,495.29",AC 0912819048,S49 1HQ,
Departmen of Health,NHS Business Services Authority,01/03/2016,Professional Fees,Supply Chain Management Division,DELOITTE MCS LIMITED,0080067904,"118,512.00",Strategic Review and Transition Support,MK9 1FD,
Department of Health,NHS Business Services Authority,01/03/2016,Dental Contractors,Dental Services ,,,"146,585,807.00",Payments to Dental Contractors,,
Department of Health,NHS Business Services Authority,01/03/2016,Pharmacy Contractors,Prescription Pricing ,,,"711,991,914.82",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,01/03/2016,Pharmacy Contractors,Prescription Pricing ,,,"109,480,026.19",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,03/03/2016,Pharmacy Contractors,Prescription Pricing ,,,"1,194,209.29",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,04/03/2016,Professional Fees,Prescription Pricing Division,APHARI LTD,0080067942,"55,205.26",Travel and Subsistence,SW1Y 6DF,
Department of Health,NHS Business Services Authority,04/03/2016,Pharmacy Contractors,Prescription Pricing ,,,"322,024.70",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,08/03/2016,Professional Fees,Prescription Pricing Division,APHARI LTD,0080067941,"58,054.19",Travel and Subsistence,SW1Y 6DF,
