Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,02/03/2015,Smoke Detectors Repairs,Corporate Services,INTEGRATED HEALTH PROJECTS,0080056046,"615,475.32",MW 4.30 BH HV Switch Rm Fire Alarm S2,HP2 7TR
Department of Health,NHS Business Services Authority,02/03/2015,Dental Contractors,Dental Services ,,,"166,859,089.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,03/03/2015,Temporary Staff,Pensions Division,3M SECURITY PRINTING & SYSTEMS LTD,0080055183,"64,200.42","Printing and distribution of 200,000",RG12 1FE
Departmen of Health,NHS Business Services Authority,03/03/2015,Temporary Staff,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080055726,"59,187.85","Expenses : up to £74,950.",E14 9SQ
Departmen of Health,NHS Business Services Authority,04/03/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080056112,"38,053.95",AC 0912819049,S49 1HQ
Departmen of Health,NHS Business Services Authority,05/03/2015,External Audit Fees,Corporate Services,DEPARTMENT OF HEALTH,0080056166,"59,042.02",11.33 Days - 14-15 NHS BSA Student,LS2 7UE
Departmen of Health,NHS Business Services Authority,05/03/2015,External Audit Fees,Corporate Services,DEPARTMENT OF HEALTH,0080056167,"104,778.74",2.07 days - 14-15 NHS BSA Cyber,LS2 7UE
Department of Health,NHS Business Services Authority,05/03/2015,Pharmacy Contractors,Prescription Pricing ,,,"2,360,321.27",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,06/03/2015,Data Communication Lines,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080056078,"-15,046.32",NHSP C&W COST RECOVERY,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/03/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080055397,"344,211.61",MITI FIXED DEC14 SEVICE DESK,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/03/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080056078,"295,409.84",MITI CHARGE DEC2014  SERVICE DESK,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/03/2015,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080055397,793.97,KNOWLEDGE BASE,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/03/2015,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080056078,"8,813.07",KBS CORRECTIONS TO DEC 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/03/2015,Rent,Corporate Services,NHS PROPERTY SERVICES LTD,0080056175,"32,345.92",LICENCE FEE RIVERGATE HOUSE JANMAR 14,WF3 1WE
Departmen of Health,NHS Business Services Authority,06/03/2015,Storage Costs,Prescription Pricing Division,RESTORE PLC,0080056197,"27,727.80",STORAGE COSTS,RH1 5DY
Department of Health,NHS Business Services Authority,06/03/2015,Pharmacy Contractors,Prescription Pricing ,,,"44,964.98",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,09/03/2015,Smoke Detectors Repairs,Corporate Services,INTEGRATED HEALTH PROJECTS,0080056332,"800,222.96",MW 4.30 BH HV Switch Rm Fire Alarm S2,HP2 7TR
Departmen of Health,NHS Business Services Authority,10/03/2015,Furniture & Equiptment Capital,Corporate Services,FLEXIFORM,0080056397,"35,156.23",DO high back operators chair with  gas,BD3 7AE
Departmen of Health,NHS Business Services Authority,10/03/2015,Furniture & Equiptment Capital,Corporate Services,FLEXIFORM,0080056406,"53,058.89",Flexiform Additions Meeting Table  with,BD3 7AE
Departmen of Health,NHS Business Services Authority,11/03/2015,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0080056393,"62,433.53",3M HWHC Feb,RG12 1FE
