Department family,Entity,Date,Expense type,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,02/12/2013,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080041830,"25,662.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,02/12/2013,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0080041845,"25,350.00",EQUINITI PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,02/12/2013,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080041846,"151,331.00",Milestone 2 ¿ Component / System /,RH10 1UH
Departmen of Health,NHS Business Services Authority,02/12/2013,Professional Fees,Pensions Division,SAPIENT LIMITED,0080041857,"21,500.00",Change Request - Project BSA Delivery,E1 6DX
Departmen of Health,NHS Business Services Authority,02/12/2013,Dental Contractors,Dental Services ,,,"174,552,502.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,03/12/2013,Pharmacy Contractors,Prescription Pricing ,,,"661,072.93",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,04/12/2013,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050027792,"31,923.00",RATES DEC13,NE99 2PT
Departmen of Health,NHS Business Services Authority,04/12/2013,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050027793,"35,796.00",RATES DEC13,NE99 2PT
Departmen of Health,NHS Business Services Authority,05/12/2013,Software Licences,NHS Protect,ACCESSDATA,0050027781,"29,625.60",LICENSE 3 YEARS RENEWAL,WC2E 9HG
Departmen of Health,NHS Business Services Authority,05/12/2013,Leadership,Corporate Services,PERSONAL STRENGTHS (UK) LTD,0050027782,"30,600.00",COACH&EXPS,PE9 1QS
Departmen of Health,NHS Business Services Authority,05/12/2013,Professional Fees,Pensions Division,SAPIENT LIMITED,0080041872,"32,562.00",Change Request - Project BSA Delivery,E1 6DX
Departmen of Health,NHS Business Services Authority,06/12/2013,Travel,Corporate Services,REDFERN TRAVEL,0050027788,"104,615.80",NOV13 TRAVEL,BD1 3AZ
Departmen of Health,NHS Business Services Authority,06/12/2013,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080041760,"349,640.19",MITI FIXED CHARGED OCT 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/12/2013,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080041760,772.61,MITI FIXED CHARGED OCT 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/12/2013,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080041772,"312,639.56",MITI VARIABLE CHARGES SEPT 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/12/2013,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080041772,"7,983.67",MITI VARIABLE CHARGES SEPT 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/12/2013,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080041773,"311,430.83",MITI VARIABLE CHARGES AUG 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/12/2013,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080041773,"7,211.06",MITI VARIABLE CHARGES AUG 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/12/2013,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080041774,"151,227.30",PCN  OCT 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,06/12/2013,Pharmacy Contractors,Prescription Pricing ,,,"1,156,309.63",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,09/12/2013,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080041948,"61,792.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,09/12/2013,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080041949,"89,303.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,09/12/2013,Temporary Staff,Pensions Division,SAPIENT LIMITED,0080041952,"22,295.00",Temporary Staff,E1 6DX
