Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,03/02/2014,Software Purchases,NHS Protect,SAPPHIRE TECHNOLOGIES LTD,0080042652,"25,475.04",Please order as per the attached,DL3 0PH
Departmen of Health,NHS Business Services Authority,03/02/2014,Dental Contractors,Dental Services ,,,"176,695,632.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,05/02/2014,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080043070,"349,640.19",MITI FIXED CHARGES DEC 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/02/2014,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080043070,772.61,MITI FIXED CHARGES DEC 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/02/2014,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080043081,"319,440.45",DCSS CHARGES DEC 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/02/2014,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080043081,"8,622.36",DCSS CHARGES DEC 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/02/2014,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080043480,"21,858.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,05/02/2014,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080043481,"33,036.50",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,05/02/2014,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080043483,"54,511.87",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,05/02/2014,Pharmacy Contractors,Prescription Pricing ,,,"1,119,461.76",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,06/02/2014,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080043482,"56,597.37",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,06/02/2014,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080043484,"34,957.50",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,10/02/2014,Printing Charges (External),Prescription Pricing Division,IDS UK LIMITED,0050028138,"21,690.62",PO F/COMPLETED AS EMAIL ATTACHED,SO32 2EJ
Departmen of Health,NHS Business Services Authority,11/02/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080043381,"27,342.67",Postage,S49 1HQ
Departmen of Health,NHS Business Services Authority,12/02/2014,Building Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080043510,"28,823.41",MP03 BH Refurbishment Cert 22,HP2 7TR
Departmen of Health,NHS Business Services Authority,12/02/2014,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0080043678,"25,750.86",Printing,NR3 1PD
Departmen of Health,NHS Business Services Authority,13/02/2014,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0080043737,"92,933.74",MW 3.09 CE004 Additional asbestos,HP2 7TR
Departmen of Health,NHS Business Services Authority,13/02/2014,Consumables,Prescription Pricing Division,IBML,0080043809,"32,156.81",Item Number: 3400 - Shipping/Handling,35210
Departmen of Health,NHS Business Services Authority,14/02/2014,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080043571,"31,053.06",IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,14/02/2014,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080043575,"143,626.14",PCN DEC 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/02/2014,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050028200,"60,871.53",VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,17/02/2014,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080043577,"48,258.95",DENTAL PILOTS DEC 13,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/02/2014,Statutory Payments,Corporate Services,HMRC,,"1,257,219.75",NI & TAX,
Departmen of Health,NHS Business Services Authority,17/02/2014,Statutory Payments,Corporate Services,HMRC,,"851,548.37",PENSIONS,
Departmen of Health,NHS Business Services Authority,18/02/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080043748,"27,171.14",Post,S49 1HQ
