"NHSLA Payments of £25,000 or greater 2012/13",,,,,,,
,,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Litigation Authority,03/04/2012,Claimant Costs,CNST,Freemans Solicitors,PINX/00166111," 25,305.84 "
Department of Health,NHS Litigation Authority,05/04/2012,Defence Costs,CNST,Browne Jacobson,PINX/00166392," 260,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Parlett Kent Solicitors,PINX/00166420," 200,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Darby's LLP,PINX/00166484," 170,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Gadsby Wicks,PINX/00166425," 110,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,ELS,Jones Maidment Wilson,PINX/00166156," 107,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Pattinson & Brewer,PINX/00166131," 100,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Leigh Day & Co,PINX/00166475," 100,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Pearson Hinchliffe Solicitors,PINX/00166081," 100,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Pannone LLP Solicitors,PINX/00166101," 88,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Thompsons,PINX/00166240," 80,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Gregsons,PINX/00166143," 75,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Dicksons Solicitors,PINX/00166481," 60,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Russell Cooke Solicitors,PINX/00166128," 58,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,ELS,Bower and Bailey Solicitors,PINX/00166092," 56,750.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Jones Maidment Wilson,PINX/00166332," 52,894.56 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Pannone LLP Solicitors,PINX/00166119," 50,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Pannone LLP Solicitors,PINX/00166084," 50,000.00 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Pryers Solicitors,PINX/00166141," 46,400.29 "
Department of Health,NHS Litigation Authority,05/04/2012,Claimant Costs,CNST,Gadsby Wicks,PINX/00166134," 45,000.00 "
