Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/12/2014,"Books, Journals & Subscr",NP - Commissioned Content,JOHN WILEY & SONS LTD,11443095," 100,439.00 ",The Cochrane Library (Electronic),,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,11556916," 66,702.00 ",National Collaborating Centre work on Mental Health for Guidelines Quarter 3 2014/15 - additional costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGISTS,11556939," 389,136.00 ",National Collaborating Centre for Women’s and Children’s Health Quarter 3 2014/15,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,11608937," 266,799.60 ",National Collaborating Centre work on Mental Health for Guidelines Quarter 3 2014/15,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Contr Other External,Fully Recovered: International Commercial Activity,CENTER FOR GLOBAL DEVELOPMENT,11609226," 63,937.90 ",International Decision support Initiative Project,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PHYSICIANS,11762511," 1,060,200.00 ",National Collaborating Centre Quarter 3 Year 2014/15,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Contr Other External,Fully Recovered: International Commercial Activity,HEALTH INTERVENTION & TECHNOLOGY ASSESSMENT PROGRAMME,11762548," 63,603.30 ",International decision support initiative,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Contr Other External,NP - PH Guidance,LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE,11794804," 37,956.36 ",Evidence review: PH Guidance on excess winter death payment 3,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Contr Other External,NP - Social Care,SOCIAL CARE INSTITUTE FOR EXCELLENCE,11856794," 539,646.00 ",NICE Collaborating Centre for Social Care quarter 3 2014/15,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Contr Other External,NP - Commissioned Content,CLARITY INFORMATICS LTD,11856858," 165,375.00 ",Evidence Based Resource for Primary Care Year 3 Quarter 2,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,11891377," 29,333.48 ","Network and Data, including inter site telecoms supply to NICE’s 3 sites and organisational external telephone connection provision",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Rent,NP- Facilities - Manchester,MJ MAPP LLP,11778070," 136,890.60 ","Quarterly rent charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Rent,NP- Facilities - Manchester,MJ MAPP LLP,11778083," 117,975.00 ","Quarterly rent charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,11476146," 143,022.15 ","Rail, hotel & flight costs for October 2014",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2014,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,11856854," 121,374.70 ","Rail, hotel & flight costs for November 2014",,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
