Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Contr Other External,NP - H&SC Core,SOCIAL CARE INSTITUTE FOR EXCELLENCE,16441628,66000,NICE Collaborating Centre for Social Care Implementation costs,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Contr Other External,NP - IM&T,HARVEY NASH,16441630,76548,Recruitment services for IM&T staff,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Computer Hardware Purch,NP-IT,CSA (WAVERLEY ) LTD,16452448,121312.7,HP Server kit,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Contr Other External,NP-IT,INSPIRED NETWORKS,16474303,34647.82,IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Contr Other External,NP - Evidence Resources,BAZIAN LTD,16479093,185535.75,"Provision of Evidence Hubs, supplying specialist evidence content for NHS Evidence",,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,16479095,164326.5,Licences for access to different medical databases,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Contr Other External,NP - Evaluation Pathway,UNIVERSITY OF BIRMINGHAM,16479098,61509,Evaulation Patherways External Assessment Centre Quarter 4 Year 2,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Agency Admin & Clerical,IM&T Core,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,16479100,69484.66,Specialist Contractor costs,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Staff Recruitment Advert,NP- Corporate Office,DEPARTMENT OF HEALTH,16500360,56521.29,Appointment of the new NICE Chair,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Computer Hardware Purch,NP-IT,SOFTCAT LTD,16500367,116674.85,IT Equipment,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Computer Hardware Purch,NP-IT,SOFTCAT LTD,16500368,30757.98,IT Equipment,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Other recvables - Current,Balance Sheet,SOFTCAT LTD,16500392,48197.94,NCAS MS Licences. Recharged to NCAS.,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Travel & Subsistence,Fully Recovered: International Commercial Activity,UNIGLOBE GEMINI TRAVEL,16516449,36020.08,Flights booked during the period 01/03/13 to 31/03/13,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,16516451,116473.89,"Rail, hotel & flight costs for March 2013",,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Rent,NP - Facilities - London,BRITISH COUNCIL,16516458,193121.92,Rent payment for office space at 10 Spring Gardens 25/03/13 - 24/06/13,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Furniture & Fittings,Office Move (Revenue costs),BRITISH COUNCIL,16516547,66066.5,Building fitout costs for Spring Garden (eleven),,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGY,16533330,389040,National Collaborating Centre for Women’s and Children’s Health Quarter 1 2013/14,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,"Books, Journals & Subscr",NP - Commissioned Content - Core,WILEY SUBSCRIPTION SERVICES INC,16548239,33479,The Cochrane Library (Electronic),,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Rates,NP - Facilities - London,CAMDEN NNDR,16516447,"-169,552.50",Refund of London Business rates for the period 01/12/2012 to 31/03/2013,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,CHAPS Control Account,Balance Sheet,ROYAL COLLEGE OF PSYCHIATRISTS,16441761,"-355,718.40",National Collaborating Centre work on Mental Health for Guidelines Quarter 4 2012/13 - additional costs,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2013,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,16441761,"355,718.40",National Collaborating Centre work on Mental Health for Guidelines Quarter 4 2012/13 - additional costs,,,,,
