Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Computer Software/License,NP-IT,BEOVAX COMPUTER SERVICES LTD,17383795," 41,438.85 ",VMWare Renewal for  April 2014 to April 2015,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,BMJ PUBLISHING GROUP LTD,17404427," 210,900.00 ",Library service - access to BMJ Journals online,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Contr Other External,NP - Highly Specialised Technologies,DELOITTE MCS LTD,17396347," 49,196.00 ",Professional services for HST reference point development,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,"Books, Journals & Subscr",NP - Commissioned Content - Core,EBSCO INTERNATIONAL INC,17404400," 88,152.30 ",National subscription fees for Lancet medical journal,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,CHAPS Control Account,Balance Sheet,EDUSERV,17373797," (80,025.00)",Provision of Athens Service from 01/01/2014  to 31/03/2014,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Computer Software/License,NP - Commissioned Content - Core,EDUSERV,17373797," 68,750.00 ",Provision of Athens Service from 01/01/2014  to 31/03/2014,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Contr Other External,NP-IT,INSPIRED NETWORKS,17380653," 37,198.20 ",IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Secndd staff frm othr org,H&SC Management,OXFORD UNIVERSITY HOSPITALS NHS TRUST,17428307," 37,180.40 ",Secondee costs from October 2013 to March 2014,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Computer Maintenance,NP - IM&T,RACKSPACE LTD,17423837," 52,957.13 ",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,17396368," 128,451.09 ","Rail, hotel & flight costs for March 2014",,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Contr Other External,NP - BNF,RPS PUBLISHING,17416033," 52,596.96 ",BNF printing costs,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Furniture & Fittings,Office Move (Revenue costs),SENATOR INTERNATIONAL LTD,17387037," 72,772.13 ",Refurbishment of Manchester offices,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,CHAPS Control Account,Balance Sheet,SENATOR INTERNATIONAL LTD,17387037," (72,772.13)",Refurbishment of Manchester offices,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,CHAPS Control Account,Balance Sheet,SENATOR INTERNATIONAL LTD,17387038," (49,161.91)",Refurbishment of Manchester offices,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Furniture & Fittings,Office Move (Revenue costs),SENATOR INTERNATIONAL LTD,17387038," 49,161.91 ",Refurbishment of Manchester offices,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Computer Hardware Purch,NP-IT,SOFTCAT LTD,17404422," 79,517.26 ",IT Equipment,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Contr Other External,NP- PH Programmes,UNIVERSITY COLLEGE LONDON,17412828," 49,265.20 ",Investigating the barriers and facilitators of the implementation of NICE’s public health guidance and quality standards in local authorities,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,CHAPS Control Account,Balance Sheet,UNIVERSITY OF BIRMINGHAM,17373798," (62,500.00)",Quality and Outcomes Framework (QOF) Piloting of Quality Indicators Year 1 Quarter 4,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2014,Contr Other External,NP -QOF,UNIVERSITY OF BIRMINGHAM,17373798," 62,500.00 ",Quality and Outcomes Framework (QOF) Piloting of Quality Indicators Year 1 Quarter 4,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
