Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Contr Other External,NP - BNF,RPS PUBLISHING,13140658,985000,BNF Services fee Q1 (Apr15-Jun15),,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Contr Other External,NP - BNF,RPS PUBLISHING,13140677,57651.22,BNF printing costs,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Contr Other External,NP-CP Guidelines,UNIVERSITY OF BRISTOL,13217018,37500,Clinical guidelines Technical support unit quarter 4,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Contr Other External,NP-HTE Appraisals,UNIVERSITY OF SHEFFIELD,13249631,69373,Supply of Decision Support Unit,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Contr Other External,NP-IT,INSPIRED NETWORKS,13318015,30216.6,IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Computer Software/License,NP-IT,BEOVAX COMPUTER SERVICES LTD,13353071,41438.86,VMWare Renewal for  April 2015 to April 2016,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Travel & Subsistence,Fully Recovered: International Commercial Activity,UNIGLOBE GEMINI TRAVEL,13353129,28356.59,Flights booked during the period 01/03/15 to 30/06/15,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Computer Hardware Purch,NP-IT,SOFTCAT LTD,13354318,978.04,Rendezvous Workspace Licence ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Computer Software/License,NP-IT,SOFTCAT LTD,13354318,55541.96,Rendezvous Workspace Licence ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Computer Maintenance,NP-IT,SOFTCAT LTD,13354319,32334,Rendezvous Workspace Licence ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Computer Hardware Purch,NP-IT,SOFTCAT LTD,13354320,25149.5,Rendezvous Workspace Licence ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Computer Maintenance,NP-IT,SOFTCAT LTD,13354320,5870.48,Rendezvous Workspace Licence ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Computer Hardware Purch,NP-IT,PERVASIVE NETWORKS LTD,13354323,64627.2,IT Equipment,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Contr Other External,Fully Recovered: International Commercial Activity,WITS HEALTH CONSORTIUM (PTY) LTD,13415132,60278.76,Develop a stategy for health economics/related disciplines in Sub-Saharan Africa,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,13434461,134868.65,"Rail, hotel & flight costs for March 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,"Books, Journals & Subscr",NP - Commissioned Content,JOHN WILEY & SONS LTD,13447690,100439,Cochrane Library and Wiley Online Library,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,"Books, Journals & Subscr",NP - Commissioned Content,JOHN WILEY & SONS LTD,13447707,100439,Cochrane Library and Wiley Online Library,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Contr Other External,Fully Recovered: International Commercial Activity,HEALTH INTERVENTION & TECHNOLOGY ASSESSMENT PROGRAMME,13452403,99680.7,Sub Grantee to support implementating a strategic plan to advocate for and engender the process of systems-level prority setting for better decision making for the universal health coverage at the global and country levels,,,,,
Department of Health,National Institute for Health & Care Excellence,30/04/2015,Contr Other External,Fully Recovered: International Commercial Activity,HEALTH INTERVENTION & TECHNOLOGY ASSESSMENT PROGRAMME,13462706,111256.62,International decision support initiative,,,,,
Department of Health,National Institute for Health & Care Excellence,01/04/2015,Credit Card Expenditure,Balance Sheet,NATWEST,605050 84114908,27557.89,Credit Card Expenditure March 2015,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
