Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP - NPC,BAZIAN LTD,16813011,26001.6,Unlicenced and off label medicines evaluation service,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Computer Software/License,NP-IT,CARETOWER LTD,16833834,52064.76,Symantec.cloud Email and Web Safeguard Subscription Bundle,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Computer Maintenance,NP - IM&T,CGI IT UK LTD,16819635,78665.46,Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Rates,NP - Facilities - London,CITY OF WESTMINSTER,16849108,147787.12,London Business rates for the period 30/11/2012 to 31/03/2013,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Rates,NP - Facilities - London,CITY OF WESTMINSTER,16868506,454175,London Business rates for the period 01/04/2013 to 31/03/2014,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,Fully Recovered: International Commercial Activity,ITAD LTD,16813014,37382.4,Monitoring and Evaluation of NICE International activities in context of the Health Partnership Scheme,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP- PH Programmes,MATRIX EVIDENCE LTD,16803068,25866,To undertake an Economic Analysis and provide and executable model - ROI physcial activity,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP- PH Programmes,MATRIX EVIDENCE LTD,16803070,-25866,To undertake an Economic Analysis and provide and executable model - ROI physcial activity,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP- PH Excellence Office,MATRIX EVIDENCE LTD,16803069,25794,To undertake an Economic Analysis and provide and executable model - ROI alcohol,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP- PH Excellence Office,MATRIX EVIDENCE LTD,16803071,-25794,To undertake an Economic Analysis and provide and executable model - ROI alcohol,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP- PH Excellence Office,MATRIX EVIDENCE LTD,16816665,25794,To undertake an Economic Analysis and provide and executable model - ROI alcohol,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP- PH Excellence Office,MATRIX EVIDENCE LTD,16831062,"25,866.00",To undertake an Economic Analysis and provide and executable model - ROI physcial activity,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP- PH Excellence Office,MATRIX EVIDENCE LTD,16840291,"25,794.00",To undertake an Economic Analysis and provide and executable model - ROI alcohol,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP- PH Excellence Office,MATRIX EVIDENCE LTD,16845020,"25,866.00",To undertake an Economic Analysis and provide and executable model - ROI physcial activity,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,CHAPS Control Account,Balance Sheet,REDFERN TRAVEL LTD,16731845,"-122,386.70","Rail, hotel & flight costs for May 2013",,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,16731845,"122,386.70","Rail, hotel & flight costs for May 2013",,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,16845018,"96,282.72","Rail, hotel & flight costs for July 2013",,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGY,16831070,"389,040.00",National Collaborating Centre for Women’s and Children’s Health Quarter 2 2013/14,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP - Social Care,SOCIAL CARE INSTITUTE FOR EXCELLENCE,16803076,"523,145.70",NICE Collaborating Centre for Social Care quarter 1 2013/14,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Computer Software/License,NP-IT,SOFTCAT LTD,16833833,"64,847.93",Software licences - Windows Virtual Desktop Access/WinPro/Enterprise,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,SWETS INFORMATION SERVICES LTD,16813012,"60,794.40",Site Licence for National Core Content NHS - Internet,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP - Evaluation Pathway,UNIVERSITY OF BIRMINGHAM,16831067,"126,684.50",Evaulation Patherways External Assessment Centre Quarter 1 Year 3,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP - Evaluation Pathway,UNIVERSITY OF BIRMINGHAM,16831068,"60,184.50",Evaulation Patherways External Assessment Centre Quarter 1 Year 3,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP-CP Guidelines,UNIVERSITY OF BRISTOL,16837133,"37,500.00",Clinical guidelines Technical support unit Year 3 quarter 1,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP-Scientific Advice,UNIVERSITY OF SHEFFIELD,16837135,"88,736.98",Sourcing Expertise to support NICE's Scientific Advice Programme,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2013,Contr Other External,NP- PH Programmes,YHEC,16813018,"47,640.00",Evidence review and economic model - prevention of vitamin D deficiency,,,,,
