Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Clinical Excellence,02/12/2011,Computer Maintenance,NP - IM&T,LOGICA UK LTD,14063638,"31,248.24",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Clinical Excellence,02/12/2011,Computer Maintenance,NP - IM&T,LOGICA UK LTD,14063641,"41,170.80",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Clinical Excellence,12/12/2011,Contr Other External,NP - BNF,CENTRAL OFFICE OF INFORMATION (COI),14109636,"90,597.69",Prolog costs for delivery of BNFC 2011,,,,,
Department of Health,National Institute for Health & Clinical Excellence,12/12/2011,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,SWETS INFORMATION SERVICES LTD,14109639,"100,932.00",Site Licence for National Core Content NHS - Internet,,,,,
Department of Health,National Institute for Health & Clinical Excellence,12/12/2011,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,SWETS INFORMATION SERVICES LTD,14109640,"30,397.20",Site Licence for National Core Content NHS - Internet,,,,,
Department of Health,National Institute for Health & Clinical Excellence,16/12/2011,Rates,NP - Facilities - London,AMAS LTD,14138366,"56,508.00","Quarterly service charge of office space at 71 High Holborn, London",,,,,
Department of Health,National Institute for Health & Clinical Excellence,16/12/2011,Agency Admin & Clerical,IM&T Core,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,14138367,"26,698.86",Specialist Contractor costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,16/12/2011,Rent,NP- Facilities - Manchester,BRUNTWOOD ESTATES ALPHA PORTFOLIO LTD,14138369,"69,437.50","Quarterly rent of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Clinical Excellence,16/12/2011,Rent,NP- Facilities - Manchester,BRUNTWOOD ESTATES ALPHA PORTFOLIO LTD,14138370,"66,313.71","Quarterly rent and service charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/12/2011,Contr Other External,NP - BNF,RPS PUBLISHING,14147962,"1,290,516.00",BNF Services fee Q3 (nov11-jan12),,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/12/2011,CHAPS Control Account,Balance Sheet,EBSCO INFORMATION SERVICES,14147982,"-177,000.00","National subscription fees for Health Business Elite and CINAHL databases on behalf of the Strategic Health Authorities Library Leads, for the period July - Dec 2011",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/12/2011,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,EBSCO INFORMATION SERVICES,,"120,000.00","National subscription fees for Health Business Elite and CINAHL databases on behalf of the Strategic Health Authorities Library Leads, for the period July - Dec 2011",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/12/2011,"Books, Journals & Subscr",NP - Commissioned Content - Core,EBSCO INFORMATION SERVICES,,"27,500.00","National subscription fees for Health Business Elite and CINAHL databases on behalf of the Strategic Health Authorities Library Leads, for the period July - Dec 2011",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/12/2011,Computer Software/License,NP-IT,SOFTCAT LTD,14155850,"28,728.00",252 * HP 8G Ram ,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/12/2011,Contr Other External,NP-IT,INSPIRED NETWORKS,14177833,"28,726.05",IT Support and Management Contract,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/12/2011,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,14177837,"35,484.64","Network and Data, including inter site telecoms supply to NICE’s 3 sites and organisational external telephone connection provision",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/12/2011,Contr Other External,NP-HTE Appraisals,UNIVERSITY OF SHEFFIELD,14184313,"62,500.00",Decision Support Unit to the Health Evaluation Team Quarter 2,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/12/2011,Secndd staff frm othr org,Evaluation Pathway,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,14188736,"17,339.99",Secondee costs from July - December 2011,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/12/2011,Secndd staff frm othr org,Interventional Procedures,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,,"17,339.99",Secondee costs from July - December 2011,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/12/2011,Travel & Subsistence,NP - Facilities - London,SBS EXPOTEL DD,DDEXPOTEL1,"29,401.70",Hotel Costs for the period 04/10/11 - 07/12/11,,,,,
