Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Contr Other External,NP - NPC,BAZIAN LTD,17080257,"26,002",Unlicenced and off label medicines evaluation service,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Contr Other External,NP- PH Programmes,BAZIAN LTD,17127999,"79,772",Review of the quantitative and qualitative evidence about oral health improvement programmes and interventions,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Rent,NP- Facilities - Manchester,BRUNTWOOD LG LTD,17113671,"136,891","Quarterly rent charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Service Charge,NP- Facilities - Manchester,BRUNTWOOD LG LTD,17113671,"21,016","Quarterly  service charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Rent,NP- Facilities - Manchester,BRUNTWOOD LG LTD,17113673,"120,675","Quarterly rent of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,"Books, Journals & Subscr",NP - Commissioned Content - Core,EBSCO INFORMATION SERVICES,17089939,"73,460",National subscription fees for Lancet medical journal,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Computer Software/License,NP - Commissioned Content - Core,EDUSERV,17089946,"68,750",Provision of Athens Service from 01/07/2013 to 30/09/2013,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Contr Other External,NP-IT,INSPIRED NETWORKS,17104557,"27,823",IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Contr Other External,NP- PH Programmes,LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE,17113668,"33,000",Evidence review: Clinical diagnosis and management of Tuberculosis,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Furniture & Fittings,NP - Facilities - London,MORGAN LOVELL PLC,17121995,"83,097",Building fitout costs for Spring Gardens,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Computer Maintenance,NP - IM&T,RACKSPACE LTD,17089940,"44,125",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Computer Maintenance,NP - IM&T,RACKSPACE LTD,17089944,"45,359",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Computer Maintenance,NP - IM&T,RACKSPACE LTD,17127997,"53,953",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,17113691,"116,009","Rail, hotel & flight costs for November 2013",,,,,
Department of Health,National Institute for Health & Care Excellence,31/12/2013,Contr Other External,NP - Social Care,SOCIAL CARE INSTITUTE FOR EXCELLENCE,17113695,"523,146",NICE Collaborating Centre for Social Care quarter 3 2013/14,,,,,
