Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP - Evaluation Pathway,CARDIFF & VALE ULHB,14362238,"140,938.75",Charge for the review of new devices and diagnostics available to the NHS Quarter 3,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,EBSCO INFORMATION SERVICES,14385446,"147,500.00","National subscription fees for Health Business Elite and CINAHL databases on behalf of the Strategic Health Authorities Library Leads, for the period Jan - Mar 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP - Evidence Resources,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,14496913,"52,274.96",Maintainence of the existing workflow from UKMI and management of the NeLM website Quarter 3,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Agency Admin & Clerical,IM&T Core,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,14507605,"35,106.35",Specialist Contractor costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP - Evaluation Pathway,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,14441837,"131,209.50",Evaulation Patherways External Assessment Centre Quarter 4,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGY,14362201,"405,250.00",National Collaborating Centre for Women’s and Children’s Health Quarter 4,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,CHAPS Control Account,Balance Sheet,ROYAL COLLEGE OF PHYSICIANS,14498944,"684,000.00","National Collaborating Centre vat invoice for Quarters 1, 2 and 3",,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,14441824,"416,880.00",National Collaborating Centre work on Mental Health for Guidelines Quarter 4,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,CHAPS Control Account,Balance Sheet,RPS PUBLISHING,14401448,"-181,344.61",BNF printing costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP - BNF,RPS PUBLISHING,,"181,344.61",BNF printing costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP - BNF,RPS PUBLISHING,14401449,"367,928.28",BNF printing costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,CHAPS Control Account,Balance Sheet,RPS PUBLISHING,,"-173,374.98",BNF printing costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP - BNF,RPS PUBLISHING,14401450,"-194,553.30",BNF printing costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP - BNF,RPS PUBLISHING,14464637,"1,290,516.00",BNF Services fee Q4 (jan12-mar12),,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Computer Hardware Purch,NP-IT,TET LTD,14362184,"103,256.01",Network upgrade for London and manchester,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP - QOF/COF,UNIVERSITY OF BIRMINGHAM,14401337,"70,086.00",Quality and Outcomes Framework (QOF) Quarter 2,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP - QOF/COF,UNIVERSITY OF MANCHESTER,14362173,"80,000.00",Quality and Outcomes Framework (QOF) Quarter 1,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP-Scientific Advice,UNIVERSITY OF SHEFFIELD,14408952,"80,640.19",Sourcing Expertise to support NICE's Scientific Advice Programme to Nov 2011,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP- PH Excellence Office,UNIVERSITY OF SHEFFIELD,14408953,"30,000.00",Quarter 4 supply of services relating to Centre for Public Health Excellence Collaborating Centre,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/02/2012,Contr Other External,NP-CP Guidelines,VELINDRE NHS TRUST,14401338,"231,600.00",National Clinical Guidelines Centre for Acute and Chronic Conditions (Cancer) Quarter 3,,,,,
Department of Health,National Institute for Health & Clinical Excellence,28/02/2011,Rent,NP-Corporate Services,AMAS LTD,7.10022E+11,"87,125.50","Quarterly rent of office space at 71 High Holborn, London",,,,,
Department of Health,National Institute for Health & Clinical Excellence,28/02/2011,Rent,NP-Corporate Services,AMAS LTD,7.10027E+11,"100,000.00","Quarterly rent of office space at 71 High Holborn, London",,,,,
Department of Health,National Institute for Health & Clinical Excellence,28/02/2011,Rent,NP-Corporate Services,AMAS LTD,7.10022E+11,"100,000.00","Quarterly rent of office space at 71 High Holborn, London",,,,,
