Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Contr Other External,NP - Evidence Resources,BAZIAN LTD,17161298," 222,643 ","Provision of Evidence Hubs, supplying specialist evidence content for NHS Evidence",,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Contr Other External,NP - NPC,BAZIAN LTD,17206850," 26,002 ",Unlicenced and off label medicines evaluation service,,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Rent,NP - Facilities - London,BRITISH COUNCIL,17153586," 193,122 ",Rent payment for office space at 10 Spring Gardens 25/12/13 - 24/03/14,,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Contr Other External,NP - Evaluation Pathway,CARDIFF & VALE ULHB,17185109," 184,609 ",Quarter 3 invoice - Medical technologies evaluation programme year 3,,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,EBSCO INFORMATION SERVICES,17149768," 120,000 ","National subscription fees for Health Business Elite and CINAHL databases on behalf of the NHS, for the period January to March 2014",,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,"Books, Journals & Subscr",NP - Commissioned Content - Core,EBSCO INFORMATION SERVICES,17149768," 29,175 ","National subscription fees for Health Business Elite and CINAHL databases on behalf of the NHS, for the period January to March 2014",,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,17176254," 35,020 ","Network and Data, including inter site telecoms supply to NICE’s 3 sites and organisational external telephone connection provision",,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Contr Other External,NP-IT,INSPIRED NETWORKS,17178919," 26,993 ",IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Contr Other External,Fully Recovered: International Commercial Activity,ITAD LTD,17192343," 37,382 ",Monitoring and Evaluation of NICE International activities in context of the Health Partnership Scheme,,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Computer Maintenance,NP - IM&T,RACKSPACE LTD,17200878," 54,523 ",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,17169495," 85,524 ","Rail, hotel & flight costs for December 2013",,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PHYSICIANS,17169467," 106,024 ",National Collaborating Centre 2013/14 - additional,,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PHYSICIANS,17200874," 1,060,200 ",National Collaborating Centre Quarter 3 Year 2013/14,,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Contr Other External,NP-HTE Appraisals,UNIVERSITY OF SHEFFIELD,17161301," 50,000 ","Supply of Decision Support Unit Year 2, Quarter 3",,,,,
Department of Health,National Institute for Health & Care Excellence,01/01/2014,Contr Other External,NP-Scientific Advice,UNIVERSITY OF SHEFFIELD,17169496," 78,657 ",Sourcing Expertise to support NICE's Scientific Advice Programme,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
