Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Number
Department of Health,National Institute for Health & Clinical Excellence,05/07/2011,"Books, Journals & Subscr",NP  - SHALL - Commissioned Content,BMJ PUBLISHING GROUP LTD,13246397,203100,
Department of Health,National Institute for Health & Clinical Excellence,26/07/2011,"Books, Journals & Subscr",NP  - SHALL - Commissioned Content,SWETS INFORMATION SERVICES LTD,13336896,30397.2,
Department of Health,National Institute for Health & Clinical Excellence,26/07/2011,"Books, Journals & Subscr",NP  - SHALL - Commissioned Content,SWETS INFORMATION SERVICES LTD,13352824,201866.4,
Department of Health,National Institute for Health & Clinical Excellence,26/07/2011,"Books, Journals & Subscr",NP  - SHALL - Commissioned Content,SWETS INFORMATION SERVICES LTD,13352825,30397.2,
Department of Health,National Institute for Health & Clinical Excellence,26/07/2011,Computer Software/License,NP - Commissioned Content - Core,EDUSERV,13362335,72633.75,
Department of Health,National Institute for Health & Clinical Excellence,28/07/2011,Contr Other External,NP - BNF,RPS PUBLISHING,13378534,194553.3,
Department of Health,National Institute for Health & Clinical Excellence,15/07/2011,Contr Other External,NP - Evaluation Pathway,DERBY HOSPITALS NHS FOUNDATION TRUST,13283780,128520,
Department of Health,National Institute for Health & Clinical Excellence,19/07/2011,Contr Other External,NP - Evidence Resources,BAZIAN LTD,13311957,206630.4,
Department of Health,National Institute for Health & Clinical Excellence,01/07/2011,Contr Other External,NP - Evidence Resources,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,13150897,26898.12,
Department of Health,National Institute for Health & Clinical Excellence,05/07/2011,Contr Other External,Fully Recovered: International Commercial Activity,ROYAL COLLEGE OF PSYCHIATRISTS,13246378,48000,
Department of Health,National Institute for Health & Clinical Excellence,14/07/2011,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGY,13298826,405250,
Department of Health,National Institute for Health & Clinical Excellence,05/07/2011,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PHYSICIANS,13218335,1140000,
Department of Health,National Institute for Health & Clinical Excellence,21/07/2011,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,13336837,416880,
Department of Health,National Institute for Health & Clinical Excellence,28/07/2011,Contr Other External,NP-HTE Appraisals,UNIVERSITY OF SHEFFIELD,13369850,62500,
Department of Health,National Institute for Health & Clinical Excellence,26/07/2011,Contr Other External,NP-IT,INSPIRED NETWORKS,13352828,26676.65,
Department of Health,National Institute for Health & Clinical Excellence,26/07/2011,Legal / Prof Fees,NP- Corporate Office,BEACHCROFT LLP,13362339,40352.7,
Department of Health,National Institute for Health & Clinical Excellence,26/07/2011,Postage & Carriage,NP- Mailing Services,THE STATIONERY OFFICE LTD,13352814,25310.9,
Department of Health,National Institute for Health & Clinical Excellence,04/07/2011,CHAPS Control Account,Balance Sheet,AMAS LTD,13238247,-50346,
Department of Health,National Institute for Health & Clinical Excellence,04/07/2011,CHAPS Control Account,Balance Sheet,CAPITA BUSINESS TRAVEL,13238248,-70878.01,
Department of Health,National Institute for Health & Clinical Excellence,04/07/2011,Rates,NP - Facilities  - London,AMAS LTD,13238247,50346,
Department of Health,National Institute for Health & Clinical Excellence,01/07/2011,Rates,NP-  Facilities - Liverpool,LIVERPOOL PCT,13225253,51094,
Department of Health,National Institute for Health & Clinical Excellence,01/07/2011,Rent,NP-  Facilities - Liverpool,LIVERPOOL PCT,13225253,32769.1,
Department of Health,National Institute for Health & Clinical Excellence,04/07/2011,Travel & Subsistence,NP - Facilities  - London,CAPITA BUSINESS TRAVEL,13238248,70878.01,
Department of Health,National Institute for Health & Clinical Excellence,19/07/2011,Travel & Subsistence,NP - Facilities  - London,CAPITA BUSINESS TRAVEL,13313591,60786.59,
