Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Clinical Excellence,31/07/2012,Contr Other External,NP - NPC,BAZIAN LTD,15179970,78006,Unlicenced and off label medicines evaluation service,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/07/2012,Contr Other External,NP - Evidence Resources,BAZIAN LTD,15180047,181358,"Provision of Evidence Hubs, supplying specialist evidence content for NHS Evidence",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/07/2012,Legal / Prof Fees,NP- Corporate Office,BEACHCROFT LLP,15207756,23074.7,Professional fees for the period 01/05/2012 to 30/06/2012,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/07/2012,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,BMJ PUBLISHING GROUP LTD,15235375,207000,Library service - access to BMJ Journals online,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/07/2012,Contr Other External,NP - Evaluation Pathway,CARDIFF & VALE ULHB,15235378,184609.25,Quarter 1 invoice - Medical technologies evaluation programme year 2,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/07/2012,Contr Other External,NP - Evidence Resources,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,15179980,52274.96,Maintainence of the existing workflow from UKMI and management of the NeLM website Quarter 1,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/07/2012,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,15280964,30979.64,"Network and Data, including inter site telecoms supply to NICE’s 3 sites and organisational external telephone connection provision",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/07/2012,Computer Maintenance,NP - IM&T,LOGICA UK LTD,15214807,66231.41,Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/07/2012,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,15271924,111761.25,"Rail, hotel & flight costs for June 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/07/2012,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGY,15280941,389040,National Collaborating Centre for Women’s and Children’s Health Quarter 2 2012/13,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/07/2012,Contr Other External,NP - BNF,RPS PUBLISHING,15266030,1275000,BNF Services fee Q2 (jul12-sep12),,,,,
