Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Rent,NP - Facilities - London,BRITISH COUNCIL,17544723," 193,121.92 ",Rent payment for office space at 10 Spring Gardens 27/06/14-28/09/14,,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Furniture & Fittings,Office Move (Revenue costs),BRITISH COUNCIL,17544726," 29,502.47 ",Retention fee from original build,,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Service Charge,NP - Facilities - London,BRITISH COUNCIL,17544728," 25,354.08 ",Service charge payment for office space at 10 Spring Gardens 01/04/14-30/06/14,,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Rent,NP- Facilities - Manchester,BRUNTWOOD LG LTD,17548248," 120,675.00 ","Quarterly rent charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Rent,NP- Facilities - Manchester,BRUNTWOOD LG LTD,17548249," 159,561.90 ","Quarterly rent charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Contr Other External,Fully Recovered: International Commercial Activity,CENTER FOR GLOBAL DEVELOPMENT,17526250," 26,252.70 ",International Decision support Initiative Project,,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,CHAPS Control Account,Balance Sheet,DAC BEACHCROFT LLP,17519619," 57,500.00 ",Dilpaidation fee re Liverpool office closure,,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,CHAPS Control Account,Balance Sheet,DAC BEACHCROFT LLP,17522856," 56,239.54 ","Final rent, service charge, electricity and rates re Liverpool office closure",,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,17548312," 28,989.06 ","Network and Data, including inter site telecoms supply to NICE’s 3 sites and organisational external telephone connection provision",,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Contr Other External,NP-IT,INSPIRED NETWORKS,17548283," 30,201.38 ",IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Furniture & Fittings,Office Move (Revenue costs),KIER CONSTRUCTION-NORTHERN,17528857," 233,278.43 ",Refurbishment of Manchester offices,,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Computer Maintenance,NP - IM&T,RACKSPACE LTD,17552130," 55,445.15 ",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,17548263," 146,671.74 ","Rail, hotel & flight costs for May 2014",,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Contr Other External,NP - Social Care,SOCIAL CARE INSTITUTE FOR EXCELLENCE,17564975," 539,646.00 ",NICE Collaborating Centre for Social Care quarter 1 2014/15,,,,,
Department of Health,National Institute for Health & Care Excellence,30/06/2014,Computer Software/License,NP-IT,SOFTCAT LTD,17499872," 67,346.00 ",IT Equipment,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
