Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Computer Maintenance,NP - IM&T,RACKSPACE LTD,13839743,53483.56,Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Programme Support Costs,NP - Evidence Information Services,OXFORD UNIVERSITY HOSPITALS NHS TRUST,13912076,29712,Secondee costs from October-March 13/14 & April-July 14/15,,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Computer Software/License,NP-IT,SOFTCAT LTD,13934197,44330.48,MSND Subscription 18 users (3 different products)for 12 months,,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP - PH Guidance,REDFERN TRAVEL LTD,13935141,2375.98,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP - Pathways,REDFERN TRAVEL LTD,13935141,689.7,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP - Public Health,REDFERN TRAVEL LTD,13935141,3585.5,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP - Public Involvement Programme,REDFERN TRAVEL LTD,13935141,2340.1,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP - QOF and Indicators,REDFERN TRAVEL LTD,13935141,3699.58,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP - Quality Standards,REDFERN TRAVEL LTD,13935141,8449.82,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP - R&D,REDFERN TRAVEL LTD,13935141,1578.83,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP - Social Care,REDFERN TRAVEL LTD,13935141,2898.87,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP - Staff T&S,REDFERN TRAVEL LTD,13935141,10736.67,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP - Staffing Levels Guidance,REDFERN TRAVEL LTD,13935141,4722.22,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP- Corporate Office,REDFERN TRAVEL LTD,13935141,5167.29,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP-CP Guidelines,REDFERN TRAVEL LTD,13935141,3848.08,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP-Finance,REDFERN TRAVEL LTD,13935141,447.78,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP-HR,REDFERN TRAVEL LTD,13935141,688.62,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP-HTE Appraisals,REDFERN TRAVEL LTD,13935141,7122.38,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP-IT,REDFERN TRAVEL LTD,13935141,731.44,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP-Intervention Procedure,REDFERN TRAVEL LTD,13935141,3012.39,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP-Patient Access Scheme,REDFERN TRAVEL LTD,13935141,2378.15,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,NP-Scientific Advice,REDFERN TRAVEL LTD,13935141,3592.28,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,Np- Topic Selection,REDFERN TRAVEL LTD,13935141,535.46,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,Observational Data Unit,REDFERN TRAVEL LTD,13935141,574.21,"Rail, hotel & flight costs for April 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,01/06/2015,Travel & Subsistence,IMI GetReal Project,REDFERN TRAVEL LTD,13935141,684.77,"Rail, hotel & flight costs for April 2015",,,,,
