Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Clinical Excellence,20/03/2012,Ext Contr Oth Hotel Srv,NP - Facilities  - London,AMAS LTD,14633104,"56,508.00","Quarterly service charge of office space at 71 High Holborn, London",,,,,
Department of Health,National Institute for Health & Clinical Excellence,20/03/2012,Legal / Prof Fees,NP- Corporate Office,BEACHCROFT LLP,14633060,"25,348.10",Professional fees for the period 01/01/2012 to 29/02/2012,,,,,
Department of Health,National Institute for Health & Clinical Excellence,20/03/2012,Rent,NP- Facilities - Manchester,BRUNTWOOD ESTATES ALPHA PORTFOLIO LTD,14612716,"68,446.23","Quarterly rent and service charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Clinical Excellence,20/03/2012,Rent,NP- Facilities - Manchester,BRUNTWOOD ESTATES ALPHA PORTFOLIO LTD,14612715,"69,437.50","Quarterly rent of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/03/2012,Rates,NP - Facilities  - London,CAMDEN NNDR,14700000,"511,460.00",London Business rates for the period 01/04/2012 to 31/03/2013,,,,,
Department of Health,National Institute for Health & Clinical Excellence,20/03/2012,Stationery,NP - Facilities  - London,CAPITA BUSINESS TRAVEL,14633011,"73,163.64",Train tickets for period 08/01/2012 to 04/02/2012,,,,,
Department of Health,National Institute for Health & Clinical Excellence,27/03/2012,Travel & Subsistence,NP - Facilities  - London,CAPITA BUSINESS TRAVEL,14682586,"80,021.27",Train tickets for period 05/02/2012 to 12/03/2012,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/03/2012,Contr Other External,NP - Engagement and Management,CAPITA RESOURCING,14715497,"30,858.00","User research, tracking survey 2011 ",,,,,
Department of Health,National Institute for Health & Clinical Excellence,23/03/2012,Contr Other External,NP - Evaluation Pathway,CARDIFF & VALE ULHB,14641424,"140,938.75",Quarter 4 invoice - Medical technologies evaluation programme ,,,,,
Department of Health,National Institute for Health & Clinical Excellence,22/03/2012,Contr Other External,NP- PH Programmes,CARDIFF UNIVERSITY,14653006,"46,116.80",Tobacco Harm Reduction Project  ,,,,,
Department of Health,National Institute for Health & Clinical Excellence,26/03/2012,"Books, Journals & Subscr",NP - Commissioned Content - Core,EBSCO INFORMATION SERVICES,14661534,"73,460.25",Subscription to the Lancet medical journal,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/03/2012,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,EBSCO INFORMATION SERVICES,14715401,"148,325.00","National subscription fees for Health Business Elite and CINAHL databases on behalf of the Strategic Health Authorities Library Leads, for the period April - June 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,27/03/2012,Computer Software/License,NP - Commissioned Content - Core,EDUSERV,14660948,"72,633.75",Provision of Athens Service from 01/01/2012 to 31/03/2012,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/03/2012,Contr Other External,Fully Recovered: International Commercial Activity,GEORGE WASHINGTON UNIVERSITY,14560937,"17,505.73",NICE International project reviewing proposals for Romania healthcare service package,,,,,
Department of Health,National Institute for Health & Clinical Excellence,27/03/2012,Contr Other External,NP - Evidence Resources,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,14682642,"52,274.96",Maintainence of the existing workflow from UKMI and management of the NeLM website Quarter 4,,,,,
Department of Health,National Institute for Health & Clinical Excellence,27/03/2012,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,14682501,"31,241.72","Network and Data, including inter site telecoms supply to NICE’s 3 sites and organisational external telephone connection provision",,,,,
Department of Health,National Institute for Health & Clinical Excellence,13/03/2012,Contr Other External,NP-IT,INSPIRED NETWORKS,14568328,"22,236.57",IT Support and Management Contract,,,,,
Department of Health,National Institute for Health & Clinical Excellence,28/03/2012,Contr Other External,NP - NPC,KEELE UNIVERSITY,14691634,"38,996.11",IT Service Level agreement for NPC websites and Mail server service,,,,,
Department of Health,National Institute for Health & Clinical Excellence,27/03/2012,Contr Other External,NP - NPC,KEELE UNIVERSITY,14682515,"41,984.00",Provision of Medicines Information Services,,,,,
Department of Health,National Institute for Health & Clinical Excellence,29/03/2012,Contr Other External,NP - Evaluation Pathway,KING'S COLLEGE LONDON,14691639,"253,783.26",Evaulation Patherways External Assessment Centre July 2011 - March 2012,,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/03/2012,CHAPS Control Account,Balance Sheet,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,14708561,"-30,344.39",Specialist Contractor costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/03/2012,CHAPS Control Account,Balance Sheet,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,14708530,"-29,970.97",Specialist Contractor costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/03/2012,Agency Admin & Clerical,Evidence Resources,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,14708530,"29,970.97",Specialist Contractor costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/03/2012,Agency Admin & Clerical,IM&T Core,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,14708561,"30,344.39",Specialist Contractor costs,,,,,
