Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/05/2013,Contr Other External,NP - External Communications,RESEARCH WORKS LTD,16573730,11612.5,Research Project: Focus Groups / Discussion Forums,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2013,Contr Other External,NP - User Research,RESEARCH WORKS LTD,16573730,11612.5,Research Project: Focus Groups / Discussion Forums,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2013,Contr Other External,NP - BNF,RPS PUBLISHING,16573745,34988.08,BNF printing costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2013,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,BMJ PUBLISHING GROUP LTD,16581334,210900,Library service - access to BMJ Journals online,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2013,Contr Other External,NP-IT,INSPIRED NETWORKS,16584478,26607.6,IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2013,Course Fees,NP-HR,PROGRESS INTERNATIONAL LTD,16592012,44904,Management Development Programme Cohort 6,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2013,"Books, Journals & Subscr",NP - Commissioned Content - Core,WILEY SUBSCRIPTION SERVICES INC,16596995,200877.64,The Cochrane Library (Electronic),,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2013,Contr Other External,NP - BNF,PROMOTIONAL LOGISTICS LTD,16597016,78958,BNF distribution / mailing costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2013,CHAPS Control Account,Balance Sheet,REDFERN TRAVEL LTD,16617314,107201.19,"Rail, hotel & flight costs for April 2013",,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2013,Legal / Prof Fees,NP- Corporate Office,DAC BEACHCROFT LLP,16635462,29636.46,Professional fees for period 1st March 2013 to 30th April 2013,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2013,Computer Hardware Purch,NP-IT,SOFTCAT LTD,16638504,68701.72,IT Equipment,,,,,
