Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/05/2014,Contr Other External,NP - Evidence Resources,BAZIAN LTD,17472634," 62,284.80 ","Provision of Evidence Hubs, supplying specialist evidence content for NHS Evidence",,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2014,Contr Other External,NP - Commissioned Content - Core,CLARITY INFORMATICS LTD,17437590," 157,500.00 ",Evidence Based Resource for Primary Care Year 2 Quarter 4,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2014,Contr Other External,Fully Recovered: International Commercial Activity,HEALTH INTERVENTION & TECHNOLOGY ASSESSMENT PROGRAMME,17455071," 38,996.67 ",International Decision support Initiative Project,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2014,Contr Other External,NP-IT,INSPIRED NETWORKS,17459089," 36,378.62 ",IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2014,Furniture & Fittings,Office Move (Revenue costs),KIER CONSTRUCTION-NORTHERN,17455118," 125,889.94 ",Refurbishment of Manchester offices,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2014,Computer Maintenance,NP - IM&T,RACKSPACE LTD,17479063," 55,452.56 ",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2014,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,17455130," 132,735.14 ","Rail, hotel & flight costs for April 2014",,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2014,Furniture & Fittings,Office Move (Revenue costs),SENATOR INTERNATIONAL LTD,17492764," 97,448.20 ",Refurbishment of Manchester offices,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2014,Contr Other External,NP - Highly Specialised Technologies,TWOCAN ASSOCIATES LTD,17472699," 39,280.00 ",Research into methods to incorporate Patient Evidence into the HST reviews,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2014,Programme Support Costs,NP-HTE Appraisals,UNIVERSITY OF LEICESTER,17472698," 39,765.60 ",Committee Vice Chair costs from April 2013 to March 2014,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2014,"Books, Journals & Subscr",NP - Commissioned Content - Core,WILEY SUBSCRIPTION SERVICES INC,17455074," 100,439.00 ",The Cochrane Library (Electronic),,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2014,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,17496118," 174,298.20 ",Licences for access to different medical databases,,,,,
Department of Health,National Institute for Health & Care Excellence,31/05/2014,Contr Other External,NP- PH Programmes,YHEC,17496125," 85,939.20 ",Evidence Reviews & economic analysis to support Guidance on sunlight exposure,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
