Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,CHAPS Control Account,Balance Sheet,AMAS LTD,15811334,-196100,"Dilapidations Full & Final of office space at 71 High Holborn, London",,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Non Pay Budget Reserves,Office Move (Revenue costs),AMAS LTD,15811334,196100,"Dilapidations Full & Final of office space at 71 High Holborn, London",,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Contr Other External,NP - NPC,BAZIAN LTD,15790487,21668,Unlicenced and off label medicines evaluation service,,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Contr Other External,NP- PH Programmes,BAZIAN LTD,15824656,36667,Qualitative and Effectiveness Evidence for the Behaviour Change Programme Development Group,,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,CHAPS Control Account,Balance Sheet,BRITISH COUNCIL,15752199,234476.16,Building fitout costs for Spring Garden (first),,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Furniture & Fittings,Office Move (Revenue costs),BRITISH COUNCIL,15853880,425119.84,Building fitout costs for Spring Garden (second),,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Contr Other External,NP- PH Programmes,BRUNEL UNIVERSITY,15762971,37541,Economic Analysis and model for intervention guidance on Physical activity Brief advice for adults in primary care,,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Contr Other External,NP-IT,INSPIRED NETWORKS,15796606,32804.44,IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Computer Maintenance,NP - IM&T,LOGICA UK LTD,15750983,66231.41,Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Travel & Subsistence,NCAS Wales Office,NYS CORPORATE,15806633,1065.09,"Rail, hotel & flight costs for October 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Travel & Subsistence,NCAS Project Development Team,NYS CORPORATE,15806633,817.9,"Rail, hotel & flight costs for October 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Travel & Subsistence,NCAS Legal Services,NYS CORPORATE,15806633,170.83,"Rail, hotel & flight costs for October 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Travel & Subsistence,NCAS Human Resources,NYS CORPORATE,15806633,147.98,"Rail, hotel & flight costs for October 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Travel & Subsistence,NCAS Finance Team,NYS CORPORATE,15806633,47.11,"Rail, hotel & flight costs for October 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Travel & Subsistence,NCAS Education Programmes,NYS CORPORATE,15806633,886.22,"Rail, hotel & flight costs for October 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Meeting expense/Room Hire,NCAS Education Programmes,NYS CORPORATE,15806633,1050,"Rail, hotel & flight costs for October 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Travel & Subsistence,NCAS Case Management Team,NYS CORPORATE,15806633,786.58,"Rail, hotel & flight costs for October 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Travel & Subsistence,NCAS Case Management Advisors,NYS CORPORATE,15806633,2937.42,"Rail, hotel & flight costs for October 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Travel & Subsistence,NCAS Business Support Team,NYS CORPORATE,15806633,490.07,"Rail, hotel & flight costs for October 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,30/11/2012,Other recvables - Current,NCAS Balance Sheet,NYS CORPORATE,15806633,5152.44,"Rail, hotel & flight costs for October 2012",,,,,
