Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,15593384,164326.5,Licences for access to different medical databases,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Contr Other External,NP - Evidence Resources,BAZIAN LTD,15593394,180131.5,"Provision of Evidence Hubs, supplying specialist evidence content for NHS Evidence",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Computer Software/License,NP - Commissioned Content - Core,EDUSERV,15606715,72633.75,Provision of Athens Service from 01/07/2012 to 30/09/2012,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Contr Other External,NP - Evaluation Pathway,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,15606769,181968,Evaulation Patherways External Assessment Centre Quarter 2 12/13,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Contr Other External,NP - Commissioned Content - Core,CLARITY INFORMATICS LTD,15613774,150000,Evidence Based Resource for Primary Care contract Quarter 1,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Computer Maintenance,NP - IM&T,LOGICA UK LTD,15613776,66231.41,Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Contr Other External,NP- PH Programmes,LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE,15629113,25284,Provide an Economic Analysis for Hepatitis B & C,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,15629125,100239.98,"Rail, hotel & flight costs for September 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Contr Other External,NP-IT,INSPIRED NETWORKS,15635256,25380.88,IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,CHAPS Control Account,Balance Sheet,AMAS LTD,15665089,196100,"Dilapidations Full & Final of office space at 71 High Holborn, London",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Contr Other External,NP-CP Guidelines,UNIVERSITY OF BRISTOL,15679217,37500,Clinical guidelines Technical support unit Year 2 quarter 2,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,"Books, Journals & Subscr",NP - Commissioned Content - Core,EBSCO INFORMATION SERVICES,15679225,73460.25,National subscription fees for Lancet medical journal,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Contr Other External,NP- PH Programmes,UNIVERSITY OF SHEFFIELD,15679247,46000,Provision of evidence reviews for guidance on Physical Activity - adults in primary care,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Contr Other External,NP - Evaluation Pathway,CARDIFF & VALE ULHB,15692257,184609.25,Quarter 2 invoice - Medical technologies evaluation programme year 2,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGY,15692260,389040,National Collaborating Centre for Women’s and Children’s Health Quarter 3 2012/13,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/10/2012,Computer Hardware Purch,Office Move (Revenue costs),SPECIALIST COMPUTER CENTRES PLC,15692263,33998.35,Computer monitors for London office move,,,,,
