Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Contr Other External,NP - Evidence Resources,BAZIAN LTD,16983256," 222,643 ","Provision of Evidence Hubs, supplying specialist evidence content for NHS Evidence",,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,BMJ PUBLISHING GROUP LTD,16972260," 210,900 ",Library service - access to BMJ Journals online,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Rent,NP - Facilities - London,BRITISH COUNCIL,16958497," 193,122 ",Rent payment for office space at 10 Spring Gardens 29/09/13-24/12/13,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Contr Other External,NP - Evaluation Pathway,CARDIFF & VALE ULHB,16983262," 184,609 ",Quarter 2 invoice - Medical technologies evaluation programme year 3,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Contr Other External,NP - Evaluation Pathway,KING'S COLLEGE LONDON,16963517," 186,900 ",Evaulation Patherways External Assessment Centre Quarter 2 Year 3,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Rent,Balance Sheet,NHS PROPERTY SERVICES LTD,16965363," 62,147 ","Lease break fee for  Vortex Court, Wavertree Technology Park, Liverpool QTR1 13/14",,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Contr Other External,NP - BNF,PROMOTIONAL LOGISTICS LTD,16983263," 83,732 ",BNF distribution / mailing costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Postage & Carriage,NP - BNF,PROMOTIONAL LOGISTICS LTD,17002217," 73,728 ",BNF distribution / mailing costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Computer Maintenance,NP - IM&T,RACKSPACE LTD,16986963," 67,217 ",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Computer Maintenance,NP - IM&T,RACKSPACE LTD,16986980," 67,217 ",Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,16995725," 106,525 ","Rail, hotel & flight costs for September 2013",,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,16958492," 289,033 ",National Collaborating Centre work on Mental Health for Guidelines Quarter 2 2013/14,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Contr Other External,NP - BNF,RPS PUBLISHING,16963516," 357,314 ",BNF printing costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Contr Other External,NP - Social Care,SOCIAL CARE INSTITUTE FOR EXCELLENCE,16990646," 523,146 ",NICE Collaborating Centre for Social Care quarter 2 2013/14,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Programme Support Costs,NP -QOF,SOFTWARE (EUROPE) LTD,17008441, 150 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Travel & Subsistence,NP -QOF,SOFTWARE (EUROPE) LTD,17008441, 383 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Travel & Subsistence,NP- Corporate Office,SOFTWARE (EUROPE) LTD,17008441, 334 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Programme Support Costs,NP- PH Excellence Office,SOFTWARE (EUROPE) LTD,17008441, 150 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Travel & Subsistence,NP- PH Excellence Office,SOFTWARE (EUROPE) LTD,17008441, 249 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Programme Support Costs,NP- PH Programmes,SOFTWARE (EUROPE) LTD,17008441, 150 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Travel & Subsistence,NP- PH Programmes,SOFTWARE (EUROPE) LTD,17008441," 1,534 ",Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Travel & Subsistence,NP-CP Guidelines,SOFTWARE (EUROPE) LTD,17008441, 465 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Travel & Subsistence,NP-Finance,SOFTWARE (EUROPE) LTD,17008441, 0 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Interview Expenses,NP-HR,SOFTWARE (EUROPE) LTD,17008441, 326 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Programme Support Costs,NP-HTE Appraisals,SOFTWARE (EUROPE) LTD,17008441," 1,350 ",Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Travel & Subsistence,NP-HTE Appraisals,SOFTWARE (EUROPE) LTD,17008441," 11,598 ",Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Programme Support Costs,NP-Intervention Procedure,SOFTWARE (EUROPE) LTD,17008441, 300 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Travel & Subsistence,NP-Intervention Procedure,SOFTWARE (EUROPE) LTD,17008441, 868 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Programme Support Costs,NP-Patient Involvemt Unit,SOFTWARE (EUROPE) LTD,17008441," 2,550 ",Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Travel & Subsistence,NP-Patient Involvemt Unit,SOFTWARE (EUROPE) LTD,17008441," 1,256 ",Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Programme Support Costs,Np- Topic Selection,SOFTWARE (EUROPE) LTD,17008441, 150 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Travel & Subsistence,Np- Topic Selection,SOFTWARE (EUROPE) LTD,17008441, 214 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Programme Support Costs,NP - Accreditation,SOFTWARE (EUROPE) LTD,17008441, 150 ,Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Travel & Subsistence,NP - Accreditation,SOFTWARE (EUROPE) LTD,17008441," 2,120 ",Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,31/10/2013,Programme Support Costs,NP - Diagnostics Progamme,SOFTWARE (EUROPE) LTD,17008441, 300 ,Reimbursement of Committee members expense claims,,,,,
