Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Contr Other External,NP - NPC,BAZIAN LTD,16928497,"26,001.60",Unlicenced and off label medicines evaluation service
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Service Charge,NP- Facilities - Manchester,BRUNTWOOD LG LTD,16894240,"21,015.60","Quarterly  service charge of office space at Level 1A, City Tower, Manchester"
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Rent,NP- Facilities - Manchester,BRUNTWOOD LG LTD,16894240,"136,890.60","Quarterly rent charge of office space at Level 1A, City Tower, Manchester"
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Rent,NP- Facilities - Manchester,BRUNTWOOD LG LTD,16894245,"120,675.00","Quarterly rent of office space at Level 1A, City Tower, Manchester"
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Computer Maintenance,NP - IM&T,CGI IT UK LTD,16907148,"78,665.46",Hosting NHS Evidence website
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Contr Other External,NP - Commissioned Content - Core,CLARITY INFORMATICS LTD,16894225,"157,500.00",Evidence Based Resource for Primary Care Year 2 Quarter 1
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Legal / Prof Fees,NP- Corporate Office,DAC BEACHCROFT LLP,16910680,"23,467.79",Professional fees for period 1st July 2013 to 31st August 2013
Department of Health,National Institute for Health & Care Excellence,30/09/2013,"Books, Journals & Subscr",NP - Commissioned Content - Core,EBSCO INFORMATION SERVICES,16924755,"29,174.75","National subscription fees for Health Business Elite and CINAHL databases on behalf of the NHS, for the period April-December 2013"
Department of Health,National Institute for Health & Care Excellence,30/09/2013,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,EBSCO INFORMATION SERVICES,16924755,"120,000.00","National subscription fees for Health Business Elite and CINAHL databases on behalf of the NHS, for the period April-December 2013"
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,16915824,"34,463.69","Network and Data, including inter site telecoms supply to NICE’s 3 sites and organisational external telephone connection provision"
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Contr Other External,NP-IT,INSPIRED NETWORKS,16894226,"30,148.09",IT Support and Management contract 
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Audit Fees: Statutory,NP-Finance,NATIONAL AUDIT OFFICE,16891274,"31,500.00",Audit fee for 2012-13 Financial Statements
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Contr Other External,NP - Evaluation Pathway,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,16881255,"181,968.00",Medical Technologies External Assessment Centre Quarter 1 13/14
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Contr Other External,NP - Evaluation Pathway,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,16913302,"181,968.00",Medical Technologies External Assessment Centre Quarter 2 13/14
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Service Charge,NP- Facilities - Liverpool,NHS PROPERTY SERVICES LTD,16913311,"8,977.00","Quarterly rent and service charge and electricity of office space at Vortex Court, Wavertree Technology Park, Liverpool QTR1 13/14"
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Rent,NP- Facilities - Liverpool,NHS PROPERTY SERVICES LTD,16913311,"26,133.00","Quarterly rent and service charge and electricity of office space at Vortex Court, Wavertree Technology Park, Liverpool QTR1 13/14"
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Rates,NP- Facilities - Liverpool,NHS PROPERTY SERVICES LTD,16913311,"13,894.00","Quarterly rent and service charge and electricity of office space at Vortex Court, Wavertree Technology Park, Liverpool QTR1 13/14"
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Insurance Costs,NP- Facilities - Liverpool,NHS PROPERTY SERVICES LTD,16913311,625,"Quarterly rent and service charge and electricity of office space at Vortex Court, Wavertree Technology Park, Liverpool QTR1 13/14"
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Electricity,NP- Facilities - Liverpool,NHS PROPERTY SERVICES LTD,16913311,"1,250.00","Quarterly rent and service charge and electricity of office space at Vortex Court, Wavertree Technology Park, Liverpool QTR1 13/14"
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,16907163,"78,865.35","Rail, hotel & flight costs for August 2013"
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PHYSICIANS,16913293,"1,060,200.00",National Collaborating Centre Quarter 2 Year 2013/14
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Contr Other External,NP - BNF,RPS PUBLISHING,16878784,"1,022,500.00",BNF Services fee Q2 (jul13-sep13)
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Printing Costs,NP - BNF,RPS PUBLISHING,16883873,"172,758.71",BNF printing costs
Department of Health,National Institute for Health & Care Excellence,30/09/2013,Contr Other External,NP-CP Guidelines,VELINDRE NHS TRUST,16894223,"333,562.50",National Collaborting Centre for Cancer Q1 2013/14
Department of Health,National Institute for Health & Care Excellence,30/09/2013,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,16907151,"164,326.50",Licences for access to different medical databases
