Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,30/09/2015,Contr Other External,NP-IT,INSPIRED NETWORKS,15108616,25694.4,IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2015,"Books, Journals & Subscr",NP - National Core Content HEE,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,15236236,117249,Licences for access to different medical databases,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2015,"Books, Journals & Subscr",NP - National Core Content HEE,EBSCO INTERNATIONAL INC,15236346,193617,"National subscription fees for Health Business Elite and CINAHL databases on behalf of the NHS, for the period April 2015 to March 2016",,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2015,Rent,NP- Facilities - Manchester,MJ MAPP LLP,15296747,136890.6,"Quarterly rent charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2015,Rent,NP- Facilities - Manchester,MJ MAPP LLP,15296766,117975,"Quarterly rent charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2015,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,15297025,87967.46,"Rail, hotel & flight costs for August 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2015,Agency Admin & Clerical,Design,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,15297249,25617.5,Specialist Contractor costs,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2015,"Books, Journals & Subscr",NP - National Core Content HEE,BMJ PUBLISHING GROUP LTD,15314142,218281.5,Library service - access to BMJ Journals online,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2015,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PHYSICIANS,15333084,980685,National Collaborating Centre Quarter 2 Year 2015/16,,,,,
Department of Health,National Institute for Health & Care Excellence,30/09/2015,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,15455568,29923.48,"Network and Data, including inter site telecoms supply to NICE?s 3 sites and organisational external telephone connection provision",,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
